id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4281876708,,Xiang Ding|Cheng Zhang,https://openalex.org/A5042388620|https://openalex.org/A5100439613,|https://orcid.org/0000-0002-0059-5644,CN|CN,Anhui University|Anhui University,https://openalex.org/I143868143|https://openalex.org/I143868143,True|False,,10,https://openalex.org/I143868143,How Can We Cope with the Impact of Microservice Architecture Smells?,https://doi.org/10.1145/3524304.3524306,1.9281757,False,en,False,closed,,,,,Software System Performance and Reliability,2022-02-24,2022,article
https://openalex.org/W4293770165,"Abstract Agile methodologies are sometimes adopted, with the assumption that benefits can be attained by only using a set of best practices, which can sometimes work to a degree. In this paper, a case is discussed where a software‐producing organization of seven teams achieved significant improvements. The goal of the research was to answer two questions: how an already agile organization could improve its performance further and what is the impact of promoting quality aspects? The questions were answered by implementing interventions based on prior literature and data emerging from semi‐structured interviews. The context was an established business with a complex revenue stream structure, meaning the mix of various project/service/product based work rendered the adoption of agile methods a challenge. Action research comprising three rounds of interventions was conducted to improve the organization and its quality culture while enforcing code review practices. Interventions resulted in a significant improvement in quality, as measured by reported defects. Therefore, it is suggested that agile methods are not sufficient on their own to take software business forward unless a quality‐focused culture is simultaneously achieved through a mindset change and organizational structures to enforce quality practices. The paper contributes to research on the managerial practices of software business and agile transformation by providing empirical support to introducing formal quality improvement to the agile mix as a method for practitioners to improve organizations with complex business models and multiple teams.",Matti Saarikallio|Pasi Tyrväinen,https://openalex.org/A5078653440|https://openalex.org/A5044094236,https://orcid.org/0000-0003-2813-9146|https://orcid.org/0000-0001-7716-3244,FI|FI,University of Jyväskylä|University of Jyväskylä,https://openalex.org/I94722563|https://openalex.org/I94722563,True|False,cc-by,16,https://openalex.org/I94722563,Quality culture boosts agile transformation—Action research in a business‐to‐business software business,https://doi.org/10.1002/smr.2504,6.07985777,False,en,True,hybrid,Journal of Software Evolution and Process,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Techniques and Practices,2022-08-29,2022,article
https://openalex.org/W4385518588,,Stephan Kudyba|Agnel D Cruz,https://openalex.org/A5044345436|https://openalex.org/A5109627867,|,US|,New Jersey Institute of Technology|,https://openalex.org/I118118575|,True|False,,7,https://openalex.org/I118118575,Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management,https://doi.org/10.1108/jic-03-2022-0054,2.72996206,False,en,False,closed,Journal of Intellectual Capital,https://openalex.org/S191556934,1469-1930,journal,Innovation and Knowledge Management,2023-07-21,2023,article
https://openalex.org/W4399952219,,Trihadi Pudiawan Erhan|Arnold Japutra|Sebastiaan Van Doorn,https://openalex.org/A5039687276|https://openalex.org/A5005147255|https://openalex.org/A5061194224,https://orcid.org/0000-0002-6496-1244|https://orcid.org/0000-0002-0513-8792|https://orcid.org/0000-0002-9781-0303,ID|ID|AU,Multimedia Nusantara University|University of Indonesia|University of Western Australia,https://openalex.org/I3133096382|https://openalex.org/I29617571|https://openalex.org/I177877127,True|False|False,,4,https://openalex.org/I3133096382,Digital product development team external knowledge processes and ambidexterity: a multi-mediation analysis of the absorptive capacity framework,https://doi.org/10.1108/jkm-10-2023-0963,4.02356874,False,en,False,closed,Journal of Knowledge Management,https://openalex.org/S50631486,1367-3270,journal,Innovation and Knowledge Management,2024-06-24,2024,article
https://openalex.org/W4293242822,"This study focuses on how knowledge is mobilized in agile information systems (IS) projects. One crucial success factor of those projects is to mobilize knowledge through different knowledge management processes. It is vital to establish efficient knowledge management (KM) processes to generate a knowledge culture based on transparency and communication. Communication channels, digital tools, and platforms are essential for establishing a KM infrastructure supporting the knowledge work of the project organization. Thus, each IS implementation team should maintain a knowledge base and a knowledge potential at some level. However, this is not always the case. We conducted a literature review to survey the extant research on the role of KM in agile system development projects. The agile approach is often associated with the networking model and tacit knowledge. The findings indicate that the agile approach is supposed to promote KM. While tacit knowledge is rooted in the analogue process of continuous actions and informal communication, explicit knowledge is captured in digital records of documentation and databases. In KM, the personalization model (behavioural, networking) and the codification (technocratic, repository) model is central. The choice of system development method (agile versus plan-driven) influences how knowledge is mobilized in the project organization. An agile approach heavily relies on informal communication, tacit knowledge sharing, and light documentation. In contrast, the plan-driven methods such as the waterfall approach generate more explicit knowledge through documentation. Communities of practice are important structures for transforming from plan-driven to agile approaches. We present a framework showing specific challenges the literature identifies concerning the efficient mobilization of knowledge in the agile context. For large-scale agile projects, informal coordination mechanisms were important. This study identifies several measures for overcoming barriers and risks for knowledge sharing in the agile context.",Eli Hustad|Makoto Nakayama|Norma Sutcliffe|Merri Beckfield,https://openalex.org/A5055071979|https://openalex.org/A5027073614|https://openalex.org/A5080615843|https://openalex.org/A5006084802,https://orcid.org/0000-0002-1150-1850|https://orcid.org/0000-0001-7429-7271|https://orcid.org/0000-0001-5345-1612|https://orcid.org/0000-0002-4538-3135,NO|US|US|US,University of Agder|DePaul University|DePaul University|DePaul University,https://openalex.org/I200650556|https://openalex.org/I118353179|https://openalex.org/I118353179|https://openalex.org/I118353179,True|False|False|False,cc-by-nc-nd,4,https://openalex.org/I200650556,Knowledge Mobilization in Agile Information Systems Projects: A Literature Analysis,https://doi.org/10.34190/eckm.23.1.561,1.45590575,False,en,True,diamond,European Conference on Knowledge Management,https://openalex.org/S4387282814,2048-8963,journal,Knowledge Management and Sharing,2022-08-25,2022,article
https://openalex.org/W4312627556,,Luz Marcela Restrepo-Tamayo|Gloria Piedad Gasca‐Hurtado,https://openalex.org/A5059463264|https://openalex.org/A5003747963,https://orcid.org/0000-0001-9123-9030|https://orcid.org/0000-0003-0157-1959,CO|CO,Universidad de Medellín|Universidad de Medellín,https://openalex.org/I4210133585|https://openalex.org/I4210133585,True|False,,3,https://openalex.org/I4210133585,Human Aspects in Software Development: A Systematic Mapping Study,https://doi.org/10.1007/978-3-031-20218-6_1,2.04253328,False,en,False,closed,Lecture notes in computer science,https://openalex.org/S106296714,0302-9743,book series,Software Engineering Techniques and Practices,2022-01-01,2022,book-chapter
https://openalex.org/W4405672011,,Daniela de Castro Pereira Alves|Deivid José Smek|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5023050521|https://openalex.org/A5115578628|https://openalex.org/A5013949373|https://openalex.org/A5043877845|https://openalex.org/A5042368174,|https://orcid.org/0000-0003-1865-8620|https://orcid.org/0000-0001-7262-7863|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|National Institute for Space Research,https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,1,https://openalex.org/I1283613182,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,https://doi.org/10.1145/3701625.3701652,1.52765026,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2024-11-05,2024,article
https://openalex.org/W3207211562,"Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs). OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.",Érica Ferreira de Souza|Ricardo de Almeida Falbo|Nandamudi L. Vijaykumar|Katia Romero Felizardo|Giovani Volnei Meinerz|Marcos S. Specimille|Alexandre G. N. Coelho,https://openalex.org/A5050603863|https://openalex.org/A5017900692|https://openalex.org/A5042368174|https://openalex.org/A5043877845|https://openalex.org/A5045644562|https://openalex.org/A5043084128|https://openalex.org/A5044519502,https://orcid.org/0000-0002-5425-145X||https://orcid.org/0000-0002-9025-0841|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0003-0915-3436||,BR|BR|BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Federal do Espírito Santo|National Institute for Space Research|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Federal do Espírito Santo|Universidade Federal do Espírito Santo,https://openalex.org/I1283613182|https://openalex.org/I51235708|https://openalex.org/I80849659|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I51235708|https://openalex.org/I51235708,True|False|False|False|False|False|False,cc-by,1,https://openalex.org/I1283613182,Development of an Ontology-based Approach for Knowledge Management in Software Testing,https://doi.org/10.5753/jserd.2021.1898,0.29113014,False,en,True,diamond,Journal of Software Engineering Research and Development,https://openalex.org/S2490763971,2195-1721,journal,Software Engineering Research,2021-10-19,2021,article
https://openalex.org/W4322624571,"In a competitive scenario, technology projects are alternatives for cost reduction, process improvement or product or business differentiation. The growth of the software market is a consequence of this. The strategy for executing, managing and sustaining these plans must consider several factors, challenges and opportunities. One possible approach is the application of agile methodologies in the management of geographically distributed development teams. Many of the challenges faced in these contexts can be addressed and overcome through the adoption of Knowledge Management (KM), especially because this is an activity that demands intensive application of knowledge. This article aims to present a Systematic Review of the Literature conducted with the objective of verifying the existence of works that discuss the application of KM in contexts of managed projects with agile methods and executed by distributed teams evaluating: the challenges and opportunities provided by this scenario, the good practices and strategies adopted, and the results obtained. As a result, the importance of KM was confirmed within the context studied, as well as listing: the challenges and strategies for its adoption and the initiatives adopted and the results achieved in different companies with projects in similar scenarios to the one researched. Em um cenário de competitividade, as apostas em projetos de tecnologia são alternativas para a redução de custos, a melhoria de processos ou a diferenciação. O crescimento do mercado de software é um reflexo disso. A estratégia para execução, gestão e sustentação desses planos deve considerar diversos fatores, desafios e oportunidades. Uma possível abordagem é a aplicação de metodologias ágeis no gerenciamento de equipes de desenvolvimento geograficamente distribuídas. Muitos dos desafios enfrentados nesses contextos podem ser endereçados e superados por meio da adoção da Gestão do Conhecimento (GC), em especial por esta ser uma atividade que demanda intensiva aplicação de conhecimentos. Este artigo visa apresentar uma Revisão Sistemática da Literatura conduzida com o objetivo de verificar a existência de trabalhos que discutam a aplicação da GC em contextos de projetos gerenciados com métodos ágeis e executados por equipes distribuídas avaliando: os desafios e as oportunidades proporcionadas por esse cenário, as boas práticas e as estratégias adotadas, e os resultados obtidos. Como resultado confirmou-se a importância da GC dentro do contexto estudado, bem como elencar: os desafios e as estratégias para sua adoção e as iniciativas adotadas e os resultados alcançados em diferentes empresas com projetos em cenários semelhantes ao pesquisado.",Thiago Previatello Villela|Fernando Hadad Zaidan|José Luís Braga,https://openalex.org/A5022961888|https://openalex.org/A5084187796|https://openalex.org/A5049668220,|https://orcid.org/0000-0001-5715-5562|https://orcid.org/0000-0001-7668-5200,||,,,True|False|False,cc-by,0,,KNOWLEDGE MANAGEMENT IN SOFTWARE DEVELOPMENT PROJECTS MANAGED THROUGH AGILE METHODS AND EXECUTED BY DISTRIBUTED TEAMS: A SYSTEMATIC REVIEW OF THE LITERATURE,https://doi.org/10.5748/19contecsi/pse/kmg/6941,0.0,False,en,True,gold,,,,,Business and Management Studies,2023-02-28,2023,review
https://openalex.org/W4322624678,"In a competitive scenario, technology projects are alternatives for cost reduction, process improvement or product or business differentiation. The growth of the software market is a consequence of this. The strategy for executing, managing and sustaining these plans must consider several factors, challenges and opportunities. One possible approach is the application of agile methodologies in the management of geographically distributed development teams. Many of the challenges faced in these contexts can be addressed and overcome through the adoption of Knowledge Management (KM), especially because this is an activity that demands intensive application of knowledge. This article aims to present a Systematic Review of the Literature conducted with the objective of verifying the existence of works that discuss the application of KM in contexts of managed projects with agile methods and executed by distributed teams evaluating: the challenges and opportunities provided by this scenario, the good practices and strategies adopted, and the results obtained. As a result, the importance of KM was confirmed within the context studied, as well as listing: the challenges and strategies for its adoption and the initiatives adopted and the results achieved in different companies with projects in similar scenarios to the one researched. Em um cenário de competitividade, as apostas em projetos de tecnologia são alternativas para a redução de custos, a melhoria de processos ou a diferenciação. O crescimento do mercado de software é um reflexo disso. A estratégia para execução, gestão e sustentação desses planos deve considerar diversos fatores, desafios e oportunidades. Uma possível abordagem é a aplicação de metodologias ágeis no gerenciamento de equipes de desenvolvimento geograficamente distribuídas. Muitos dos desafios enfrentados nesses contextos podem ser endereçados e superados por meio da adoção da Gestão do Conhecimento (GC), em especial por esta ser uma atividade que demanda intensiva aplicação de conhecimentos. Este artigo visa apresentar uma Revisão Sistemática da Literatura conduzida com o objetivo de verificar a existência de trabalhos que discutam a aplicação da GC em contextos de projetos gerenciados com métodos ágeis e executados por equipes distribuídas avaliando: os desafios e as oportunidades proporcionadas por esse cenário, as boas práticas e as estratégias adotadas, e os resultados obtidos. Como resultado confirmou-se a importância da GC dentro do contexto estudado, bem como elencar: os desafios e as estratégias para sua adoção e as iniciativas adotadas e os resultados alcançados em diferentes empresas com projetos em cenários semelhantes ao pesquisado.",Thiago Previatello Villela|Fernando Hadad Zaidan|Jose Lus Braga,https://openalex.org/A5022961888|https://openalex.org/A5084187796|https://openalex.org/A5003241150,|https://orcid.org/0000-0001-5715-5562|,||,,,True|False|False,cc-by,0,,KNOWLEDGE MANAGEMENT IN SOFTWARE DEVELOPMENT PROJECTS MANAGED THROUGH AGILE METHODS AND EXECUTED BY DISTRIBUTED TEAMS: A SYSTEMATIC REVIEW OF THE LITERATURE,https://doi.org/10.5748/19contecsi/pse/kmg/7014,0.0,False,en,True,gold,,,,,Big Data and Business Intelligence,2023-02-28,2023,review
