id,abstract,apc_list.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2494902551,,3350,Vahid Garousi|Kai Petersen|Barış Özkan,https://openalex.org/A5000712015|https://openalex.org/A5071394068|https://openalex.org/A5023204635,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0002-5489-6274,TR|SE|TR,Hacettepe University|Blekinge Institute of Technology|Atilim University,https://openalex.org/I66514158|https://openalex.org/I52719799|https://openalex.org/I45542416,True|False|False,other-oa,0.9980928,237,https://openalex.org/I66514158,Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,https://doi.org/10.1016/j.infsof.2016.07.006,,44.8859,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2016-07-30,2016,article
https://openalex.org/W2803356988,,,Martin Kalenda|Petr Hyna|Bruno Rossi,https://openalex.org/A5051773253|https://openalex.org/A5075534484|https://openalex.org/A5052792208,||https://orcid.org/0000-0002-8659-1520,CZ|CZ|CZ,Masaryk University|Agico (Czechia)|Masaryk University,https://openalex.org/I21449261|https://openalex.org/I4210142566|https://openalex.org/I21449261,False|False|True,,0.99329598,177,https://openalex.org/I21449261,"Scaling agile in large organizations: Practices, challenges, and success factors",https://doi.org/10.1002/smr.1954,,20.9665,False,en,False,closed,Journal of Software Evolution and Process,https://openalex.org/P4310320595,Wiley,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Techniques and Practices,2018-05-16,2018,article
https://openalex.org/W4239828870,,,Claes Wohlin,https://openalex.org/A5037810527,https://orcid.org/0000-0003-0460-5253,SE,Blekinge Institute of Technology,https://openalex.org/I52719799,True,,0.98285348,48,https://openalex.org/I52719799,Empirical software engineering research with industry: Top 10 challenges,https://doi.org/10.1109/cesi.2013.6618469,,12.1342,False,en,False,closed,,,,,,,Software Engineering Research,2013-05-01,2013,article
https://openalex.org/W4291909871,,2590,Ruchika Malhotra|Massoud Massoudi|Rajni Jindal,https://openalex.org/A5047796614|https://openalex.org/A5078534724|https://openalex.org/A5053492956,https://orcid.org/0000-0003-3872-6213|https://orcid.org/0000-0002-5492-4570|https://orcid.org/0000-0002-2388-7615,IN|IN|IN,Delhi Technological University|Delhi Technological University|Delhi Technological University,https://openalex.org/I863896202|https://openalex.org/I863896202|https://openalex.org/I863896202,True|False|False,,0.86788359,29,https://openalex.org/I863896202,An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths,https://doi.org/10.1007/s10639-022-11276-1,,2.1258,False,en,False,closed,Education and Information Technologies,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S166722454,1360-2357,journal,Biomedical and Engineering Education,2022-08-15,2022,article
https://openalex.org/W2466590866,,2390,Vahid Garousi|Matt M. Eskandar|Kadir Herkiloğlu,https://openalex.org/A5000712015|https://openalex.org/A5006049345|https://openalex.org/A5023268747,https://orcid.org/0000-0001-6590-7576||https://orcid.org/0000-0003-3258-7240,TR||TR,Hacettepe University||Aselsan (Turkey),https://openalex.org/I66514158||https://openalex.org/I56303344,True|False|False,cc-by-nc-nd,0.98756207,46,https://openalex.org/I66514158,Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,https://doi.org/10.1007/s11219-016-9319-5,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu|Hacettepe Üniversitesi,14.5016,False,en,True,green,Software Quality Journal,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S7504070,0963-9314,journal,Software Engineering Techniques and Practices,2016-06-01,2016,article
https://openalex.org/W2081467469,"Abstract—Software engineering research can be done in many ways, in particular it can be done in different ways when it comes to working with industry. This paper presents a list of top 10 challenges to work with industry based on our experience from working with industry in a very close collaboration with continuous exchange of knowledge and information. The top 10 list is based on a large number of research projects and empirical studies conducted with industrial research partners since 1983. It is concluded that close collaboration is a long-term undertaking and a large investment. The importance of addressing the top 10 challenges is stressed, since they form the basis for a long-term sustainable and successful collaboration between industry and academia. Index Terms—Industry collaboration, empirical studies, industry challenges. I.",,Claes Wohlin,https://openalex.org/A5037810527,https://orcid.org/0000-0003-0460-5253,SE,Blekinge Institute of Technology,https://openalex.org/I52719799,True,other-oa,0.98917779,40,https://openalex.org/I52719799,Empirical software engineering research with industry: top 10 challenges,https://doi.org/10.5555/2662528.2662542,,17.5485,False,en,True,green,,,,,,,Software Engineering Research,2013-05-19,2013,article
https://openalex.org/W2078481825,"Industry--academia projects exist in complex contexts of various stakeholders, time perspectives, and goals. In order to analyze projects and communicate about them, we have defined an ""architectural"" model for industry--academia collaboration, inspired by Kruchten's software architecture model. The model has four views of i) time, ii) space, iii) activity and iv) domain, corresponding to the questions: when, where, how and what. The +1 view is the scenario, binding the other four together. We illustrate the model by applying it to the Industrial Excellence Center EASE and the Sigrun Software Innovation and Engineering Institute. The model helps analyzing industry--academia collaboration projects, to find gaps and reduce redundant work.",,Per Runeson|Sten Minör,https://openalex.org/A5087032437|https://openalex.org/A5072766403,https://orcid.org/0000-0003-2795-4851|,SE|SE,Lund University|Lund University,https://openalex.org/I187531555|https://openalex.org/I187531555,True|False,other-oa,0.92964075,21,https://openalex.org/I187531555,The 4+1 view model of industry--academia collaboration,https://doi.org/10.1145/2647648.2647651,,3.2721,False,en,True,green,,,,,,,Advanced Software Engineering Methodologies,2014-09-16,2014,article
https://openalex.org/W2151560252,"More and more, software engineering researchers are motivated to solve real problems that bring value to industry. An example is the industry-academia collaboration described in this paper among everis, an IT consulting firm, and the GESSI research group at UPC. The goal of this paper is twofold: to evaluate the success of the collaboration, and to report the experience with conducting empirical studies in the industry and lessons learnt. We evaluated our collaboration with an existing model for technology transfer, and performed a focus group discussion to identify challenges we have faced. After initialization and alignment of the collaboration, a high maturity level has been achieved: we have obtained the first results in form of proposed solutions, scientific publications, and pilots run in real projects. In spite of this positive progress, further initiatives need to be undertaken in the last phases of the collaboration to achieve high degrees of maturity in deployment impact, industry benefit and innovativeness. Evaluating the collaboration has been positive, since we identified the next steps to be taken to achieve a high degree of technology transfer and innovation dissemination. We think it is a needed step in industry-academia collaborations in order to improve their success.",,Silverio Martínez‐Fernández|Helena Martins Marques,https://openalex.org/A5050955846|https://openalex.org/A5028357678,https://orcid.org/0000-0001-9928-133X|,ES|ES,Universitat Politècnica de Catalunya|Everis (Spain),https://openalex.org/I9617848|https://openalex.org/I4210136723,True|False,other-oa,0.9724939,15,https://openalex.org/I9617848,Practical experiences in designing and conducting empirical studies in industry-academia collaboration,https://doi.org/10.1145/2593690.2593696,,8.1995,False,en,True,green,,,,,,,Software Engineering Techniques and Practices,2014-05-20,2014,article
https://openalex.org/W2064883847,"In industry--academia collaboration projects, there are many issues related to different time horizons in industry and academia. If not adressed upfront, they may hinder collaboration in such projects. We analyze our experiences from a 10 year industry--academia collaboration program, the EASE Industrial Excellence Center in Sweden, and identify issues and feasible practices to overcome the hurdles of different time horizons. Specifically, we identify issues related to contracts, goals, results, organization (in)stability, and work practices. We identify several areas where the time horizon is different, and conclude that mutual awareness of these differences and management commitment to the collaboration are the key means to overcome the differences. The launch of a mediating institute may also be part of the solution.",,Per Runeson|Sten Minör|Johan Svenér,https://openalex.org/A5087032437|https://openalex.org/A5072766403|https://openalex.org/A5000650029,https://orcid.org/0000-0003-2795-4851||,SE|SE|SE,Lund University|Lund University|Mobile Heights (Sweden),https://openalex.org/I187531555|https://openalex.org/I187531555|https://openalex.org/I4210102622,True|False|False,other-oa,0.94048784,12,https://openalex.org/I187531555,Get the cogs in synch,https://doi.org/10.1145/2647648.2647652,,3.9446,False,en,True,green,,,,,,,Software Engineering Techniques and Practices,2014-09-16,2014,article
https://openalex.org/W3192238392,"Abstract Empirical software engineering research relies on good communication with industrial partners. Conducting joint research both requires and contributes to bridging the communication gap between industry and academia (IA) in software engineering. This study aims to explore communication between the two parties in such a setting. To better understand what facilitates good IA communication and what project outcomes such communication promotes, we performed a case study, in the context of a long‐term IA joint project, followed by a validating survey among practitioners and researchers with experience of working in similar settings. We identified five facilitators of IA communication and nine project outcomes related to this communication. The facilitators concern the relevance of the research, practitioners' attitude and involvement in research, frequency of communication and longevity of the collaboration. The project outcomes promoted by this communication include, for researchers, changes in teaching and new scientific venues, and for practitioners, increased awareness, changes to practice, and new tools and source code. Besides, both parties gain new knowledge and develop social‐networks through IA communication. Our study presents empirically based insights that can provide advise on how to improve communication in IA research projects and thus the co‐creation of software engineering knowledge that is anchored in both practice and research.",,Sergio Rico|Elizabeth Bjarnason|Emelie Engström|Martin Höst|Per Runeson,https://openalex.org/A5055541950|https://openalex.org/A5054500822|https://openalex.org/A5085978732|https://openalex.org/A5045592913|https://openalex.org/A5087032437,https://orcid.org/0000-0002-9348-2912|https://orcid.org/0000-0001-9070-0008|https://orcid.org/0000-0001-6736-9425|https://orcid.org/0000-0002-9360-8693|https://orcid.org/0000-0003-2795-4851,SE|SE|SE|SE|SE,Lund University|Lund Science (Sweden)|Lund University|Lund Science (Sweden)|Lund University|Lund Science (Sweden)|Lund University|Lund Science (Sweden)|Lund University|Lund Science (Sweden),https://openalex.org/I187531555|https://openalex.org/I4210150153|https://openalex.org/I187531555|https://openalex.org/I4210150153|https://openalex.org/I187531555|https://openalex.org/I4210150153|https://openalex.org/I187531555|https://openalex.org/I4210150153|https://openalex.org/I187531555|https://openalex.org/I4210150153,True|False|False|False|False,cc-by,0.90240825,9,https://openalex.org/I187531555|https://openalex.org/I4210150153,A case study of industry–academia communication in a joint software engineering research project,https://doi.org/10.1002/smr.2372,VINNOVA,2.278,False,en,True,hybrid,Journal of Software Evolution and Process,https://openalex.org/P4310320595,Wiley,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Techniques and Practices,2021-07-29,2021,article
