id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2162739315,"Case study is a suitable research methodology for software engineering research since it studies contemporary phenomena in its natural context. However, the understanding of what constitutes a case study varies, and hence the quality of the resulting studies. This paper aims at providing an introduction to case study methodology and guidelines for researchers conducting case studies and readers studying reports of such studies. The content is based on the authors’ own experience from conducting and reading case studies. The terminology and guidelines are compiled from different methodology handbooks in other research domains, in particular social science and information systems, and adapted to the needs in software engineering. We present recommended practices for software engineering case studies as well as empirically derived and evaluated checklists for researchers and readers of case study research.",2290,2290,Per Runeson|Martin Höst,https://openalex.org/A5087032437|https://openalex.org/A5045592913,https://orcid.org/0000-0003-2795-4851|https://orcid.org/0000-0002-9360-8693,SE|SE,Lund University|Lund University,https://openalex.org/I187531555|https://openalex.org/I187531555,True|False,cc-by-nc,0.99985286,3759,https://openalex.org/I187531555,Guidelines for conducting and reporting case study research in software engineering,https://doi.org/10.1007/s10664-008-9102-8,Vetenskapsrådet,157.5196,False,en,True,hybrid,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Techniques and Practices,2008-12-18,2008,article
https://openalex.org/W4220698983,"A good search strategy is essential for a successful systematic literature study. Historically, database searches have been the norm, which was later complemented with snowball searches. Our conjecture is that we can perform even better searches if combining these two search approaches, referred to as a hybrid search strategy. Our main objective was to compare and evaluate a hybrid search strategy. Furthermore, we compared four alternative hybrid search strategies to assess whether we could identify more cost-efficient ways of searching for relevant primary studies. To compare and evaluate the hybrid search strategy, we replicated the search procedure in a systematic literature review (SLR) on industry–academia collaboration in software engineering. The SLR used a more “traditional” approach to searching for relevant articles for an SLR, while our replication was executed using a hybrid search strategy. In our evaluation, the hybrid search strategy was superior in identifying relevant primary studies. It identified 30% more primary studies and even more studies when focusing only on peer-reviewed articles. To embrace individual viewpoints when assessing research articles and minimise the risk of missing primary studies, we introduced two new concepts, wild cards and borderline articles, when performing systematic literature studies. The hybrid search strategy is a strong contender for being used when performing systematic literature studies. Furthermore, alternative hybrid search strategies may be viable if selected wisely in relation to the start set for snowballing. Finally, the two new concepts were judged as essential to cater for different individual judgements and to minimise the risk of excluding primary studies that ought to be included.",3350,3350,Claes Wohlin|Marcos Kalinowski|Katia Romero Felizardo|Emília Mendes,https://openalex.org/A5037810527|https://openalex.org/A5062526200|https://openalex.org/A5043877845|https://openalex.org/A5103878525,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-1445-3425|https://orcid.org/0000-0001-9080-4165|,SE|BR|BR|SE,Blekinge Institute of Technology|Pontifícia Universidade Católica do Rio de Janeiro|Universidade Tecnológica Federal do Paraná|Blekinge Institute of Technology,https://openalex.org/I52719799|https://openalex.org/I2699952|https://openalex.org/I1283613182|https://openalex.org/I52719799,True|False|False|False,cc-by,0.99982726,362,https://openalex.org/I52719799,Successful combination of database search and snowballing for identification of primary studies in systematic literature studies,https://doi.org/10.1016/j.infsof.2022.106908,Conselho Nacional de Desenvolvimento Científico e Tecnológico,99.5403,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2022-03-28,2022,article
https://openalex.org/W4323546023,"Recent studies have highlighted transparency and explainability as important quality requirements of AI systems. However, there are still relatively few case studies that describe the current state of defining these quality requirements in practice. This study consisted of two phases. The first goal of our study was to explore what ethical guidelines organizations have defined for the development of transparent and explainable AI systems and then we investigated how explainability requirements can be defined in practice. In the first phase, we analyzed the ethical guidelines in 16 organizations representing different industries and public sector. Then, we conducted an empirical study to evaluate the results of the first phase with practitioners. The analysis of the ethical guidelines revealed that the importance of transparency is highlighted by almost all of the organizations and explainability is considered as an integral part of transparency. To support the definition of explainability requirements, we propose a model of explainability components for identifying explainability needs and a template for representing explainability requirements. The paper also describes the lessons we learned from applying the model and the template in practice. For researchers, this paper provides insights into what organizations consider important in the transparency and, in particular, explainability of AI systems. For practitioners, this study suggests a systematic and structured way to define explainability requirements of AI systems. Furthermore, the results emphasize a set of good practices that help to define the explainability of AI systems.",3350,3350,Nagadivya Balasubramaniam|Marjo Kauppinen|Antti Rannisto|Kari Hiekkanen|Sari Kujala,https://openalex.org/A5089381015|https://openalex.org/A5084761357|https://openalex.org/A5085216740|https://openalex.org/A5087692791|https://openalex.org/A5062469663,https://orcid.org/0009-0007-3869-6479|https://orcid.org/0000-0002-8794-6792||https://orcid.org/0000-0001-8091-1792|https://orcid.org/0000-0001-5586-3725,FI|FI|FI|FI|FI,Aalto University|Aalto University|Aalto University|Haaga-Helia University of Applied Sciences|Aalto University|Aalto University,https://openalex.org/I9927081|https://openalex.org/I9927081|https://openalex.org/I9927081|https://openalex.org/I38186990|https://openalex.org/I9927081|https://openalex.org/I9927081,True|False|False|False|False,cc-by,0.99923591,292,https://openalex.org/I9927081,Transparency and explainability of AI systems: From ethical guidelines to requirements,https://doi.org/10.1016/j.infsof.2023.107197,Aalto-Yliopisto,72.5085,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Ethics and Social Impacts of AI,2023-03-08,2023,article
https://openalex.org/W2015232149,,2290,,Martin Ivarsson|Tony Gorschek,https://openalex.org/A5063760582|https://openalex.org/A5047199297,|https://orcid.org/0000-0002-3646-235X,SE|SE,Chalmers University of Technology|Blekinge Institute of Technology,https://openalex.org/I66862912|https://openalex.org/I52719799,True|False,,0.9918777,279,https://openalex.org/I66862912,A method for evaluating rigor and industrial relevance of technology evaluations,https://doi.org/10.1007/s10664-010-9146-4,,21.4247,False,en,False,closed,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Techniques and Practices,2010-10-05,2010,article
https://openalex.org/W1979893797,,3560,,Henry Edison|Nauman bin Ali|Richard Torkar,https://openalex.org/A5026321193|https://openalex.org/A5072594385|https://openalex.org/A5030588511,https://orcid.org/0000-0002-9494-8059|https://orcid.org/0000-0001-7266-5632|https://orcid.org/0000-0002-0118-8143,SE|SE|SE,Blekinge Institute of Technology|Blekinge Institute of Technology|Blekinge Institute of Technology|Chalmers University of Technology,https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I66862912,False|False|True,other-oa,0.9958753,268,https://openalex.org/I52719799|https://openalex.org/I66862912,Towards innovation measurement in the software industry,https://doi.org/10.1016/j.jss.2013.01.013,,27.2045,False,en,True,green,Journal of Systems and Software,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S37879656,0164-1212,journal,Knowledge Management and Sharing,2013-02-09,2013,article
https://openalex.org/W2622958941,,2290,,Davide Falessi|Natália Juristo|Claes Wohlin|Burak Turhan|Jürgen Münch|Andreas Jedlitschka|Markku Oivo,https://openalex.org/A5075793467|https://openalex.org/A5056117323|https://openalex.org/A5037810527|https://openalex.org/A5044710601|https://openalex.org/A5071830803|https://openalex.org/A5030958043|https://openalex.org/A5064264297,https://orcid.org/0000-0002-6340-0058|https://orcid.org/0000-0002-2465-7141|https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-1511-2163|https://orcid.org/0000-0003-0327-8094|https://orcid.org/0000-0003-3590-6331|https://orcid.org/0000-0002-1698-2323,US|ES|SE|GB|DE|FI|DE|FI,California Polytechnic State University|Universidad Politécnica de Madrid|Blekinge Institute of Technology|Brunel University of London|University of Helsinki|Reutlingen University|Fraunhofer Institute for Experimental Software Engineering|University of Oulu,https://openalex.org/I149919469|https://openalex.org/I88060688|https://openalex.org/I52719799|https://openalex.org/I59433898|https://openalex.org/I133731052|https://openalex.org/I57589565|https://openalex.org/I4210098380|https://openalex.org/I98381234,True|False|False|False|False|False|False,other-oa,0.99787376,243,https://openalex.org/I149919469,Empirical software engineering experts on the use of students and professionals in experiments,https://doi.org/10.1007/s10664-017-9523-3,,42.4951,False,en,True,green,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Techniques and Practices,2017-06-08,2017,article
https://openalex.org/W2494902551,,3350,,Vahid Garousi|Kai Petersen|Barış Özkan,https://openalex.org/A5000712015|https://openalex.org/A5071394068|https://openalex.org/A5023204635,https://orcid.org/0000-0001-6590-7576|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0002-5489-6274,TR|SE|TR,Hacettepe University|Blekinge Institute of Technology|Atilim University,https://openalex.org/I66514158|https://openalex.org/I52719799|https://openalex.org/I45542416,True|False|False,other-oa,0.9980928,237,https://openalex.org/I66514158,Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,https://doi.org/10.1016/j.infsof.2016.07.006,,44.8859,False,en,True,green,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Techniques and Practices,2016-07-30,2016,article
https://openalex.org/W2163004671,"In this paper, we present the results from two surveys related to data science applied to software engineering. The first survey solicited questions that software engineers would like data scientists to investigate about software, about software processes and practices, and about software engineers. Our analyses resulted in a list of 145 questions grouped into 12 categories. The second survey asked a different pool of software engineers to rate these 145 questions and identify the most important ones to work on first. Respondents favored questions that focus on how customers typically use their applications. We also saw opposition to questions that assess the performance of individual employees or compare them with one another. Our categorization and catalog of 145 questions can help researchers, practitioners, and educators to more easily focus their efforts on topics that are important to the software industry.",,,Andrew Begel|Thomas Zimmermann,https://openalex.org/A5069794323|https://openalex.org/A5061605447,https://orcid.org/0000-0002-7425-4818|https://orcid.org/0000-0003-4905-1469,US|US,Microsoft (United States)|Microsoft (United States),https://openalex.org/I1290206253|https://openalex.org/I1290206253,True|False,,0.9990177,211,https://openalex.org/I1290206253,Analyze this! 145 questions for data scientists in software engineering,https://doi.org/10.1145/2568225.2568233,,62.1713,False,en,True,gold,,,,,,,Software Engineering Research,2014-05-20,2014,article
https://openalex.org/W2270985711,"Software startups are newly created companies with no operating history and oriented towards producing cutting-edge products. However, despite the increasing importance of startups in the economy, few scientific studies attempt to address software engineering issues, especially for early-stage startups. If anything, startups need engineering practices of the same level or better than those of larger companies, as their time and resources are more scarce, and one failed project can put them out of business. In this study we aim to improve understanding of the software development strategies employed by startups. We performed this state-of-practice investigation using a grounded theory approach. We packaged the results in the Greenfield Startup Model (GSM), which explains the priority of startups to release the product as quickly as possible. This strategy allows startups to verify product and market fit, and to adjust the product trajectory according to early collected user feedback. The need to shorten time-to-market, by speeding up the development through low-precision engineering activities, is counterbalanced by the need to restructure the product before targeting further growth. The resulting implications of the GSM outline challenges and gaps, pointing out opportunities for future research to develop and validate engineering practices in the startup context.",,,Carmine Giardino|Nicolò Paternoster|Michael Unterkalmsteiner|Tony Gorschek|Pekka Abrahamsson,https://openalex.org/A5015791012|https://openalex.org/A5042106323|https://openalex.org/A5091409516|https://openalex.org/A5047199297|https://openalex.org/A5058417486,||https://orcid.org/0000-0003-4118-0952|https://orcid.org/0000-0002-3646-235X|https://orcid.org/0000-0002-4360-2226,IT|SE|SE|SE|NO,Free University of Bozen-Bolzano|Blekinge Institute of Technology|Blekinge Institute of Technology|Blekinge Institute of Technology|Norwegian University of Science and Technology,https://openalex.org/I171543936|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I204778367,True|False|False|False|False,cc-by-nc-sa,0.99731421,185,https://openalex.org/I171543936,Software Development in Startup Companies: The Greenfield Startup Model,https://doi.org/10.1109/tse.2015.2509970,Blekinge Tekniska Högskola,38.9923,False,en,True,green,IEEE Transactions on Software Engineering,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S8351582,0098-5589,journal,Software Engineering Techniques and Practices,2015-12-17,2015,article
https://openalex.org/W2022507817,Collaboration between industry and academia supports improvement and innovation in industry and helps to ensure industrial relevance in academic research. This article presents an exploratory study of the factors for successful collaboration between industry and academia in software research.,,,Claes Wohlin|Aybüke Aurum|Lefteris Angelis|Laura Phillips|Yvonne Dittrich|Tony Gorschek|Håkan Grahn|Kennet Henningsson|Simon Kågström|Graham Low|Per Rovegard|Piotr Tomaszewski|Christine Van Toorn|Jeff Winter,https://openalex.org/A5037810527|https://openalex.org/A5000503974|https://openalex.org/A5008070273|https://openalex.org/A5050272709|https://openalex.org/A5033163346|https://openalex.org/A5047199297|https://openalex.org/A5032002580|https://openalex.org/A5001380771|https://openalex.org/A5074314159|https://openalex.org/A5113594013|https://openalex.org/A5052462733|https://openalex.org/A5056102667|https://openalex.org/A5077908164|https://openalex.org/A5052500422,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-2416-4555|https://orcid.org/0000-0002-6677-4039|https://orcid.org/0000-0003-3186-6598|https://orcid.org/0000-0003-4757-3394|https://orcid.org/0000-0002-3646-235X|https://orcid.org/0000-0001-9947-1088|||||https://orcid.org/0000-0001-7877-2121||https://orcid.org/0000-0002-2444-527X,SE|AU|GR||DK|SE|SE|AU|SE|CN|AU|IT|AU|SE|AU|SE|SE,Blekinge Institute of Technology|UNSW Sydney|Aristotle University of Thessaloniki||IT University of Copenhagen|Blekinge Institute of Technology|Blekinge Institute of Technology|Blekinge Institute of Technology|UNSW Sydney|Insight (China)|UNSW Sydney|Ericsson (Italy)|UNSW Sydney|Ericsson (Sweden)|Blekinge Institute of Technology|UNSW Sydney|Blekinge Institute of Technology|Blekinge Institute of Technology,https://openalex.org/I52719799|https://openalex.org/I31746571|https://openalex.org/I21370196||https://openalex.org/I83467386|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I31746571|https://openalex.org/I4210099567|https://openalex.org/I31746571|https://openalex.org/I4210126170|https://openalex.org/I31746571|https://openalex.org/I1306339040|https://openalex.org/I52719799|https://openalex.org/I31746571|https://openalex.org/I52719799|https://openalex.org/I52719799,True|False|False|False|False|False|False|False|False|False|False|False|False|False,other-oa,0.99656786,182,https://openalex.org/I52719799,The Success Factors Powering Industry-Academia Collaboration,https://doi.org/10.1109/ms.2011.92,University of New South Wales,30.5708,False,en,True,green,IEEE Software,https://openalex.org/P4310320439,IEEE Computer Society,https://openalex.org/S6725529,0740-7459,journal,"Research, Science, and Academia",2011-08-03,2011,article
