title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Science of Software Product Lines,,"[{'authorId': '2258706344', 'name': 'Don S. Batory'}]",2026.0,,{'name': 'Science of Software Product Lines'},https://www.semanticscholar.org/paper/fe7334a96806be105b66f51d3cc8ce01f1f2531f,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3731302?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3731302, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,184,,['Book'],,"{'DOI': '10.1145/3731302', 'CorpusId': 286792570}",0,Don S. Batory,Book,"DOI:10.1145/3731302, CorpusId:286792570"
Pimp My LLM: Leveraging Variability Modeling to Tune Inference Hyperparameters,"Large Language Models (LLMs) are being increasingly used across a wide range of tasks. However, their substantial computational demands raise concerns about the energy efficiency and sustainability of both training and inference. Inference, in particular, dominates total compute usage, making its optimization crucial. Recent research has explored optimization techniques and analyzed how configuration choices influence energy consumption. Yet, the vast configuration space of inference servers makes exhaustive empirical evaluation infeasible due to combinatorial explosion. In this paper, we introduce a new perspective on this problem by treating LLMs as configurable systems and applying variability management techniques to systematically analyze inference-time configuration choices. We evaluate our approach on the Hugging Face Transformers library by representing generation hyperparameters and their constraints using a feature-based variability model, sampling representative configurations, measuring their energy consumption, latency, accuracy, and learning predictive models from the collected data. Our results show that variability modeling effectively manages the complexity of LLM inference configurations. It enables systematic analysis of hyperparameters effects and interactions, reveals trade-offs, and supports prediction of inference behavior from a limited number of measurements. Overall, this work opens a new research direction that bridges software engineering and machine learning by leveraging variability modeling for the efficient and sustainable configuration of LLMs.","[{'authorId': '2378438961', 'name': 'Nada Zine'}, {'authorId': '2306661981', 'name': 'Clément Quinton'}, {'authorId': '2285446102', 'name': 'Romain Rouvoy'}]",2026.0,arXiv.org,"{'volume': 'abs/2602.17697', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/12ced673b6f80e2a2921d09b9698f155598f1992,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2602.17697, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,65,,['JournalArticle'],['Computer Science'],"{'ArXiv': '2602.17697', 'DBLP': 'journals/corr/abs-2602-17697', 'DOI': '10.48550/arXiv.2602.17697', 'CorpusId': 285872654}",0,"Nada Zine, Clément Quinton, Romain Rouvoy",JournalArticle,"ArXiv:2602.17697, DBLP:journals/corr/abs-2602-17697, DOI:10.48550/arXiv.2602.17697, CorpusId:285872654"
PyroBuildS: Speeding up the exploration of large configuration spaces with incremental build,"Software developers are acutely aware that software build is an essential but resource-intensive step in any software development process, all the more when building large and/or highly configurable systems, whose vast number of configuration options leads to an explosion in the number of variants to build and evaluate. A potential approach to speed up the builds of multiple configurations is to do incremental build , i.e. , to not clean the build environment and reuse previous builds when building a new configuration. Previous exploratory studies showed some benefits and limitations of incremental build, but mainly on small configurable software systems and on a limited set of close configurations. However, for large configuration spaces , little is known whether the large distance across configurations impacts the correctness and efficiency of incremental build. This paper presents PyroBuildS , a new approach to speed up incremental builds while keeping reproducibility, featuring a configuration variation operator parameterized by two deny lists of problematic options and a mutation size (diversity). We evaluate PyroBuildS through an empirical study on three large complex configurable systems, namely Linux, BusyBox, and ToyBox, with respectively 18637, 1078, 330 configuration options. We first show that for all configurations PyroBuildS produces the exact same binaries as a clean","[{'authorId': '2154316077', 'name': 'Georges Aaron Randrianaina'}, {'authorId': '1866611', 'name': 'D. Khelladi'}, {'authorId': '2624371', 'name': 'Olivier Zendra'}, {'authorId': '2273976931', 'name': 'Mathieu Acher'}]",2026.0,Journal of Systems and Software,"{'volume': '231', 'pages': '112592', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/2af953856b2b4e56f464caf8115ab3d8c70ac9cd,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jss.2025.112592?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jss.2025.112592, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,71,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/jss/RandrianainaKZA26', 'DOI': '10.1016/j.jss.2025.112592', 'CorpusId': 280678241}",0,"Georges Aaron Randrianaina, D. Khelladi, Olivier Zendra, Mathieu Acher",JournalArticle,"DBLP:journals/jss/RandrianainaKZA26, DOI:10.1016/j.jss.2025.112592, CorpusId:280678241"
Toward Reliable Forward Snowballing in Systematic Literature Reviews: A Comparative Study and Framework Proposal,"Systematic Literature Reviews (SLRs) play a vital role in the software engineering field by synthesizing existing knowledge, identifying research gaps, and guiding future investigations with methodological rigor. Given the rapid growth of published research, techniques such as snowballing are essential. Forward snowballing, in particular, helps to discover newer studies that cite key seed papers, enhancing the completeness of SLRs. Despite its value, when performed manually, it remains a labor-intensive and error-prone task. To address this challenge, we mapped existing tools that support forward snowballing. Our analysis focuses on the capabilities of these tools to automate core tasks, including the identification of relevant articles and the extraction of bibliographic metadata. We critically examine their reliability by comparing their outputs against a manually curated forward snowballing process. Key evaluation criteria include the completeness and relevance of the metadata retrieved, the quality of the retrieved scientific databases, and the ease of integration into SLR workflows. As future research, based on our findings, we will propose a framework that takes advantage of existing tools to automate forward snowballing.","[{'authorId': '2384877308', 'name': 'Jailma Januário'}, {'authorId': '2366833676', 'name': 'Maria Isabel Nicolau'}, {'authorId': '2384880689', 'name': 'K. R. Felizardo'}, {'authorId': '2386571362', 'name': 'Juliana Alves Pereira'}]",2025.0,Brazilian Symposium on Software Engineering,{'pages': '762-768'},https://www.semanticscholar.org/paper/ab88cd30df38fe952f4d9064612595bec32ddfd4,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.5753/sbes.2025.11559?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5753/sbes.2025.11559, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,26,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'conf/sbes/JanuarioNFP25', 'DOI': '10.5753/sbes.2025.11559', 'CorpusId': 281978583}",0,"Jailma Januário, Maria Isabel Nicolau, K. R. Felizardo, Juliana Alves Pereira","JournalArticle, Review","DBLP:conf/sbes/JanuarioNFP25, DOI:10.5753/sbes.2025.11559, CorpusId:281978583"
Comparing LLMs and Proposing an ML-Based Approach for Search String Generation in Systematic Literature Reviews,"The formulation of an effective search string is a critical process in systematic literature reviews (SLRs), as it directly influences both the coverage and precision of the retrieved studies. Traditionally, this process relies on manual keyword selection and expert-driven refinements, making it laborious, susceptible to human bias, and often inaccessible to non-specialists. To address these limitations, this study explores the application of artificial intelligence (AI) to support the generation of search strings.We organized our ongoing investigation into two main phases. In the first phase, we evaluated the performance of search strings generated by different large language models (LLMs), specifically Llama-8B, Gemma-12B, and Mistral-Nemo-12B, using a previously published SLR as a benchmark. Our results suggest that, while LLMs can assist in search string formulation, their effectiveness is inconsistent and sensitive to input conditions. Motivated by these limitations, we propose a semi-automated pipeline based on Machine Learning (ML). Through our preliminary analysis, we proposed a standardized reproducible evaluation framework to assess and compare AI-based search string generation strategies, including our proposed ML-based approach.","[{'authorId': '2384882831', 'name': 'Diogo Adário Marassi'}, {'authorId': '2386571362', 'name': 'Juliana Alves Pereira'}, {'authorId': '2384880689', 'name': 'K. R. Felizardo'}]",2025.0,Brazilian Symposium on Software Engineering,{'pages': '852-858'},https://www.semanticscholar.org/paper/ddbb648ebb9a59d50318b3c3df6387f792a00387,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.5753/sbes.2025.11612?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5753/sbes.2025.11612, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,33,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'conf/sbes/MarassiPF25', 'DOI': '10.5753/sbes.2025.11612', 'CorpusId': 281959879}",0,"Diogo Adário Marassi, Juliana Alves Pereira, K. R. Felizardo","JournalArticle, Review","DBLP:conf/sbes/MarassiPF25, DOI:10.5753/sbes.2025.11612, CorpusId:281959879"
"Minimal Data, Maximum Clarity: A Heuristic for Explaining Optimization","Efficient, interpretable optimization is a critical but underexplored challenge in software engineering, where practitioners routinely face vast configuration spaces and costly, error-prone labeling processes. This paper introduces EZR, a novel and modular framework for multi-objective optimization that unifies active sampling, learning, and explanation within a single, lightweight pipeline. Departing from conventional wisdom, our Maximum Clarity Heuristic demonstrates that using less (but more informative) data can yield optimization models that are both effective and deeply understandable. EZR employs an active learning strategy based on Naive Bayes sampling to efficiently identify high-quality configurations with a fraction of the labels required by fully supervised approaches. It then distills optimization logic into concise decision trees, offering transparent, actionable explanations for both global and local decision-making. Extensive experiments across 60 real-world datasets establish that EZR reliably achieves over 90% of the best-known optimization performance in most cases, while providing clear, cohort-based rationales that surpass standard attribution-based explainable AI (XAI) methods (LIME, SHAP, BreakDown) in clarity and utility. These results endorse""less but better""; it is both possible and often preferable to use fewer (but more informative) examples to generate label-efficient optimization and explanations in software systems. To support transparency and reproducibility, all code and experimental materials are publicly available at https://github.com/amiiralii/Minimal-Data-Maximum-Clarity.","[{'authorId': '2209217526', 'name': 'Amirali Rayegan'}, {'authorId': '2379938185', 'name': 'Tim Menzies'}]",2025.0,Journal of Systems and Software,"{'volume': 'abs/2509.08667', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/a85bd9bff8887efd7363c0578c1533b0bff922dd,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2509.08667, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",4,60,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/corr/abs-2509-08667', 'ArXiv': '2509.08667', 'DOI': '10.1016/j.jss.2026.112897', 'CorpusId': 281244217}",0,"Amirali Rayegan, Tim Menzies",JournalArticle,"DBLP:journals/corr/abs-2509-08667, ArXiv:2509.08667, DOI:10.1016/j.jss.2026.112897, CorpusId:281244217"
Efficiently Ranking Software Variants with Minimal Benchmarks,"Benchmarking is a common practice in software engineering to assess the qualities and performance of software variants, coming from multiple competing systems or from configurations of the same system. Benchmarks are used notably to compare and understand variant performance, fine-tune software, detect regressions, or design new software systems. The execution of benchmarks to get a complete picture of software variants is highly costly in terms of computational resources and time. In this paper, we propose a novel approach for reducing benchmarks while maintaining stable rankings, using test suite optimization techniques. That is, we remove instances from the benchmarks while trying to keep the same rankings of the variants on all tests. Our method, BISection Sampling, BISS, strategically retains the most critical tests and applies a novel divide-and-conquer approach to efficiently sample among relevant remaining tests. We experiment with datasets and use cases from LLM leaderboards, SAT competitions, and configurable systems for performance modeling. Our results show that our method outperforms baselines even when operating on a subset of variants. Using BISS, we reduce the computational cost of the benchmarks on average to 44% and on more than half the benchmarks by up to 99% without loss in ranking stability.","[{'authorId': '2344365138', 'name': 'Théo Matricon'}, {'authorId': '2239838262', 'name': 'M. Acher'}, {'authorId': '2260569425', 'name': 'Helge Spieker'}, {'authorId': '2260569421', 'name': 'Arnaud Gotlieb'}]",2025.0,arXiv.org,"{'volume': 'abs/2509.06716', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/953bab9680cedeb7bb8094be689068aacbe280c2,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2509.06716, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,74,,['JournalArticle'],['Computer Science'],"{'ArXiv': '2509.06716', 'DBLP': 'journals/corr/abs-2509-06716', 'DOI': '10.48550/arXiv.2509.06716', 'CorpusId': 281204249}",0,"Théo Matricon, M. Acher, Helge Spieker, Arnaud Gotlieb",JournalArticle,"ArXiv:2509.06716, DBLP:journals/corr/abs-2509-06716, DOI:10.48550/arXiv.2509.06716, CorpusId:281204249"
FMCooler: Simulated annealing for feature model configuration selection,"FMCooler is a tool for the automatic optimization in the selection of a configuration from a feature model based on the Simulated Annealing metaheuristic. It is a python-based tool built on top of flamapy, qubovert and dwave-neal. The formulation abstractions and details are exposed, as well as examples of usage to understand the easy handling of the module. We discuss experimentation results to argue that is a valid candidate to be included in the toolset to address this problem given its competitive results and scalability. We also include a discussion on future extensions as the reuse of the abstractions for experimenting with quantum computation. Tool and video: https://github.com/jdanielescanez/fmcooler","[{'authorId': '2186114739', 'name': 'Daniel Escanez-Exposito'}, {'authorId': '2271739437', 'name': 'Jabier Martinez'}, {'authorId': '2238024', 'name': 'E. Osaba'}, {'authorId': '1398181108', 'name': 'P. Caballero-Gil'}]",2025.0,Software Product Lines Conference,{'name': 'Proceedings of the 29th ACM International Systems and Software Product Line Conference - Volume B'},https://www.semanticscholar.org/paper/06c63d5500c44d1b0829f47cde15cdd8ea1b5797,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3748269.3748488?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3748269.3748488, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,29,,"['JournalArticle', 'Book']",['Computer Science'],"{'DBLP': 'conf/splc/Escanez-Exposito25', 'DOI': '10.1145/3748269.3748488', 'CorpusId': 281053555}",0,"Daniel Escanez-Exposito, Jabier Martinez, E. Osaba, P. Caballero-Gil","JournalArticle, Book","DBLP:conf/splc/Escanez-Exposito25, DOI:10.1145/3748269.3748488, CorpusId:281053555"
On Reverse Engineering Cardinality-Based Feature Models,We consider the problem of reverse engineering a cardinality-based feature model from a given set of multi-instance feature configurations. Established reverse engineering techniques and tools for classical Boolean feature models are not directly adaptable to the problem due to the non-convexity and infinite nature of the configuration spaces shaped by these models. We first give a precise problem definition and then sketch a first solution approach based on a combination of classical techniques for Boolean configuration spaces and machine-learning techniques for multiplicity constraints. We conclude with a discussion of open research challenges.,"[{'authorId': '2280945653', 'name': 'Mathis Weiß'}, {'authorId': '2378543918', 'name': 'Simon Imran Butt'}, {'authorId': '1734716', 'name': 'Malte Lochau'}]",2025.0,Software Product Lines Conference,{'name': 'Proceedings of the 29th ACM International Systems and Software Product Line Conference - Volume B'},https://www.semanticscholar.org/paper/0482cc041fa0741d9fdaba914d0bd5673f3bf3d9,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3748269.3749384?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3748269.3749384, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,6,,"['Book', 'JournalArticle']",['Computer Science'],"{'DBLP': 'conf/splc/WeissBL25', 'DOI': '10.1145/3748269.3749384', 'CorpusId': 281069552}",0,"Mathis Weiß, Simon Imran Butt, Malte Lochau","Book, JournalArticle","DBLP:conf/splc/WeissBL25, DOI:10.1145/3748269.3749384, CorpusId:281069552"
Understanding Product Line Runtime Performance with Behaviour Models and Regression Model Trees,"Performance models for software product lines encode the relation between configurable product features and performance attributes. These cover both static attributes such as binary size, and runtime-specific attributes such as throughput or latency. However, although runtime-specific attributes depend on workload and application behaviour, existing approaches typically only predict a single performance value for each attribute and product line configuration. They utilize fixed reference workloads for model learning and performance prediction, and are therefore inadequate for predicting feature-dependent runtime performance attributes of variable workloads (e.g., variable query sequences in a database management system). Moreover, viewing a product line as a black box that is only described by its feature model hinders efficient benchmark data acquisition and reasoning about unexpected performance effects. We propose to make performance models aware of software product line implementations, thus improving flexibility, interpretability, and learning time. To do so, we decompose runtime behaviour into distinct events (state machine transitions), and annotate each event with an event-specific performance model (regression model tree). The combination of state machine-based behaviour models with regression model trees allows us to predict performance attributes of arbitrary event sequences (words accepted by the state machine). In addition to more flexible models that are no longer bound to a specific workload, this approach improves model interpretability and learning time by using smaller models for individual workload components. We show the advantages of this approach in a database management system product line case study, and use it to explain unexpected behaviour on a real-world server system.","[{'authorId': '2239227811', 'name': 'B. Friesel'}, {'authorId': '2239298873', 'name': 'Olaf Spinczyk'}]",2025.0,Software Product Lines Conference,{'name': 'Proceedings of the 2025 29th ACM International Systems and Software Product Line Conference - Volume A'},https://www.semanticscholar.org/paper/d3a1ac0b810784c4062ca2580369bea5779677bb,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3744915.3748472?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3744915.3748472, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1,49,,"['JournalArticle', 'Book']",['Computer Science'],"{'DBLP': 'conf/splc/FrieselS25', 'DOI': '10.1145/3744915.3748472', 'CorpusId': 281055176}",0,"B. Friesel, Olaf Spinczyk","JournalArticle, Book","DBLP:conf/splc/FrieselS25, DOI:10.1145/3744915.3748472, CorpusId:281055176"
