Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Black-Box Testing for Practitioners: A Case of the New ISTQB Test Analyst Syllabus","The International Software Testing Qualifications Board (ISTQB) is a volunteer organization aiming to qualify software testing and quality assurance practitioners. It issues a certification scheme with many certification products for this subject matter. These products are based on the current state of practice and consist of a syllabus and a set of sample exam questions. They can also serve as a basis for academic courses in software testing. We recently revised and updated the Advanced Level Test Analyst Syllabus, which focuses on black-box test techniques. In this paper, we share our experience in developing the new syllabus. We describe the methodology for shaping the syllabus's content and selecting black-box techniques. We also show how the ISTQB framework is designed to fill the gap left by academic programs regarding black-box techniques by providing structured syllabi with clear learning objectives and business outcomes that align with industry demands.","Matthias Hamburg; Adam Roman","2025","International Conference on Information Control Systems & Technologies","10.1109/icst62969.2025.10988991","-","-","https://doi.org/10.1109/icst62969.2025.10988991","","-","-","Include"
"Software Testing Technique Selection using the GRA MCDM Method","Software testing methodologies are crucial for threat validation to applications for efficiency and capabilities from functional and non-functional features. Recent research therefore has highlighted the need to adopt proper testing techniques that can give maximum returns. Such strategies as dynamic testing, structural analysis, and event-driven testing can be named. Top-down, bottom-up, sandwich, high-frequency testing and GRA (Gray Relational Analysis) incremental integration methods are employed to assess parameters such as time to detect errors and the easiness of correcting the errors. In this paper, consideration will be given to the incorporation of different testing methodologies for enhancing software quality. In line with the method mentioned above called GRA, the study examines test events, end users’ perceptions, and error indicators. When comparing and contrasting the two, results reveal that integration testing based on the bottom-up approach is more effective than that based on high-frequency testing. From this analysis, it is clear that the choice of testing methodologies has to be done side by side with software requirements to improve error identification and elimination.","Narendra Mohan; Ashish Sharma; Santosh Gore; Swati Sharma; V. D. Shelkande; Shubhangi Ravindra Shelar","2024","2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)","10.1109/i-smac61858.2024.10714869","2","-","https://doi.org/10.1109/i-smac61858.2024.10714869","","-","-","Include"
"Solid Waste Management from a systems perspective using GRA methodology","The waste management procedure involves collecting the rubbish from different sources and disposing of it. This process includes the collection, transport, cleaning, analysis, final disposal of waste. This circumstance inspired Hand in Hand India (Hang India), a griddle non-profit organization that supports sustainable development, to work with the inhabitants of Karakul to change mindsets and behavior in their approach to trash management. The necessary infrastructure is lacking in small cities like Karakul to treat its solid waste. It resulted in a significant environmental problem and a lack of understanding among locals, according to Achieved Shekharan from HIHI. By assessing how closely each option resembles the ideal answer, grey relation analysis provides a potent instrument that may environments. A complex decision-making process, design idea evaluation involves a number of elements, including design requirements and limitations including client needs, product prices, and development time. Sanitary landfill (%), Incineration (%), and Open dumps (%), Others (%).Africa, Asia, Europe, North America, Latin America. from the result it is seen that Latin America and is got the first rank whereas is the Asia got is having the lowest rank. The value of the dataset for Sentiment analysis technique in GRA (Gray-related analysis)method shows that it results in Latin America and top ranking.","-","2024","Journal on Applied and Chemical Physics","10.46632/jacp/2/2/5","3","true","https://doi.org/10.46632/jacp/2/2/5","Latin Americans; Ranking (information retrieval); Incineration; Sustainable development; Profit (economics); Environmental economics; Business; Engineering; Operations management; Environmental planning","en","7","Include"
"We're Drowning in Errors","This paper discusses the problem of software testing and debugging. Several new error classification schemes are discussed with suggestions for detecting various types of errors.","Max Maurere; Peter M. Maurer","2023","2023 International Conference on Computational Science and Computational Intelligence (CSCI)","10.1109/csci62032.2023.00263","-","-","https://doi.org/10.1109/csci62032.2023.00263","","-","-","Include"
"A Recommender System for Recovering Relevant JavaScript Packages from Web Repositories","When developing JavaScript (JS) applications, the assessment of JS packages has become a difficult and time-consuming task for developers, due to the growing number of technology options available. Given a technology need, a common developers’ strategy is to browse software repositories via search engines (e.g., NPM, Google) and identify candidate JS packages. However, these engines might return a long list of results, which often causes information overloading issues in the developer. Furthermore, the results should be ranked according to the developer’s criteria, but weighting the available criteria to choose a JS package is not straightforward. To address these problems, we propose a two-phase recommender system for assisting developers in retrieving and ranking JS packages in a semi-automated fashion. The first phase uses a meta-search technique for collecting JS packages that meet the developer’s needs. Based on criteria used by other projects on the Web, the second phase applies a machine learning technique to infer a ranking of relevant packages for the output of the first phase. We performed an initial evaluation of our approach with the NPM package repository and obtained satisfactory results in terms of both the accuracy of the retrieved packages and the quality of the ranking for the developers.","H. Vázquez; J. A. D. Pace; Santiago A. Vidal; C. Marcos","2023","International Conference on Software Architecture","10.1109/icsa56044.2023.00024","5","-","https://doi.org/10.1109/icsa56044.2023.00024","","-","-","Include"
"Retrieving and Ranking Relevant JavaScript Technologies from Web Repositories","The selection of software technologies is an important but complex task. We consider developers of JavaScript (JS) applications, for whom the assessment of JS libraries has become difficult and time-consuming due to the growing number of technology options available. A common strategy is to browse software repositories via search engines (e.g., NPM, or Google), although it brings some problems. First, given a technology need, the engines might return a long list of results, which often causes information overload issues. Second, the results should be ranked according to criteria of interest for the developer. However, deciding how to weight these criteria to make a decision is not straightforward. In this work, we propose a two-phase approach for assisting developers to retrieve and rank JS technologies in a semi-automated fashion. The first-phase (ST-Retrieval) uses a meta-search technique for collecting JS technologies that meet the developer's needs. The second-phase (called ST-Rank), relies on a machine learning technique to infer, based on criteria used by other projects in the Web, a ranking of the output of ST-Retrieval. We evaluated our approach with NPM and obtained satisfactory results in terms of the accuracy of the technologies retrieved and the order in which they were ranked.","H. Vázquez; J. A. D. Pace; C. Marcos; Santiago A. Vidal","2022","arXiv.org","10.48550/arxiv.2205.15086","1","-","https://doi.org/10.48550/arxiv.2205.15086","","-","-","Include"
"The Fundamental of TCP Techniques","Strategies for prioritizing test cases plan test cases to reduce the cost of retrospective testing and to enhance a specific objective function. Test cases are prioritized as those most important test cases under certain conditions are made before the re-examination process. There are many strategies available in the literature that focus on achieving various pre-test testing objectives and thus reduce their cost. In addition, inspectors often select a few well-known strategies for prioritizing trial cases. The main reason behind the lack of guidelines for the selection of TCP strategies. Therefore, this part of the study introduces the novel approach to TCP strategic planning using the ambiguous concept to support the effective selection of experimental strategies to prioritize experimental cases. This function is an extension of the already selected selection schemes for the prioritization of probation cases.","Pritee Nivrutti Hulule","2021","Control Theory in Engineering [Working Title]","10.5772/intechopen.100850","-","-","https://doi.org/10.5772/intechopen.100850","","-","-","Include"
"Extended Abstract - CTDSI/CTCCSI 2021 - Study and definition of project attributes for selection of testing techniques for concurrent software","[Context:] The choice of testing technique to be adopted in a software testing project persists based on the tester's knowledge and often does not consider all of the testing techniques available in the industry or academia. Therefore, a characterization scheme was proposed and implemented in the SeleCTT tool, which is composed of a set of attributes that considers characteristics of concurrent programs, and they are used to calculate which of these attributes are suitable to guide the selection of testing techniques for a particular software project. [Objective:] The selection of the testing technique at each stage of a software's life cycle depends on many factors. Our work aims to help testers to select a better testing technique according to the characteristics of a software project, contributing to the selection of the most suitable testing technique to increase the efficiency of the software test execution process, which in turn influences the development and delivery of a more robust and quality product. Considering that the testing techniques are complementary, another goal is to allow a set of testing techniques to be selected and not just one. [Methodology:] To achieve this goal, a systematic mapping study was conducted to identify and analyze papers that represent the current state of the literature about testing techniques selection. We surveyed software testing practices carried in Brazil software companies and identified the testing practices to know and have an overview on the latest testing techniques, tools, and metrics used, the challenges faced by testers, and the selection testing technique process. [Results and Conclusions:] With this study, it is expected to specify project attributes that can be used to improve the existing recommendation system in the SeleCTT tool and propose ways of combining testing techniques, contributing to industry and academia, and bring insights into the context of testing techniques selection.","Ítalo Santos; S. R. S. Souza; S. Melo","2021","Anais Estendidos do XVII Simpósio Brasileiro de Sistemas de Informação (Anais Estendidos do SBSI 2021)","10.5753/sbsi.2021.15365","1","-","https://doi.org/10.5753/sbsi.2021.15365","","-","-","Include"
"T-way Test Suite Generation Strategy based on Ant Colony Algorithm to Support T-way Variable Strength","T-way test suite generation strategy based on Ant Colony algorithm (TTSGA) has been developed to support t-way variable strength testing which tackles exhaustive testing issues. It employs the ant colony optimization algorithm to generate near-optimal number of test suite size. Even though the test suite size is smaller than exhaustive testing, the strategy covers every possible combination of interacting parameters. The strategy has been evaluated by using benchmarked experiments. Results obtained were compared with other existing strategies that support variable strength. It was found that TTSGA produces comparable results with other existing strategies especially for higher strength configurations. Two non-parametric tests, which are Wilcoxon Rank and Friedman test, have been conducted to analyze the results statistically between TTSGA and HSS as only both strategies have complete experiments results. Although the results shows that there is no significant difference of test suite size among them, TTSGA is in the first rank in the Friedman test.","N. Ramli; R. R. Othman; Rimuljo Hendradi; I. Iszaidy","2021","Journal of Physics: Conference Series","10.1088/1742-6596/1755/1/012034","7","-","https://doi.org/10.1088/1742-6596/1755/1/012034","","-","-","Include"
"Contributions to improve the combined selection of concurrent software testing techniques","[Context] There are a variety of testing techniques available that present different and often complementary characteristics (e.g., cost of application, effectiveness in revealing defects, types of defects). Considering these complementary characteristics make the selection process even more complex. Testers must make decisions on which techniques they will use in a specific situation. Combining different testing techniques outperforms the use of any single technique alone. [Objective] This paper proposes an approach to support the combined selection of testing techniques for concurrent software projects. The approach is implemented in the SeleCTT-v2 tool, supporting testers to find complementary testing techniques in the body of knowledge proposed in SeleCTT-v1. [Method] We conducted a case study to evaluate the combined selection approach (SeleCTT-v2) with the previous version of the SeleCTT-v1 and to investigate how testers perform a combined selection task for concurrent software projects. [Results and Conclusions] The results indicated a rise in the effectiveness of the combined selection of concurrent testing techniques suggested, which demonstrates SeleCTT-v2 is less likely to make an incorrect recommendation of combined techniques for a concurrent software project, thus avoiding costs associated with the incorrect application of a testing technique. If the testers could access a tool that supports the selection process, the effectiveness of the results would have reached a higher value, as evidenced by our approach. Performing the combination of testing techniques is essential to ensure that software under test has all their features tested to prevent possible errors.","Ítalo Santos; Andre B. P. Furlanetti; S. Melo; P. L. D. Souza; M. Delamaro; S. Souza","2020","Brazilian Symposium on Systematic and Automated Software Testing","10.1145/3425174.3425214","2","-","https://doi.org/10.1145/3425174.3425214","","-","-","Include"
