DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Leveraging Risk Models to Improve Productivity for Effective Code Un-Freeze at Scale,"Audris Mockus, Rui Abreu, Peter C. Rigby, David Amsallem, Parveen Bansal, Kaavya Chinniah, Brian Ellis, Peng Fan, Jun Ge, Bingjie He, Kohei HIRANO, S. Praneeth Kumar, Ajay Lingapuram, Andrew Loe, Megh Mehta, Venus Montes, Maher Saba, Gursharan Singh, M. Steiner, Weiyan Sun, Siri Uppalapati, Nachiappan Nagappan",ACM Transactions on Software Engineering and Methodology,2025,"Changing software is essential to add needed functionality and to fix problems, but changes may introduce defects that lead to outages. This motivates one of the oldest software quality control techniques: a temporary prevention of non-critical changes to the codebase — code freeze. Despite its widespread use in practice, research literature is scant. Historically, code freezes were used as a way to improve software quality by preventing changes during periods before software releases, but code freezes significantly slow down development. To address this shortcoming we develop and evaluate a family of code un-freeze (permitting changes) strategies tailored to different occasions and products at Meta. They are designed to un-freeze the maximum amount of code without compromising quality. The three primary dimensions to un-freeze involve a) the exact timing of (and the reasoning behind it) the code freezes, b) the parts of the organization or the codebase where the codebase freeze is applied to, and c) the method of screening of the code diffs during the code freeze with the aim to allow low risk diffs and prevent only the most risky diffs. To operationalize the drivers of outages, we consider the entire network of interdependencies among different parts of the source code, the engineers that modify the code, code complexity, and the coordination dependencies and authors’ expertise. Since the code freeze is a balancing act between reducing outages and allowing software development to proceed unimpeded, the performance of the various approaches to code un-freeze is evaluated based on the fraction of flagged/gated changes to measure overhead and the fraction of all outage-causing changes contained within the set of flagged set of changes to measure the ability of the code un-freeze to delay (or prevent) outages. We found that taking into account the risk posed by modifying individual files and the properties of the change we could un-freeze two and \(2.5\) times more changes correspondingly. The change level model is used by Meta in production. For example, during the winter 2023 code freeze, we see that only 16% of changes are gated. Although 42% more changes landed (were integrated into the codebase) compared to the prior year, there was a 52% decrease in outages. This reduction meant less impact on users and less strain on engineers during the holiday period. The risk model has been enormously effective at allowing low risk changes to proceed while gating high risk changes and reducing outages.",285108460,0,71,(missing PubMedId)
(missing DOI),A Case Study on Artefact-Based RE Improvement in Practice,"Daniel Méndez Fernández, S. Wagner",International Conference on Product Focused Software Process Improvement,2015,(missing abstract),280622773,5,42,(missing PubMedId)
(missing DOI),In Quest for Proper Mediums for Technology Transfer in Software Engineering,"Florian Grigoleit, A. Vetrò, Philipp Diebold, Daniel Méndez Fernández, Wolfgang Böhm",International Symposium on Empirical Software Engineering and Measurement,2015,"Background: Successful transfer of the results of research projects into practice is of great interest to all project participants. It can be assumed that different transfer mediums fulfill technology transfer (TT) with different levels of success and that they are impaired by different kinds of barriers. Objective: The goal of this study is to gain a better understanding about the different mediums used for TT in software engineering, and to identify barriers weakening the success of the application of such mediums. Method: We conducted an exploratory study implemented by a survey in the context of a German research project with a broad range of used mediums. Results: The main reported barriers were low expectations of usefulness, no awareness of existence, lack of resources, or inadequateness in terms of outdated material or being in an immature state. Conclusions: We interpreted our results as symptoms of a lack of a dissemination plan in the project. Further work will be needed to explore the implications for the transfer of research results (knowledge and techniques) to practice.",279682837,16,11,(missing PubMedId)
(missing DOI),Method in action and method in tool: a stakeholder perspective,"B. Lundell, B. Lings",Journal of Information and Technology,2004,(missing abstract),279607739,27,77,(missing PubMedId)
10.1016/J.INFSOF.2020.106473,Industry-Academia research collaboration in software engineering: The Certus model,"Dusica Marijan, Arnaud Gotlieb",Information and Software Technology,2020,(missing abstract),71839078-af4b-46aa-9b83-3d96dc1df853,50,67,(missing PubMedId)
(missing DOI),Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,"V. Garousi, K. Petersen, Barış Özkan",Information and Software Technology,2016,(missing abstract),276788080,253,90,(missing PubMedId)
(missing DOI),External Experiments - A Workable Paradigm for Collaboration Between Industry and Academia,F. Houdek,Lecture Notes on Empirical Software Engineering,2002,"Results of empirical investigations are key input for industrial software process improvement activities. The relevance of an investigation for a given environment, however, depends on the similarities or dissimilarities of the investigation environment compared to the industrial environment which is interested in using a new technology. The optimal (or most relevant) results may be gained when performing the experiment in the industrial environment itself. Unfortunately, this takes place only rarely as experiments in industrial environments are either expensive (when new and old technology are used in parallel) or risky (when only the new technology is used).To overcome this dilemma, we introduced the concept of external experiments, i.e. experiments which are conducted in an environment different from the industrial target environment and which tries to simulate the characteristics of the industrial environment as best as possible. This paper describes this concept in detail, presents a process for identification, conduction and exploitation of such experiments and shows some results from past investigations which used this concept.",276270742,12,29,(missing PubMedId)
(missing DOI),Guide to the Software Engineering Body of Knowledge,James W. Moore,(missing journal),1997,data types Sorting and searching parallel and distributed algorithms 3. [AR] Computer Architecture,276196306,1289,260,(missing PubMedId)
(missing DOI),A Requirements Engineering Process for Machine Learning Innovation Projects,"Mariana Crisostomo Martins, Taciana Novo Kudo, Renato F. Bulcão-Neto",(missing journal),2023,"Despite the increasing development of Machine Learning (ML) applications, Requirements Engineering (RE) activities face challenges in this new data-intensive paradigm, e.g., the high dependence on data availability and quality and the continuous adaptation to changing environments. In this context, we have identified a lack of an integrated view of the RE process of ML applications in the literature. This paper proposes an RE process tailored to ML application projects, covering requirements elicitation, analysis, specification, validation, and management. The process development methodology includes the ISO/IEC 12207 standard and Design Thinking. Our solution combines problem study and formulation supported by the state of the art in research. The solution proposal follows three evaluation formats: laboratory, static, and dynamic validation. We expect the process to improve RE practice and thus improve ML-based systems development with higher quality deliveries and easier maintenance.",274597301,3,30,(missing PubMedId)
10.1145/3649597,Lessons Learned from Developing a Sustainability Awareness Framework for Software Engineering Using Design Science,"Stefanie Betz, Birgit Penzenstadler, Letícia Duboc, Ruzanna Chitchyan, Sedef Akinli Kocak, Ian Brooks, Shola Oyedeji, Jari Porras, Norbert Seyff, Colin C. Venters",ACM Transactions on Software Engineering and Methodology,2024,"To foster a sustainable society within a sustainable environment, we must dramatically reshape our work and consumption activities, most of which are facilitated through software. Yet, most software engineers hardly consider the effects on the sustainability of the IT products and services they deliver. This issue is exacerbated by a lack of methods and tools for this purpose. Despite the practical need for methods and tools that explicitly support consideration of the effects that IT products and services have on the sustainability of their intended environments, such methods and tools remain largely unavailable. Thus, urgent research is needed to understand how to design such tools for the IT community properly. In this article, we describe our experience using design science to create the Sustainability Awareness Framework (SusAF), which supports software engineers in anticipating and mitigating the potential sustainability effects during system development. More specifically, we identify and present the challenges faced during this process. The challenges that we have faced and addressed in the development of the SusAF are likely to be relevant to others who aim to create methods and tools to integrate sustainability analysis into their IT products and services development. Thus, the lessons learned in SusAF development are shared for the benefit of researchers and other professionals who design tools for that end.",43dbe939-e40a-4cd2-a7bd-8f6fe0a714cb,17,133,(missing PubMedId)
