Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
027-961-285-933-210,"ASE - Regexes are hard: decision-making, difficulties, and risks in programming regular expressions",,2019,conference proceedings article,2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE),,IEEE,,Louis G. Michael; James Donohue; James C. Davis; Dongyoon Lee; Francisco Servant,"Regular expressions (regexes) are a powerful mechanism for solving string-matching problems. They are supported by all modern programming languages, and have been estimated to appear in more than a third of Python and JavaScript projects. Yet existing studies have focused mostly on one aspect of regex programming: readability. We know little about how developers perceive and program regexes, nor the difficulties that they face. In this paper, we provide the first study of the regex development cycle, with a focus on (1) how developers make decisions throughout the process, (2) what difficulties they face, and (3) how aware they are about serious risks involved in programming regexes. We took a mixed-methods approach, surveying 279 professional developers from a diversity of backgrounds (including top tech firms) for a high-level perspective, and interviewing 17 developers to learn the details about the difficulties that they face and the solutions that they prefer. In brief, regexes are hard. Not only are they hard to read, our participants said that they are hard to search for, hard to validate, and hard to document. They are also hard to master: the majority of our studied developers were unaware of critical security risks that can occur when using regexes, and those who knew of the risks did not deal with them in effective manners. Our findings provide multiple implications for future work, including semantic regex search engines for regex reuse and improved input generators for regex validation.",,,415,426,Regular expression; Reuse; Interview; Data science; Readability; Computer science; Python (programming language); JavaScript,,,,,https://dl.acm.org/doi/10.1109/ASE.2019.00047 https://dblp.uni-trier.de/db/conf/kbse/ase2019.html#MichaelDDLS19 https://doi.org/10.1109/ASE.2019.00047,http://dx.doi.org/10.1109/ase.2019.00047,,10.1109/ase.2019.00047,2999135213,,0,004-529-946-974-398; 004-678-525-184-24X; 008-021-754-708-595; 009-570-225-922-674; 011-011-117-869-408; 012-433-177-374-737; 016-844-378-769-26X; 017-418-206-410-802; 018-705-035-212-673; 024-977-810-297-089; 027-209-313-017-936; 033-440-381-372-437; 034-870-879-522-371; 037-893-817-486-943; 039-920-169-341-386; 040-432-274-029-426; 040-795-814-553-281; 048-753-937-641-535; 060-783-184-438-656; 062-864-341-365-161; 066-511-172-264-82X; 072-375-821-443-558; 075-063-306-186-020; 076-353-068-004-181; 078-181-013-268-272; 079-263-975-074-765; 086-116-606-467-612; 092-686-361-959-708; 093-045-782-721-788; 094-393-065-970-682; 101-640-509-499-455; 102-216-482-104-073; 107-083-616-561-946; 107-243-740-544-297; 107-250-220-990-731; 109-494-638-340-676; 110-388-554-728-426; 113-317-142-937-273; 115-787-295-968-707; 138-039-095-194-154; 139-303-784-268-426; 143-340-013-036-069; 149-524-724-781-000; 156-584-112-333-504; 157-570-289-839-307; 189-425-082-587-026,47,false,,
031-391-541-070-358,The adaptability of Monday.com’s app-based software: Discover the company building a flexible business model that adapts to individual company needs:,2021-08-26,2021,journal article,Journal of Information Technology Teaching Cases,20438869,SAGE Publications,Switzerland,Barbara A Manko,"The tools of running a business are big business themselves. Finding a way to efficiently streamline processes could save time, effort, and money, but getting to that point often requires retrainin...",12,2,156,162,Engineering management; Adaptability; Point (typography); Productivity; Software; Big business; Computer science; Business model,,,,,https://journals.sagepub.com/doi/abs/10.1177/20438869211028855,http://dx.doi.org/10.1177/20438869211028855,,10.1177/20438869211028855,3196692362,,0,005-968-837-782-240; 011-833-332-703-518; 015-393-962-726-377; 022-115-691-945-255; 034-117-729-576-139; 039-773-657-424-765; 040-795-814-553-281; 064-579-463-524-992; 106-839-621-390-759; 126-267-357-821-875; 158-460-446-459-383; 170-523-633-086-199,1,false,,
031-828-604-447-546,Procedures for transferring organizational knowledge during generational change: A systematic review.,2024-02-24,2024,journal article,Heliyon,24058440,Elsevier BV,Netherlands,Elene Igoa-Iraola; Fernando Díez,"The loss of organizational knowledge has emerged as a prevalent issue for 21st-century organizations. This systematic review aims to scrutinize knowledge transfer procedures applied to individuals in managerial and intermediate positions during generational change or knowledge management initiatives. Following the PRISMA statement [1], this review progressed through four stages, applying inclusion and exclusion criteria, and ultimately identifying 28 articles for the final analysis. Descriptive indicators and content-related metrics were employed in the study. Key findings include: (1) predominant investment in knowledge retention studies and procedure design is observed among large companies, primarily in the secondary sector; (2) digitalization emerges as a critical aspect of effective organizational knowledge transfer procedures and protocols; (3) intra-organizational communication styles are predominantly employed for knowledge transfer; (4) organizations prefer a collective approach to transferring both tacit and explicit knowledge. In summary, this research offers fresh insights into a pivotal area of business management, showcasing originality in its exploration of knowledge transfer within the realms of generational change and knowledge management.",10,5,e27092,e27092,Knowledge transfer; Knowledge management; Tacit knowledge; Organizational learning; Originality; Inclusion (mineral); Systematic review; Business; Organizational culture; Change management (ITSM); Psychology; Public relations; Computer science; Political science; Marketing; Social psychology; Creativity; MEDLINE; Lean manufacturing; Law,Business development; Generational change; Knowledge management; Knowledge transfer; Systematic review,,,University of Deusto,https://www.cell.com/article/S2405844024031232/pdf https://doi.org/10.1016/j.heliyon.2024.e27092,http://dx.doi.org/10.1016/j.heliyon.2024.e27092,38439887,10.1016/j.heliyon.2024.e27092,,PMC10909792,0,000-867-032-264-425; 002-079-200-334-302; 004-132-438-689-157; 005-361-654-232-907; 005-746-959-316-324; 006-827-159-689-561; 008-176-540-901-716; 008-777-830-477-566; 012-763-340-005-854; 013-345-955-758-304; 013-428-674-898-574; 014-765-533-775-54X; 017-989-434-430-791; 019-394-182-205-829; 022-281-721-998-619; 024-051-993-545-575; 026-935-252-186-276; 027-128-762-535-54X; 028-969-711-258-469; 030-285-826-364-063; 031-494-408-742-639; 035-096-869-982-741; 038-623-693-995-397; 039-073-303-418-838; 040-624-020-537-339; 040-795-814-553-281; 040-853-184-158-975; 043-673-566-994-486; 046-618-309-418-389; 048-714-397-435-340; 048-900-119-354-785; 050-818-072-304-199; 052-581-942-076-944; 054-539-260-140-594; 054-636-524-831-888; 057-893-132-091-223; 058-870-470-456-373; 061-585-575-107-407; 061-596-842-080-872; 062-454-105-999-793; 062-638-251-686-572; 063-178-231-090-810; 063-570-260-757-051; 069-136-609-449-817; 069-383-613-825-684; 069-391-175-796-093; 070-982-637-580-116; 074-582-908-493-691; 076-192-392-138-398; 077-375-024-216-792; 079-480-557-790-647; 080-982-913-601-941; 083-832-410-142-953; 087-187-094-680-392; 088-709-181-234-536; 102-967-357-659-288; 107-123-378-399-51X; 108-274-022-302-937; 109-166-884-495-806; 109-428-646-795-990; 112-806-610-824-888; 114-023-150-528-077; 116-499-027-515-242; 119-614-685-779-143; 122-625-827-802-786; 123-128-358-029-776; 124-583-171-690-290; 132-308-279-448-387; 133-674-814-456-052; 134-919-933-326-997; 136-654-719-680-794; 138-574-879-051-498; 146-827-761-277-929; 158-253-621-523-361; 158-832-405-457-423,3,true,"CC BY, CC BY-NC-ND",gold
043-219-748-206-217,Foundations of Practice: An Ethnographic Exploration of Software Documentation and its Cultural Implications for an Agile Startup,,2024,journal article,Ethnographic Praxis in Industry Conference Proceedings,1559890x; 15598918,Wiley,,NICOLE TIETZ‐SOKOLSKAYA; SUZANNE WALSH,"<jats:p>This case study offers an in‐depth analysis of the foundational role of documentation for software quality, efficiency, and organizational success. It includes an inside look how a start‐up overcame inefficiencies and scaling challenges by implementing a sociotechnical documentation practice, and 10 recommendations for implementation or assessment based the case study data and a wider analysis of research and expertise. Time pressures of agile workflows that prioritize writing code, coupled with rapidly scaling software and startups, create an environment where documentation often takes a back seat. But its value to organizations and engineering teams as a source of knowledge and a practice of knowledge sharing becomes clear when critical inefficiencies and even chaos to prompt an overhaul of norms and behaviors. The experience at Remesh demonstrates the value of an ethnographic approach to gain a holistic understanding of engineering and work practices and to implement positive change.</jats:p>",2024,1,378,396,Documentation; Agile software development; Ethnography; Software; Software engineering; Sociology; Computer science; Engineering management; Engineering ethics; Engineering; Anthropology; Programming language,,,,,,http://dx.doi.org/10.1111/epic.12210,,10.1111/epic.12210,,,0,005-454-006-898-746; 005-616-317-428-61X; 008-751-373-324-63X; 012-465-699-317-357; 016-353-168-298-440; 023-559-823-737-356; 032-692-794-163-136; 035-184-772-976-134; 040-795-814-553-281; 044-847-119-341-954; 045-056-899-990-861; 048-165-669-103-624; 049-070-886-619-269; 053-881-880-082-628; 059-725-630-068-616; 060-689-954-818-153; 077-095-295-616-361; 077-876-528-129-938; 083-086-331-192-424; 084-915-237-408-577; 090-697-084-162-231; 091-927-485-090-715; 095-587-355-575-770; 096-360-369-987-119; 110-723-269-688-715; 113-031-910-577-52X; 128-113-727-451-092; 130-916-828-988-068; 166-990-543-891-504; 170-257-114-575-290,0,true,cc-by-nc-nd,hybrid
046-892-589-779-50X,Qualitative software engineering research: Reflections and guidelines,2023-09-12,2023,journal article,Journal of Software: Evolution and Process,20477473; 20477481,Wiley,United Kingdom,Per Lenberg; Robert Feldt; Lucas Gren; Lars Göran Wallgren Tengberg; Inga Tidefors; Daniel Graziotin,"<jats:title>Abstract</jats:title><jats:p>Researchers are increasingly recognizing the importance of human aspects in software development. Because qualitative methods are used to explore human behavior in‐depth, we believe that studies using such methods will become more common. Existing qualitative software engineering guidelines do not cover the full breadth of qualitative methods and the knowledge on how to use them like in social sciences. The purpose of this study was to extend the software engineering community's current body of knowledge regarding available qualitative methods and their quality assurance frameworks and to provide recommendations and guidelines for their use. With the support of an epistemological argument and a survey of the literature, we suggest that future research would benefit from (1) utilizing a broader set of research methods, (2) more strongly emphasizing reflexivity, and (3) employing qualitative guidelines and quality criteria. We present an overview of three qualitative methods commonly used in social sciences but rarely seen in software engineering research, namely interpretative phenomenological analysis, narrative analysis, and discourse analysis. Furthermore, we discuss the meaning of reflexivity in relation to the software engineering context and suggest means of fostering it. Our paper will help software engineering researchers better select and then guide the application of a broader set of qualitative research methods.</jats:p>",36,6,,,,,,,Alexander von Humboldt-Stiftung; Försvarsmakten; VINNOVA; Alexander von Humboldt-Stiftung,,http://dx.doi.org/10.1002/smr.2607,,10.1002/smr.2607,,,0,001-709-948-578-523; 001-805-387-062-585; 002-237-919-596-718; 003-814-740-367-070; 004-524-341-757-048; 005-899-696-550-473; 005-938-920-200-304; 006-667-670-295-05X; 007-049-891-968-05X; 007-546-852-883-536; 007-787-129-096-119; 008-774-913-707-634; 009-405-588-957-340; 010-014-637-496-913; 010-015-036-335-318; 010-686-837-200-541; 011-490-029-714-941; 012-618-768-140-968; 012-913-198-717-99X; 012-928-457-575-319; 013-731-623-111-323; 013-837-266-616-862; 015-058-186-044-411; 015-627-464-085-801; 015-840-390-184-083; 017-552-783-222-331; 018-222-674-707-385; 019-088-732-304-157; 019-100-751-330-907; 020-093-367-747-962; 020-185-020-140-57X; 020-186-146-724-516; 020-534-361-860-105; 022-309-041-592-588; 022-506-933-519-856; 022-671-766-180-144; 023-531-008-160-250; 023-881-929-301-273; 024-562-668-235-340; 024-923-055-893-667; 025-477-981-056-904; 025-497-248-671-080; 025-917-283-633-862; 026-161-161-732-271; 026-869-831-722-43X; 027-232-433-065-559; 027-734-521-863-26X; 027-838-022-255-215; 028-058-500-470-85X; 029-398-693-883-69X; 029-948-590-737-853; 029-970-715-559-888; 032-131-589-757-082; 033-012-390-612-382; 033-028-070-543-329; 033-461-597-185-799; 035-490-234-197-93X; 035-513-754-804-659; 035-578-132-389-179; 035-697-037-800-750; 036-160-799-285-835; 037-040-253-796-836; 037-550-015-414-716; 037-905-769-217-954; 039-086-063-165-837; 040-231-444-772-327; 040-795-814-553-281; 041-229-808-576-014; 041-666-371-472-970; 041-782-721-935-188; 041-919-674-530-835; 042-013-863-295-454; 042-953-538-388-702; 043-760-262-086-61X; 048-179-177-846-71X; 050-088-426-822-216; 050-315-075-390-438; 052-598-847-618-830; 055-268-244-416-92X; 055-950-602-314-029; 056-036-140-130-998; 059-128-110-807-790; 060-437-177-240-017; 061-795-340-530-548; 062-225-156-570-090; 062-353-432-607-387; 066-946-704-878-252; 067-055-137-971-596; 068-027-981-205-668; 068-248-255-522-641; 068-554-539-142-718; 068-833-488-459-388; 069-838-089-276-647; 073-742-764-113-787; 073-924-513-406-574; 074-534-273-806-52X; 075-040-401-825-335; 076-078-226-449-327; 076-457-490-147-037; 076-857-036-694-519; 077-098-750-489-063; 077-957-724-282-15X; 080-413-174-332-978; 080-695-898-618-910; 080-986-410-560-875; 081-176-997-670-441; 083-896-444-210-531; 084-576-012-535-950; 088-320-571-975-852; 088-477-527-200-705; 089-879-669-117-921; 091-230-303-259-496; 091-444-619-072-795; 091-645-420-255-51X; 091-790-822-639-410; 091-954-013-787-526; 092-913-692-514-903; 093-252-060-439-31X; 093-305-945-022-569; 093-987-500-126-104; 095-532-981-376-148; 095-748-826-594-797; 095-828-758-299-592; 096-218-041-070-916; 097-696-603-547-038; 099-494-652-312-283; 100-445-029-445-191; 100-950-809-931-315; 101-272-673-024-885; 103-703-726-924-890; 103-953-498-379-174; 104-899-842-566-385; 105-553-494-638-749; 105-715-617-901-80X; 105-879-676-708-496; 108-331-417-653-06X; 108-590-739-486-328; 111-393-889-550-853; 111-986-915-625-825; 113-994-147-288-370; 115-711-231-048-417; 117-795-919-710-070; 118-264-699-416-219; 119-271-863-797-992; 119-328-343-838-847; 122-284-613-967-144; 124-987-643-049-76X; 125-515-369-579-864; 125-887-573-238-984; 129-647-299-915-93X; 132-507-555-191-410; 133-475-498-826-91X; 137-724-527-270-624; 138-226-537-519-31X; 140-268-482-166-840; 142-273-201-817-037; 142-691-733-133-578; 149-123-748-637-903; 158-091-386-928-713; 158-460-446-459-383; 158-562-022-737-682; 181-392-249-794-280; 183-476-948-817-454; 192-459-605-117-829,22,false,,
065-637-923-979-875,English Online Learning Platform Based on Mobile Android App,2022-12-16,2022,conference proceedings article,"2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)",,IEEE,,Qiongqiong Yang; Wei Zhou,"The advancement of mobile computing technology and various information terminals has greatly promoted the development of mobile learning platforms based on Internet+. Digital and mobile online learning has become a new way for people to receive education. This paper aims to study the English online learning platform based on mobile Android apps. Based on the analysis of the characteristics of mobile learning, the classification of English learning apps and the non-functional requirements of the system, the online learning platform for English is designed. The performance of the system was tested. The test results show that when the number of concurrent users is 100, the network utilization rate, average memory usage rate and CPU usage rate of the server are 4%, 20% and 6% respectively; Memory usage and CPU usage are 53%, 38%, and 56%, respectively. It can be seen that the performance of the English online learning platform designed in this paper basically meets the needs of this paper.",,,1,5,Computer science; Android (operating system); Multimedia; The Internet; Mobile internet; Online learning; Mobile computing; Mobile apps; Server; World Wide Web; Operating system,,,,,,http://dx.doi.org/10.1109/icatiece56365.2022.10047519,,10.1109/icatiece56365.2022.10047519,,,0,005-474-043-941-625; 010-336-910-029-921; 010-409-764-691-697; 011-645-284-976-934; 013-952-339-647-189; 040-795-814-553-281; 051-381-093-281-771; 094-063-725-241-353; 141-638-298-629-771; 141-881-882-843-048,2,false,,
089-857-383-382-159,Building Organizational Resilience Through Organizational Learning: A Systematic Review,2022-02-25,2022,journal article,Frontiers in Communication,2297900x,Frontiers Media SA,,Lise L. Evenseth; Maria Sydnes; Anne H. Gausdal,"<jats:p>With organizational environments becoming increasingly complex and volatile, the concept of “organizational resilience” has become the “new normal”. Organizational resilience is a complex and multidimensional concept which builds on the myriad of capabilities that an organization develops during its lifecycle. As learning is an inherent and essential part of these developments, it has become a central theme in literature on organizational resilience. Although organizational resilience and organizational learning are inherently interrelated, little is known of the dynamics of effective learning that may enhance organizational resilience. This study explores how to achieve organizational learning that can serve to promote organizational resilience. Our aim is to contribute to a more comprehensive knowledge of the relation between organizational resilience and organizational learning. We present the results of a systematic literature review to assess how organizational learning may make organizations more resilient. As both organizational resilience and organizational learning are topics of practical importance, our study offers a specifically targeted investigation of this relation. We examine the relevant literature on organizational learning and resilience, identifying core themes and the connection between the two concepts. Further, we provide a detailed description of data collection and analysis. Data were analyzed thematically using the qualitative research software NVivo. Our review covered 41 empirical, 12 conceptual and 6 literature review articles, all indicating learning as mainly linked to adaptation capabilities. However, we find that learning is connected to all three stages of resilience that organizations need to develop resilience: anticipation, coping, and adaptation. Effective learning depends upon appropriate management of experiential learning, on a systemic approach to learning, on the organizational ability to unlearn, and on the existence of the context that facilitates organizational learning.</jats:p>",7,,,,Organizational learning; Knowledge management; Organizational behavior and human resources; Organizational studies; Resilience (materials science); Organizational commitment; Organization development; Organizational performance; Experiential learning; Psychology; Computer science; Social psychology; Mathematics education; Physics; Thermodynamics,organizational resilience; organizational learning; organizational unlearning; organizational capabilities; experiential learning; crisis management OR stage,,,,https://www.frontiersin.org/articles/10.3389/fcomm.2022.837386/pdf https://doi.org/10.3389/fcomm.2022.837386 https://kristiania.brage.unit.no/kristiania-xmlui/bitstream/11250/3053307/1/article73488.pdf https://hdl.handle.net/11250/3053307 https://munin.uit.no/bitstream/10037/26040/2/article.pdf https://hdl.handle.net/10037/26040,http://dx.doi.org/10.3389/fcomm.2022.837386,,10.3389/fcomm.2022.837386,,,0,001-328-699-322-957; 001-352-415-810-503; 001-718-743-094-861; 002-237-774-724-191; 003-313-350-355-191; 003-456-840-601-154; 003-603-473-009-462; 004-913-039-157-745; 006-003-124-189-880; 006-759-247-992-796; 007-393-910-298-139; 010-699-172-027-352; 010-731-172-957-709; 010-867-219-890-488; 012-584-114-485-809; 012-907-969-260-641; 013-215-360-590-674; 014-332-889-407-509; 014-654-994-044-334; 014-681-589-382-309; 014-720-837-240-801; 015-229-405-321-76X; 015-601-458-080-443; 016-750-260-219-783; 016-872-637-355-116; 016-940-425-538-078; 017-117-676-268-821; 017-286-384-790-148; 019-781-631-300-638; 019-785-642-037-925; 020-319-756-200-708; 021-415-992-476-614; 023-463-024-205-111; 023-591-611-625-790; 024-396-679-213-306; 025-437-500-900-726; 025-835-887-610-080; 025-838-909-451-978; 026-568-092-352-99X; 028-059-163-044-327; 029-816-062-308-671; 033-873-262-294-986; 036-153-627-172-476; 036-207-221-450-772; 036-420-671-354-086; 036-509-257-765-964; 036-604-882-999-171; 037-550-015-414-716; 038-319-800-099-314; 040-795-814-553-281; 042-085-457-184-962; 042-129-018-269-093; 044-480-688-829-919; 044-793-009-145-695; 044-819-435-630-178; 044-990-853-921-63X; 048-478-692-852-890; 048-676-282-045-225; 050-013-988-578-394; 051-904-162-537-428; 053-792-614-181-266; 054-462-224-438-550; 054-555-791-464-950; 055-517-593-059-523; 055-895-573-533-476; 060-054-924-433-253; 061-296-555-538-698; 061-819-617-379-822; 061-828-391-735-832; 062-639-751-552-065; 063-898-723-106-845; 064-845-283-850-247; 065-078-522-642-042; 067-324-916-445-969; 067-434-230-643-941; 067-838-608-214-104; 068-358-536-993-05X; 070-012-323-818-702; 070-539-757-919-245; 071-399-319-359-414; 072-067-405-816-007; 072-561-324-580-761; 074-729-987-283-898; 076-319-472-184-496; 076-638-777-297-676; 076-900-265-641-710; 080-480-015-141-648; 081-316-107-481-086; 082-893-230-356-316; 086-103-888-935-441; 088-222-700-015-77X; 091-159-365-868-255; 093-598-724-687-614; 094-081-093-069-776; 094-591-291-813-965; 098-103-082-939-668; 098-844-341-731-406; 100-812-525-911-878; 104-003-608-796-612; 105-434-237-018-694; 106-431-733-732-953; 107-390-229-971-232; 108-367-849-245-566; 109-106-328-450-936; 109-227-950-733-734; 111-079-336-547-480; 112-340-780-509-459; 114-906-888-733-498; 116-271-546-488-134; 117-538-676-469-907; 118-263-742-415-437; 118-429-353-487-178; 119-701-537-431-888; 132-825-955-055-411; 140-801-983-302-524; 146-167-116-783-545; 150-158-773-637-863; 152-420-184-690-109; 156-571-450-751-634; 167-379-632-378-809; 167-725-587-708-854; 188-168-899-966-169; 192-278-972-920-32X; 197-356-347-730-849,73,true,cc-by,gold
115-146-926-101-414,Improving organizational learning some key development factors,2020-06-08,2020,journal article,Continuity & Resilience Review,25167502; 25167510,Emerald,,,,2,1,41,43,Key (lock); Business; Knowledge management; Organizational learning; Process management; Computer science; Computer security,,,,,,http://dx.doi.org/10.1108/crr-05-2020-0012,,10.1108/crr-05-2020-0012,,,0,040-795-814-553-281,0,false,,
121-371-998-527-375,The practitioner’s part in making a difference through organizational learning,2019-01-14,2019,journal article,The Learning Organization,09696474,Emerald,United Kingdom,Simon Reese,,26,1,113,116,Psychology; Organizational learning; Pedagogy,,,,,https://www.emerald.com/insight/content/doi/10.1108/TLO-01-2019-169/full/pdf https://www.emerald.com/insight/content/doi/10.1108/TLO-01-2019-169/full/html,http://dx.doi.org/10.1108/tlo-01-2019-169,,10.1108/tlo-01-2019-169,2911454976,,0,025-058-524-853-792; 040-795-814-553-281; 043-120-233-883-067; 067-434-230-643-941; 069-348-538-853-234; 076-398-809-614-884; 094-294-274-497-920; 098-106-895-846-921; 100-657-814-529-563; 149-239-361-816-901,1,false,,
122-127-022-898-31X,"IT outsourcing, knowledge transfer and project transition phases",2019-11-11,2019,journal article,VINE Journal of Information and Knowledge Management Systems,20595891,Emerald,,Cynthia Denise McGowan Poole,"The purpose of this research was to uncover perceptions of information technology outsourcing (ITO) project leaders and project teams regarding knowledge transfer between client and vendor partners during opening and closing transition phases of ITO projects.,Qualitative methods and exploratory case study design were used. Purposeful sampling was used to identify ITO knowledge assets including project team members and organizational documents and artifacts that may provide information regarding the knowledge transfer processes during the transition phases of the ITO project. Sample criteria were ITO project team members from one US-based client organization and the company’s international vendor partners. The study population included project managers, analyst, developers, subject matter experts (SMEs) and other ITO knowledge workers involved in the ITO project from one US-based organization. Interview and document analysis were done using of NVivo Pro 11® research software.,Four themes emerged from participant responses relative to the opening and closing phases of ITO projects including KT approaches to plans and processes; KT dependencies relative to IT project team member’s reliance on project tools, processes and artifacts; determinants of KT success or failure relative to project team members’ perceptions; and role of documentation relative to communication and distribution of KT outcomes.,This research may provide insights into additional aspects of knowledge transfer during ITO transition phases, which may be used by IT leaders and project teams to plan for successful knowledge transfer during the transition phases of ITO projects.",50,2,219,246,Subject-matter expert; Business; Knowledge transfer; Project team; Vendor; Sample (statistics); Outsourcing; Documentation; Knowledge management; Plan (drawing),,,,,https://www.emerald.com/insight/content/doi/10.1108/VJIKMS-04-2019-0053/full/html,http://dx.doi.org/10.1108/vjikms-04-2019-0053,,10.1108/vjikms-04-2019-0053,2989827219,,0,001-758-464-216-842; 002-827-768-117-109; 003-071-612-037-101; 006-211-838-582-306; 008-022-001-160-355; 008-777-830-477-566; 013-059-593-734-577; 014-317-357-515-431; 014-817-828-287-473; 015-615-421-069-248; 015-637-723-268-40X; 022-492-305-373-978; 022-938-286-293-924; 024-079-037-296-155; 024-479-499-779-680; 028-236-314-338-491; 028-300-438-231-120; 032-687-686-408-689; 037-189-579-473-936; 037-438-298-330-060; 039-104-087-967-179; 040-795-814-553-281; 042-429-556-927-473; 044-581-800-246-944; 046-144-333-703-225; 046-975-540-235-302; 047-546-686-780-89X; 048-322-858-751-539; 048-742-255-137-514; 051-180-200-019-453; 054-897-619-085-123; 055-573-076-569-505; 055-637-900-925-011; 058-033-671-265-700; 059-593-373-585-839; 062-690-853-783-212; 066-368-070-982-127; 070-664-192-959-671; 072-262-504-135-024; 083-192-640-703-303; 083-905-212-374-408; 090-781-333-707-477; 092-533-854-353-90X; 093-066-958-743-861; 093-415-713-901-684; 093-695-601-739-159; 094-624-534-635-138; 101-658-396-939-244; 102-082-675-025-602; 103-412-781-353-963; 103-935-223-107-04X; 110-148-262-135-263; 111-389-603-511-081; 114-166-423-519-642; 114-909-727-118-535; 131-234-338-229-200; 133-637-984-072-307; 138-822-311-364-133; 164-266-013-776-816; 164-865-011-644-961; 197-810-539-706-197,4,false,,
