DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.3389/fcomm.2022.837386,Building Organizational Resilience Through Organizational Learning: A Systematic Review,"Lise L. Evenseth, Maria Sydnes, A. Gausdal",Frontiers in Communication,2022,"With organizational environments becoming increasingly complex and volatile, the concept of “organizational resilience” has become the “new normal”. Organizational resilience is a complex and multidimensional concept which builds on the myriad of capabilities that an organization develops during its lifecycle. As learning is an inherent and essential part of these developments, it has become a central theme in literature on organizational resilience. Although organizational resilience and organizational learning are inherently interrelated, little is known of the dynamics of effective learning that may enhance organizational resilience. This study explores how to achieve organizational learning that can serve to promote organizational resilience. Our aim is to contribute to a more comprehensive knowledge of the relation between organizational resilience and organizational learning. We present the results of a systematic literature review to assess how organizational learning may make organizations more resilient. As both organizational resilience and organizational learning are topics of practical importance, our study offers a specifically targeted investigation of this relation. We examine the relevant literature on organizational learning and resilience, identifying core themes and the connection between the two concepts. Further, we provide a detailed description of data collection and analysis. Data were analyzed thematically using the qualitative research software NVivo. Our review covered 41 empirical, 12 conceptual and 6 literature review articles, all indicating learning as mainly linked to adaptation capabilities. However, we find that learning is connected to all three stages of resilience that organizations need to develop resilience: anticipation, coping, and adaptation. Effective learning depends upon appropriate management of experiential learning, on a systemic approach to learning, on the organizational ability to unlearn, and on the existence of the context that facilitates organizational learning.",29409939,71,162,,
10.1109/ase.2019.00047,"Regexes are Hard: Decision-Making, Difficulties, and Risks in Programming Regular Expressions","IV LouisG.Michael, James Donohue, James C. Davis, Dongyoon Lee, Francisco Servant",International Conference on Automated Software Engineering,2019,"Regular expressions (regexes) are a powerful mechanism for solving string-matching problems. They are supported by all modern programming languages, and have been estimated to appear in more than a third of Python and JavaScript projects. Yet existing studies have focused mostly on one aspect of regex programming: readability. We know little about how developers perceive and program regexes, nor the difficulties that they face. In this paper, we provide the first study of the regex development cycle, with a focus on (1) how developers make decisions throughout the process, (2) what difficulties they face, and (3) how aware they are about serious risks involved in programming regexes. We took a mixed-methods approach, surveying 279 professional developers from a diversity of backgrounds (including top tech firms) for a high-level perspective, and interviewing 17 developers to learn the details about the difficulties that they face and the solutions that they prefer. In brief, regexes are hard. Not only are they hard to read, our participants said that they are hard to search for, hard to validate, and hard to document. They are also hard to master: the majority of our studied developers were unaware of critical security risks that can occur when using regexes, and those who knew of the risks did not deal with them in effective manners. Our findings provide multiple implications for future work, including semantic regex search engines for regex reuse and improved input generators for regex validation.",279452369,61,44,,
10.1002/smr.2607,Qualitative software engineering research: Reflections and guidelines,"Per Lenberg, R. Feldt, Lucas Gren, Lars Göran Wallgren Tengberg, I. Tidefors, D. Graziotin",J. Softw. Evol. Process.,2017,"Researchers are increasingly recognizing the importance of human aspects in software development. Because qualitative methods are used to explore human behavior in‐depth, we believe that studies using such methods will become more common. Existing qualitative software engineering guidelines do not cover the full breadth of qualitative methods and the knowledge on how to use them like in social sciences. The purpose of this study was to extend the software engineering community's current body of knowledge regarding available qualitative methods and their quality assurance frameworks and to provide recommendations and guidelines for their use. With the support of an epistemological argument and a survey of the literature, we suggest that future research would benefit from (1) utilizing a broader set of research methods, (2) more strongly emphasizing reflexivity, and (3) employing qualitative guidelines and quality criteria. We present an overview of three qualitative methods commonly used in social sciences but rarely seen in software engineering research, namely interpretative phenomenological analysis, narrative analysis, and discourse analysis. Furthermore, we discuss the meaning of reflexivity in relation to the software engineering context and suggest means of fostering it. Our paper will help software engineering researchers better select and then guide the application of a broader set of qualitative research methods.",281827167,28,218,,
10.1108/vjikms-04-2019-0053,"IT outsourcing, knowledge transfer and project transition phases",Cynthia Denise McGowan Poole,VINE Journal of Information and Knowledge Management Systems,2019,"PurposeThe purpose of this research was to uncover perceptions of information technology outsourcing (ITO) project leaders and project teams regarding knowledge transfer between client and vendor partners during opening and closing transition phases of ITO projects.Design/methodology/approachQualitative methods and exploratory case study design were used. Purposeful sampling was used to identify ITO knowledge assets including project team members and organizational documents and artifacts that may provide information regarding the knowledge transfer processes during the transition phases of the ITO project. Sample criteria were ITO project team members from one US-based client organization and the company’s international vendor partners. The study population included project managers, analyst, developers, subject matter experts (SMEs) and other ITO knowledge workers involved in the ITO project from one US-based organization. Interview and document analysis were done using of NVivo Pro 11®research software.FindingsFour themes emerged from participant responses relative to the opening and closing phases of ITO projects including KT approaches to plans and processes; KT dependencies relative to IT project team member’s reliance on project tools, processes and artifacts; determinants of KT success or failure relative to project team members’ perceptions; and role of documentation relative to communication and distribution of KT outcomes.Originality/valueThis research may provide insights into additional aspects of knowledge transfer during ITO transition phases, which may be used by IT leaders and project teams to plan for successful knowledge transfer during the transition phases of ITO projects.",222031556,7,69,,
10.1108/tlo-05-2022-0066,"Strategic HRM practices, learning orientation and learning competence: study from retail industry","A. P., Chitra Dey, Nivethitha Santhanam, Kamarul Zaman Bin Ahmad",Learning Organization,2023,"
Purpose
This study aims to examine the effect of strategic human resource management (SHRM) practices on two learning outcomes, learning orientation and learning competence, which past research has seldom examined in the UAE context. SHRM practices consisted of four factors, namely, talent acquisition, learning and development, performance appraisal and developmental pay.


Design/methodology/approach
Primary data was collected from 285 employees from retail outlets operating in Dubai. Partial least squares regression analysis using the tool, SmartPLS, was used to empirically validate the measurement model and test the structural model.


Findings
Findings reveal that SHRM practices talent acquisition, learning and development and developmental pay have a positive association with learning orientation, and learning and development and performance appraisal have a positive association with learning competence of employees. The path coefficient and total effects signify that learning orientation acts as a conduit to pass on the effect of the SHRM practices to learning competence.


Research limitations/implications
The sample considered for the study was from the retail industry. Furthermore, to generalize the findings of this research, cross-national studies should be conducted across various sectors and organizations.


Originality/value
To the best of the authors’ knowledge, this research study is the first of its kind in retail firms in Dubai (UAE) to empirically test the association of SHRM practices with learning outcomes. Retail outlets can implement SHRM practices to improve learning orientation and learning competence in a highly dynamic operating environment such as retail industry.
",260605834,7,108,,
10.1108/tlo-11-2019-0166,Using fieldwork to deepen understanding of organizational learning and/or the learning organization,Laurie Field,(missing journal),2020,"In an effort to encourage more probing studies of organizational learning and the learning organization (OL/LO), this paper aims to highlight the value of extended periods of fieldwork and suggest priorities for future fieldwork-based research into OL/LO.,The paper draws on the author’s research and consultancies in the OL/LO field and on systematic reviews of OL/LO literature.,Evidence is presented to justify the following four priorities for future fieldwork-based studies of OL/LO: to obtain trustworthy data, to bring the role of time and place into sharp focus, to explore the relationship between organizational learning and interests and to identify strategies for improving organizational learning in particular contexts.,The paper suggests priorities for a research approach that is not often used to study organizational learning and the learning organization, namely, to undertake extended periods of fieldwork in individual organizations or parts of organizations, gathering trustworthy data and interpreting it with the help of extant OL/LO theory.",15597871,4,45,,
10.1108/tlo-12-2022-0162,People aspect of learning organisation and performance of administrative staff in a public university context,"Elizabeth Cornelia Annan-Prah, Florence Baffoe, Raphael Papa Kweku Andoh",Learning Organization,2023,"
Purpose
The purpose of this study was to examine effects of the human aspects of the learning organisation (i.e. continuous learning; inquiry and dialogue; team collaboration and learning; and employee empowerment) on the performance of a public university’s administrative staff. Differences in the human aspects of the learning organisation across perhaps the two most important demographic characteristics (educational attainment and years of experience) were also examined.


Design/methodology/approach
This study focused exclusively on the human aspect of the dimensions of the learning organisation questionnaire. Specifically, differences in the people aspect of learning organization (PALO) across demographic characteristics were analysed using the Kruskal–Wallis test with a Bonferroni adjustment to the alpha values in the Mann–Whitney U tests that followed. Hierarchical linear regression using the standard (enter) method was adopted in analysing the PALO and administrative staff performance while controlling for age and gender.


Findings
This study demonstrated that a difference in the PALO existed across the education level and years of experience of the administrative staff. Specifically, Diploma holders performed better than those with Postgraduate degree. Also, administrative staff with 5–10 years of experience did better than the staff who had more than 15 years of experience. In addition, continuous learning; inquiry and dialogue; and collaboration and team learning each had a significant effect on administrative staff performance.


Practical implications
Employees, especially those with higher levels of education and more work experience, should be motivated through rewards as well as challenging and thought-provoking tasks as they could serve as mechanisms that would make them contribute substantially to the sustainability of the PALO. Again, public universities should pay attention to the PALO, which is at the individual and team levels.


Originality/value
This study focuses solely on the people aspect of the dimensions of the learning organisation questionnaire and sheds light on its importance to the learning organisation culture.
",261861727,4,47,,
10.1016/j.heliyon.2024.e27092,Procedures for transferring organizational knowledge during generational change: A systematic review,"Elene Igoa-Iraola, Fernando Díez",Heliyon,2024,(missing abstract),269895005,4,9,,
10.1108/tlo-01-2019-169,The practitioner’s part in making a difference through organizational learning,Simon R. Reese,The Learning Organization,2019,"This issue of the Learning Organization journal exposes the topic of making a difference through organizational learning. In his editorial essay in this issue of the Learning Organization journal, George Huber provides readers an in-depth overview of what he describes as a void in the organizational learning literature – ecosystems and intelligence. For a practitioner, the implications to business become increasingly clear through the reading of each of the diverse articles. The implication is most apparent in how George Huber describes in his editorial introduction a common idea (or assumption) that learning occurs when the organization’s members act in a way to improve the organization’s performance. As various authors suggest throughout this issue of the Learning Organization, organizational learning theories are increasingly important to corporate success in an ever-changing, technologically driven environment where information must flow across levels quickly. Alternatively, as Huber contends, organizations must monitor and act on their ecosystem, which is becoming more complex and faster moving. As a practitioner, this issue can help you uncover ideas to make your difference. These two topics (ecosystem and intelligence) act to align the organization toward success. Alternatively, as Huber states, “organizations must today, and in the future, more quickly and effectively assess the need for and nature of survival-facilitating actions, and that to do this they must proactively engage in intelligence gathering about the state of the ecosystem” (p. 4). Starting with Huber’s article offers practitioners with clear visions into what is to come within the issue. In the first article of the special issue, Brix (2019) in “Innovation capacity building: an approach to maintaining balance between exploration and exploitation in organizational learning” presents the innovation capacity building (ICB) framework as a method to “how” an organization and its members can build capabilities to make a difference. His conceptual framework aims to solve the ambidexterity dilemma of exploration and exploitation by understanding the behaviors of management and employees in the context of the work environment. For practitioners, this article is particularly impactful because as the author describes:",18886915,3,13,,
10.1177/20438869211028855,The adaptability of Monday.com’s app-based software: Discover the company building a flexible business model that adapts to individual company needs:,Barbara A. Manko,(missing journal),2021,"The tools of running a business are big business themselves. Finding a way to efficiently streamline processes could save time, effort, and money, but getting to that point often requires retrainin...",110354326,1,18,,
