id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4220698983,"A good search strategy is essential for a successful systematic literature study. Historically, database searches have been the norm, which was later complemented with snowball searches. Our conjecture is that we can perform even better searches if combining these two search approaches, referred to as a hybrid search strategy. Our main objective was to compare and evaluate a hybrid search strategy. Furthermore, we compared four alternative hybrid search strategies to assess whether we could identify more cost-efficient ways of searching for relevant primary studies. To compare and evaluate the hybrid search strategy, we replicated the search procedure in a systematic literature review (SLR) on industry–academia collaboration in software engineering. The SLR used a more “traditional” approach to searching for relevant articles for an SLR, while our replication was executed using a hybrid search strategy. In our evaluation, the hybrid search strategy was superior in identifying relevant primary studies. It identified 30% more primary studies and even more studies when focusing only on peer-reviewed articles. To embrace individual viewpoints when assessing research articles and minimise the risk of missing primary studies, we introduced two new concepts, wild cards and borderline articles, when performing systematic literature studies. The hybrid search strategy is a strong contender for being used when performing systematic literature studies. Furthermore, alternative hybrid search strategies may be viable if selected wisely in relation to the start set for snowballing. Finally, the two new concepts were judged as essential to cater for different individual judgements and to minimise the risk of excluding primary studies that ought to be included.",3350,3350,Claes Wohlin|Marcos Kalinowski|Katia Romero Felizardo|Emília Mendes,https://openalex.org/A5037810527|https://openalex.org/A5062526200|https://openalex.org/A5043877845|https://openalex.org/A5103878525,https://orcid.org/0000-0003-0460-5253|https://orcid.org/0000-0003-1445-3425|https://orcid.org/0000-0001-9080-4165|,SE|BR|BR|SE,Blekinge Institute of Technology|Pontifícia Universidade Católica do Rio de Janeiro|Universidade Tecnológica Federal do Paraná|Blekinge Institute of Technology,https://openalex.org/I52719799|https://openalex.org/I2699952|https://openalex.org/I1283613182|https://openalex.org/I52719799,True|False|False|False,cc-by,0.99982726,362,https://openalex.org/I52719799,Successful combination of database search and snowballing for identification of primary studies in systematic literature studies,https://doi.org/10.1016/j.infsof.2022.106908,Conselho Nacional de Desenvolvimento Científico e Tecnológico,99.5403,,False,en,True,hybrid,Information and Software Technology,https://openalex.org/P4310320990,Elsevier BV,https://openalex.org/S205010575,0950-5849,journal,Software Engineering Research,2022-03-28,2022,article
https://openalex.org/W2803356988,,,,Martin Kalenda|Petr Hyna|Bruno Rossi,https://openalex.org/A5051773253|https://openalex.org/A5075534484|https://openalex.org/A5052792208,||https://orcid.org/0000-0002-8659-1520,CZ|CZ|CZ,Masaryk University|Agico (Czechia)|Masaryk University,https://openalex.org/I21449261|https://openalex.org/I4210142566|https://openalex.org/I21449261,False|False|True,,0.99329598,177,https://openalex.org/I21449261,"Scaling agile in large organizations: Practices, challenges, and success factors",https://doi.org/10.1002/smr.1954,,20.9665,,False,en,False,closed,Journal of Software Evolution and Process,https://openalex.org/P4310320595,Wiley,https://openalex.org/S4210172359,2047-7473,journal,Software Engineering Techniques and Practices,2018-05-16,2018,article
https://openalex.org/W2913509499,"Regression testing is a means to assure that a change in the software, or its execution environment, does not introduce new defects. It involves the expensive undertaking of rerunning test cases. Several techniques have been proposed to reduce the number of test cases to execute in regression testing, however, there is no research on how to assess industrial relevance and applicability of such techniques. We conducted a systematic literature review with the following two goals: firstly, to enable researchers to design and present regression testing research with a focus on industrial relevance and applicability and secondly, to facilitate the industrial adoption of such research by addressing the attributes of concern from the practitioners’ perspective. Using a reference-based search approach, we identified 1068 papers on regression testing. We then reduced the scope to only include papers with explicit discussions about relevance and applicability (i.e. mainly studies involving industrial stakeholders). Uniquely in this literature review, practitioners were consulted at several steps to increase the likelihood of achieving our aim of identifying factors important for relevance and applicability. We have summarised the results of these consultations and an analysis of the literature in three taxonomies, which capture aspects of industrial-relevance regarding the regression testing techniques. Based on these taxonomies, we mapped 38 papers reporting the evaluation of 26 regression testing techniques in industrial settings.",2290,2290,Nauman bin Ali|Emelie Engström|Masoumeh Taromirad|Mohammad Reza Mousavi|Nasir Mehmood Minhas|Daniel Helgesson|Sebastian Kunze|Mahsa Varshosaz,https://openalex.org/A5072594385|https://openalex.org/A5085978732|https://openalex.org/A5033757604|https://openalex.org/A5101493818|https://openalex.org/A5076403378|https://openalex.org/A5009710450|https://openalex.org/A5039294481|https://openalex.org/A5036805687,https://orcid.org/0000-0001-7266-5632|https://orcid.org/0000-0001-6736-9425|https://orcid.org/0000-0002-0838-928X|https://orcid.org/0000-0002-4869-6794|https://orcid.org/0000-0001-8177-4355|||https://orcid.org/0000-0002-4776-883X,SE|SE|SE|GB|SE|SE|SE|SE|SE,Blekinge Institute of Technology|Lund University|Halmstad University|University of Leicester|Halmstad University|Blekinge Institute of Technology|Lund University|Halmstad University|Halmstad University,https://openalex.org/I52719799|https://openalex.org/I187531555|https://openalex.org/I746986|https://openalex.org/I153648349|https://openalex.org/I746986|https://openalex.org/I52719799|https://openalex.org/I187531555|https://openalex.org/I746986|https://openalex.org/I746986,True|False|False|False|False|False|False|False,cc-by,0.97923863,58,https://openalex.org/I52719799,On the search for industry-relevant regression testing research,https://doi.org/10.1007/s10664-018-9670-1,Vetenskapsrådet|Chinese Academy of Agricultural Sciences,9.5136,,False,en,True,hybrid,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Research,2019-02-12,2019,article
https://openalex.org/W4291909871,,2590,,Ruchika Malhotra|Massoud Massoudi|Rajni Jindal,https://openalex.org/A5047796614|https://openalex.org/A5078534724|https://openalex.org/A5053492956,https://orcid.org/0000-0003-3872-6213|https://orcid.org/0000-0002-5492-4570|https://orcid.org/0000-0002-2388-7615,IN|IN|IN,Delhi Technological University|Delhi Technological University|Delhi Technological University,https://openalex.org/I863896202|https://openalex.org/I863896202|https://openalex.org/I863896202,True|False|False,,0.86788359,29,https://openalex.org/I863896202,An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths,https://doi.org/10.1007/s10639-022-11276-1,,2.1258,,False,en,False,closed,Education and Information Technologies,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S166722454,1360-2357,journal,Biomedical and Engineering Education,2022-08-15,2022,article
https://openalex.org/W1450260283,,2290,,Vahid Garousi,https://openalex.org/A5000712015,https://orcid.org/0000-0001-6590-7576,TR,Hacettepe University,https://openalex.org/I66514158,True,,0.9885914,58,https://openalex.org/I66514158,A bibliometric analysis of the Turkish software engineering research community,https://doi.org/10.1007/s11192-015-1663-x,Hacettepe Üniversitesi|Bilkent Üniversitesi,16.5838,,False,en,False,closed,Scientometrics,https://openalex.org/P4310320108,Springer Nature (Netherlands),https://openalex.org/S148561398,0138-9130,journal,Software Engineering Research,2015-08-11,2015,article
https://openalex.org/W2466590866,,2390,,Vahid Garousi|Matt M. Eskandar|Kadir Herkiloğlu,https://openalex.org/A5000712015|https://openalex.org/A5006049345|https://openalex.org/A5023268747,https://orcid.org/0000-0001-6590-7576||https://orcid.org/0000-0003-3258-7240,TR||TR,Hacettepe University||Aselsan (Turkey),https://openalex.org/I66514158||https://openalex.org/I56303344,True|False|False,cc-by-nc-nd,0.98756207,46,https://openalex.org/I66514158,Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,https://doi.org/10.1007/s11219-016-9319-5,Türkiye Bilimsel ve Teknolojik Araştırma Kurumu|Hacettepe Üniversitesi,14.5016,,False,en,True,green,Software Quality Journal,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S7504070,0963-9314,journal,Software Engineering Techniques and Practices,2016-06-01,2016,article
https://openalex.org/W2470503866,,2390,,Emelie Engström|Kai Petersen|Nauman bin Ali|Elizabeth Bjarnason,https://openalex.org/A5085978732|https://openalex.org/A5071394068|https://openalex.org/A5072594385|https://openalex.org/A5054500822,https://orcid.org/0000-0001-6736-9425|https://orcid.org/0000-0002-1532-8223|https://orcid.org/0000-0001-7266-5632|https://orcid.org/0000-0001-9070-0008,SE|SE|SE|SE,Lund University|Blekinge Institute of Technology|Blekinge Institute of Technology|Lund University,https://openalex.org/I187531555|https://openalex.org/I52719799|https://openalex.org/I52719799|https://openalex.org/I187531555,True|False|False|False,,0.97405139,33,https://openalex.org/I187531555,SERP-test: a taxonomy for supporting industry–academia communication,https://doi.org/10.1007/s11219-016-9322-x,,8.3072,,False,en,False,closed,Software Quality Journal,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S7504070,0963-9314,journal,Software Engineering Research,2016-06-28,2016,article
https://openalex.org/W2765702442,,,,Margaret‐Anne Storey|Emelie Engström|Martin Höst|Per Runeson|Elizabeth Bjarnason,https://openalex.org/A5038905934|https://openalex.org/A5085978732|https://openalex.org/A5045592913|https://openalex.org/A5087032437|https://openalex.org/A5054500822,https://orcid.org/0000-0003-2278-2536|https://orcid.org/0000-0001-6736-9425|https://orcid.org/0000-0002-9360-8693|https://orcid.org/0000-0003-2795-4851|https://orcid.org/0000-0001-9070-0008,CA|SE|SE|SE|SE,University of Victoria|Lund University|Lund University|Lund University|Lund University,https://openalex.org/I212119943|https://openalex.org/I187531555|https://openalex.org/I187531555|https://openalex.org/I187531555|https://openalex.org/I187531555,True|False|False|False|False,,0.96105808,30,https://openalex.org/I212119943,Using a Visual Abstract as a Lens for Communicating and Promoting Design Science Research in Software Engineering,https://doi.org/10.1109/esem.2017.28,,5.3199,,False,en,False,closed,,,,,,,Software Engineering Research,2017-11-01,2017,article
https://openalex.org/W2103102204,,2190,,Olesia Oliinyk|Kai Petersen|Manfred Schoelzke|Martin Becker|Soeren Schneickert,https://openalex.org/A5047676276|https://openalex.org/A5071394068|https://openalex.org/A5053144035|https://openalex.org/A5060733666|https://openalex.org/A5041702631,|https://orcid.org/0000-0002-1532-8223||https://orcid.org/0000-0003-4296-3481|,NL|SE||DE|DE,Capgemini (Netherlands)|Blekinge Institute of Technology||Fraunhofer Institute for Experimental Software Engineering|Fraunhofer Society|Fraunhofer Society|Fraunhofer Institute for Experimental Software Engineering,https://openalex.org/I18850439|https://openalex.org/I52719799||https://openalex.org/I4210098380|https://openalex.org/I4923324|https://openalex.org/I4923324|https://openalex.org/I4210098380,True|False|False|False|False,,0.86299036,22,https://openalex.org/I18850439,Structuring automotive product lines and feature models: an exploratory study at Opel,https://doi.org/10.1007/s00766-015-0237-z,,1.3387,,False,en,False,closed,Requirements Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S207090427,0947-3602,journal,Advanced Software Engineering Methodologies,2015-08-21,2015,article
https://openalex.org/W2558397953,,,,Elaine Venson|Rejane Maria da Costa Figueiredo|Wander Silva|Luiz Carlos Miyadaira Ribeiro,https://openalex.org/A5085080986|https://openalex.org/A5026426936|https://openalex.org/A5068839804|https://openalex.org/A5014471020,https://orcid.org/0000-0002-7607-5936|https://orcid.org/0000-0001-8243-7924||https://orcid.org/0000-0001-6738-3788,BR|BR|BR|BR,Universidade de Brasília|Universidade de Brasília|Universidade de Brasília|Universidade de Brasília,https://openalex.org/I150729083|https://openalex.org/I150729083|https://openalex.org/I150729083|https://openalex.org/I150729083,True|False|False|False,,0.90214832,21,https://openalex.org/I150729083,Academy-industry collaboration and the effects of the involvement of undergraduate students in real world activities,https://doi.org/10.1109/fie.2016.7757394,,1.9905,,False,en,False,closed,,,,,,,Software Engineering Techniques and Practices,2016-10-01,2016,article
