id,abstract,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W3193483200,,,,Juliana Alves Pereira|Hugo Martin|Mathieu Acher|Jean‐Marc Jezéquél|Goetz Botterweck|Anthony Ventresque,https://openalex.org/A5051931293|https://openalex.org/A5085181961|https://openalex.org/A5003973216|https://openalex.org/A5069324527|https://openalex.org/A5031243998|https://openalex.org/A5020823954,https://orcid.org/0000-0002-0799-2829|https://orcid.org/0000-0002-6093-2358|https://orcid.org/0000-0003-1483-3858|https://orcid.org/0000-0002-0582-9745|https://orcid.org/0000-0002-5556-1660|https://orcid.org/0000-0003-2064-1238,BR||||IE|IE,Pontifícia Universidade Católica do Rio de Janeiro||||University of Limerick|University College Dublin,https://openalex.org/I2699952||||https://openalex.org/I230495080|https://openalex.org/I100930933,True|False|False|False|False|False,,0.97136205,104,https://openalex.org/I2699952,Learning Software Configuration Spaces: A Systematic Literature Review,https://doi.org/10.1016/j.jss.2021.111044,Arthritis National Research Foundation|Science Foundation Ireland|Agence Nationale de la Recherche,6.4389,False,en,False,closed,SPIRE - Sciences Po Institutional REpository,,,https://openalex.org/S4406922466,,repository,Advanced Software Engineering Methodologies,2021-08-06,2021,article
https://openalex.org/W2992291905,,,,Juliana Alves Pereira|Mathieu Acher|Hugo Martin|Jean‐Marc Jezéquél,https://openalex.org/A5051931293|https://openalex.org/A5003973216|https://openalex.org/A5085181961|https://openalex.org/A5069324527,https://orcid.org/0000-0002-0799-2829|https://orcid.org/0000-0003-1483-3858|https://orcid.org/0000-0002-6093-2358|https://orcid.org/0000-0002-0582-9745,FR|FR|FR|FR,Centre National de la Recherche Scientifique|Institut de Recherche en Informatique et Systèmes Aléatoires|Université de Rennes|Centre National de la Recherche Scientifique|Université de Rennes|Institut de Recherche en Informatique et Systèmes Aléatoires|Université de Rennes|Centre National de la Recherche Scientifique|Institut de Recherche en Informatique et Systèmes Aléatoires|Centre National de la Recherche Scientifique|Université de Rennes|Institut de Recherche en Informatique et Systèmes Aléatoires,https://openalex.org/I1294671590|https://openalex.org/I2802519937|https://openalex.org/I56067802|https://openalex.org/I1294671590|https://openalex.org/I56067802|https://openalex.org/I2802519937|https://openalex.org/I56067802|https://openalex.org/I1294671590|https://openalex.org/I2802519937|https://openalex.org/I1294671590|https://openalex.org/I56067802|https://openalex.org/I2802519937,True|False|False|False,,0.94964503,75,https://openalex.org/I1294671590|https://openalex.org/I2802519937|https://openalex.org/I56067802,Sampling Effect on Performance Prediction of Configurable Systems,https://doi.org/10.1145/3358960.3379137,,4.6749,False,en,False,closed,,,,,,,Software System Performance and Reliability,2020-04-20,2020,preprint
https://openalex.org/W3155741812,"Context-aware recommender systems dedicated to online social networks experienced noticeable growth in the last few years. This has led to more research being done in this area stimulated by the omnipresence of smartphones and the latest web technologies. These systems are able to detect specific user needs and adapt recommendations to actual user context. In this research, we present a comprehensive review of context-aware recommender systems developed for social networks. For this purpose, we used a systematic literature review methodology which clearly defined the scope, the objective, the timeframe, the methods, and the tools to undertake this research. Our focus is to investigate approaches and techniques used in the development of context-aware recommender systems for social networks and identify the research gaps, challenges, and opportunities in this field. In order to have a clear vision of the research potential in the field, we considered research articles published between 2015 and 2020 and used a research portal giving access to major scientific research databases. Primary research articles selected are reviewed and the recommendation process is analyzed to identify the approach, the techniques, and the context elements employed in the development of the recommendation systems. The paper presents the detail of the review study, provides a synthesis of the results, proposes an evaluation based on measurable evaluation tools developed in this study, and advocates future research and development pathways in this interesting field.",1850,1850,Areej Bin Suhaim|Jawad Berri,https://openalex.org/A5077847532|https://openalex.org/A5005188806,|,SA|SA,King Saud University|King Saud University,https://openalex.org/I28022161|https://openalex.org/I28022161,True|False,cc-by,0.97879336,50,https://openalex.org/I28022161,"Context-Aware Recommender Systems for Social Networks: Review, Challenges and Opportunities",https://doi.org/10.1109/access.2021.3072165,"King Saud University|Research Center of the College of Computer and Information Sciences, King Saud University",9.384,False,en,True,gold,IEEE Access,https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers,https://openalex.org/S2485537415,2169-3536,journal,Recommender Systems and Techniques,2021-01-01,2021,article
https://openalex.org/W4400157027,"Developing and maintaining Feature Models (FMs) can become an errorprone activity.In this chapter, we focus on different aspects of analyzing relevant properties of FMs.Such an analysis helps to increase the maintainability and correctness of FMs and also makes them better manageable in industrial settings.Analysis operations are discussed in detail and also presented formally.In addition to analysis operations, we also show how to automatically determine erroneous elements of an FM that have to be adapted or deleted in order to restore the intended FM semantics.",,,Alexander Felfernig|Andreas Falkner|David Benavides,https://openalex.org/A5033783997|https://openalex.org/A5034729769|https://openalex.org/A5058851094,https://orcid.org/0000-0003-0108-3146|https://orcid.org/0000-0002-2894-3284|,AT|AT|ES,Graz University of Technology|Siemens (Austria)|Graz University of Technology|Siemens (Austria)|Universidad de Sevilla,https://openalex.org/I4092182|https://openalex.org/I4210127033|https://openalex.org/I4092182|https://openalex.org/I4210127033|https://openalex.org/I79238269,True|False|False,cc-by,1.0,42,https://openalex.org/I4092182|https://openalex.org/I4210127033,Feature Models,https://doi.org/10.1007/978-3-031-61874-1,"Lam Research|TU Graz, Internationale Beziehungen und Mobilitätsprogramme|Universidad de Sevilla|Universidad de Málaga|Ministerio de Ciencia e Innovación|Österreichische Forschungsförderungsgesellschaft|Junta de Andalucía",46.7478,False,en,True,hybrid,SpringerBriefs in computer science,https://openalex.org/P4310319965,Springer Nature,https://openalex.org/S4210184905,2191-5768,book series,Model-Driven Software Engineering Techniques,2024-01-01,2024,book
https://openalex.org/W3173529525,,,,Anderson Uchôa|Caio Barbosa|Daniel Coutinho|Willian Oizumi|Wesley K. G. Assunção|Sílvia Regina Vergílio|Juliana Alves Pereira|Anderson Oliveira|Alessandro Garcia,https://openalex.org/A5083872302|https://openalex.org/A5103925894|https://openalex.org/A5079478848|https://openalex.org/A5024116315|https://openalex.org/A5039130090|https://openalex.org/A5032393345|https://openalex.org/A5051931293|https://openalex.org/A5041090227|https://openalex.org/A5007792821,https://orcid.org/0000-0002-6847-5569||https://orcid.org/0000-0003-4226-2458|https://orcid.org/0000-0002-8956-5272|https://orcid.org/0000-0002-7557-9091|https://orcid.org/0000-0003-3139-6266|https://orcid.org/0000-0002-0799-2829|https://orcid.org/0000-0001-6720-6394|https://orcid.org/0000-0001-5788-5215,BR|BR|BR|BR|BR|BR|BR|BR|BR,Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro|Universidade Federal do Paraná|Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro|Pontifical Catholic University of Rio de Janeiro,https://openalex.org/I2699952|https://openalex.org/I2699952|https://openalex.org/I2699952|https://openalex.org/I2699952|https://openalex.org/I2699952|https://openalex.org/I52418104|https://openalex.org/I2699952|https://openalex.org/I2699952|https://openalex.org/I2699952,True|False|False|False|False|False|False|False|False,,0.98000399,41,https://openalex.org/I2699952,Predicting Design Impactful Changes in Modern Code Review: A Large-Scale Empirical Study,https://doi.org/10.1109/msr52588.2021.00059,,9.6392,False,en,False,closed,,,,,,,Software Engineering Research,2021-05-01,2021,article
https://openalex.org/W3116331861,,,,Johannes Grohmann|Daniel Seybold|Simon Eismann|Mark Leznik|Samuel Kounev|Jörg Domaschka,https://openalex.org/A5074200774|https://openalex.org/A5007474992|https://openalex.org/A5079743240|https://openalex.org/A5079844809|https://openalex.org/A5013790674|https://openalex.org/A5049446644,https://orcid.org/0000-0001-9643-6543|https://orcid.org/0000-0002-7973-5485|https://orcid.org/0000-0003-1224-4945|https://orcid.org/0000-0003-3079-9645|https://orcid.org/0000-0001-9742-2063|https://orcid.org/0000-0002-5451-3480,DE|DE|DE|DE|DE|DE,University of Würzburg|Universität Ulm|University of Würzburg|Universität Ulm|University of Würzburg|Universität Ulm,https://openalex.org/I25974101|https://openalex.org/I196349391|https://openalex.org/I25974101|https://openalex.org/I196349391|https://openalex.org/I25974101|https://openalex.org/I196349391,True|False|False|False|False|False,,0.84623676,8,https://openalex.org/I25974101,Baloo: Measuring and Modeling the Performance Configurations of Distributed DBMS,https://doi.org/10.1109/mascots50786.2020.9285960,,1.0676,False,en,False,closed,,,,,,,Cloud Computing and Resource Management,2020-11-17,2020,article
https://openalex.org/W3120925457,,2290,,Paul Temple|Gilles Perrouin|Mathieu Acher|Battista Biggio|Jean‐Marc Jezéquél|Fabio Roli,https://openalex.org/A5085993828|https://openalex.org/A5055104897|https://openalex.org/A5003973216|https://openalex.org/A5008367647|https://openalex.org/A5069324527|https://openalex.org/A5065359946,https://orcid.org/0000-0002-8276-0593|https://orcid.org/0000-0002-8431-0377|https://orcid.org/0000-0003-1483-3858|https://orcid.org/0000-0001-7752-509X|https://orcid.org/0000-0002-0582-9745|https://orcid.org/0000-0003-4103-9190,BE|BE|FR|IT|FR|IT,University of Namur|University of Namur|Centre National de la Recherche Scientifique|Institut de Recherche en Informatique et Systèmes Aléatoires|Université de Rennes|University of Cagliari|Institut de Recherche en Informatique et Systèmes Aléatoires|Centre National de la Recherche Scientifique|Université de Rennes|University of Cagliari,https://openalex.org/I149768937|https://openalex.org/I149768937|https://openalex.org/I1294671590|https://openalex.org/I2802519937|https://openalex.org/I56067802|https://openalex.org/I172446870|https://openalex.org/I2802519937|https://openalex.org/I1294671590|https://openalex.org/I56067802|https://openalex.org/I172446870,True|False|False|False|False|False,other-oa,0.8847008,8,https://openalex.org/I149768937,Empirical assessment of generating adversarial configurations for software product lines,https://doi.org/10.1007/s10664-020-09915-7,Agence Nationale de la Recherche|Fonds De La Recherche Scientifique - FNRS,1.9922,False,en,True,green,Empirical Software Engineering,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S109852484,1382-3256,journal,Software Engineering Research,2021-01-01,2021,article
https://openalex.org/W3005176635,,,,Johannes Dorn|Sven Apel|Norbert Siegmund,https://openalex.org/A5087689793|https://openalex.org/A5054951840|https://openalex.org/A5004072538,https://orcid.org/0000-0002-5562-0894|https://orcid.org/0000-0003-3687-2233|https://orcid.org/0000-0001-7741-7777,DE|DE|DE,Bauhaus-Universität Weimar|Saarland University|Bauhaus-Universität Weimar,https://openalex.org/I51441396|https://openalex.org/I91712215|https://openalex.org/I51441396,True|False|False,,0.83525839,5,https://openalex.org/I51441396,Generating attributed variability models for transfer learning,https://doi.org/10.1145/3377024.3377040,Deutsche Forschungsgemeinschaft,1.1127,False,en,False,closed,,,,,,,Software Engineering Research,2020-02-05,2020,article
https://openalex.org/W3196626057,,,,Sanjeev Sondur|Krishna Kant,https://openalex.org/A5037821343|https://openalex.org/A5008563545,https://orcid.org/0000-0002-6013-6888|https://orcid.org/0000-0001-5743-9944,US|US,Temple University|Temple University,https://openalex.org/I84392919|https://openalex.org/I84392919,True|False,,0.66250235,4,https://openalex.org/I84392919,Performance Health Index for Complex Cyber Infrastructures,https://doi.org/10.1145/3538646,,0.5707,False,en,False,closed,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://openalex.org/P4310319798,Association for Computing Machinery,https://openalex.org/S4210231956,2376-3639,journal,Software System Performance and Reliability,2022-03-31,2022,article
https://openalex.org/W4382792970,"The design of machine learning systems often requires trading off different objectives, for example, prediction error and energy consumption for deep neural networks (DNNs). Typically, no single design performs well in all objectives; therefore, finding Pareto-optimal designs is of interest. The search for Pareto-optimal designs involves evaluating designs in an iterative process, and the measurements are used to evaluate an acquisition function that guides the search process. However, measuring different objectives incurs different costs. For example, the cost of measuring the prediction error of DNNs is orders of magnitude higher than that of measuring the energy consumption of a pre-trained DNN as it requires re-training the DNN. Current state-of-the-art methods do not consider this difference in objective evaluation cost, potentially incurring expensive evaluations of objective functions in the optimization process. In this paper, we develop a novel decoupled and cost-aware multi-objective optimization algorithm, which we call Flexible Multi-Objective Bayesian Optimization (FlexiBO) to address this issue. For evaluating each design, FlexiBO selects the objective with higher relative gain by weighting the improvement of the hypervolume of the Pareto region with the measurement cost of each objective. This strategy, therefore, balances the expense of collecting new information with the knowledge gained through objective evaluations, preventing FlexiBO from performing expensive measurements for little to no gain. We evaluate FlexiBO on seven state-of-the-art DNNs for image recognition, natural language processing (NLP), and speech-to-text translation. Our results indicate that, given the same total experimental budget, FlexiBO discovers designs with 4.8% to 12.4% lower hypervolume error than the best method in state-of-the-art multi-objective optimization.",,,Md Shahriar Iqbal|Jianhai Su|Lars Kotthoff|Pooyan Jamshidi,https://openalex.org/A5058338515|https://openalex.org/A5018866702|https://openalex.org/A5032997049|https://openalex.org/A5064540250,https://orcid.org/0000-0001-5116-9429||https://orcid.org/0000-0003-4635-6873|https://orcid.org/0000-0002-9342-0703,US|US|US|US,University of South Carolina|University of Wyoming|University of South Carolina|University of Wyoming|Wyoming Department of Education|University of South Carolina,https://openalex.org/I155781252|https://openalex.org/I12834331|https://openalex.org/I155781252|https://openalex.org/I12834331|https://openalex.org/I4210116506|https://openalex.org/I155781252,True|False|False|False,cc-by,0.70540011,3,https://openalex.org/I155781252,FlexiBO: A Decoupled Cost-Aware Multi-Objective Optimization Approach for Deep Neural Networks,https://doi.org/10.1613/jair.1.14139,National Science Foundation,0.5838,False,en,True,diamond,Journal of Artificial Intelligence Research,https://openalex.org/P4310315760,AI Access Foundation,https://openalex.org/S139930977,1076-9757,journal,Advanced Multi-Objective Optimization Algorithms,2023-06-30,2023,article
