Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Exploring the under-explored terrain of non-open source data for software engineering through the lens of federated learning","The availability of open source projects on platforms like GitHub has led to the wide use of the artifacts from these projects in software engineering research. These publicly available artifacts have been used to train artificial intelligence models used in various empirical studies and the development of tools. However, these advancements have missed out on the artifacts from non-open source projects due to the unavailability of the data. A major cause for the unavailability of the data from non-open source repositories is the issue concerning data privacy. In this paper, we propose using federated learning to address the issue of data privacy to enable the use of data from non-open source to train AI models used in software engineering research. We believe that this can potentially enable industries to collaborate with software engineering researchers without concerns about privacy. We present the preliminary evaluation of the use of federated learning to train a classifier to label bug-fix commits from an existing study to demonstrate its feasibility. The federated approach achieved an F1 score of 0.83 compared to a score of 0.84 using the centralized approach. We also present our vision of the potential implications of the use of federated learning in software engineering research.","Shriram Shanbhag; S. Chimalakonda","2022","ESEC/SIGSOFT FSE","10.1145/3540250.3560883","9","-","https://doi.org/10.1145/3540250.3560883","","-","-","Include"
"An alumni-based collaborative model to strengthen academia and industry partnership: The current challenges and strengths","-","R. Malhotra; M. Massoudi; Rajni Jindal","2022","Education and Information Technologies : Official Journal of the IFIP technical committee on Education","10.1007/s10639-022-11276-1","27","false","https://doi.org/10.1007/s10639-022-11276-1","General partnership; Internship; Promotion (chess); Public relations; Curriculum; Work (physics); Higher education; Product (mathematics); Business; Marketing","en","27","Include"
"An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility","-","F. Lima; A. Burrows; Lídia Lemos; Priscila Lucena; Ricardo Pessoa; R. Jose; P. Trigueiros","2021","Springer Series in Design and Innovation","10.1007/978-3-030-89735-2_23","3","true","https://doi.org/10.1007/978-3-030-89735-2_23","Multidisciplinary approach; Leverage (statistics); Knowledge management; Key (lock); Discipline; Boundary object; Process (computing); Process management; Computer science; Engineering management","en","13","Include"
"A case study of industry–academia communication in a joint software engineering research project","Empirical software engineering research relies on good communication with industrial partners. Conducting joint research both requires and contributes to bridging the communication gap between industry and academia (IA) in software engineering. This study aims to explore communication between the two parties in such a setting. To better understand what facilitates good IA communication and what project outcomes such communication promotes, we performed a case study, in the context of a long‐term IA joint project, followed by a validating survey among practitioners and researchers with experience of working in similar settings. We identified five facilitators of IA communication and nine project outcomes related to this communication. The facilitators concern the relevance of the research, practitioners' attitude and involvement in research, frequency of communication and longevity of the collaboration. The project outcomes promoted by this communication include, for researchers, changes in teaching and new scientific venues, and for practitioners, increased awareness, changes to practice, and new tools and source code. Besides, both parties gain new knowledge and develop social‐networks through IA communication. Our study presents empirically based insights that can provide advise on how to improve communication in IA research projects and thus the co‐creation of software engineering knowledge that is anchored in both practice and research.","Sergio Rico; E. Bjarnason; Emelie Engström; Martin Höst; P. Runeson","2021","J. Softw. Evol. Process.","10.1002/smr.2372","8","-","https://doi.org/10.1002/smr.2372","","-","-","Include"
"On The Gap Between Software Maintenance Theory and Practitioners’ Approaches","The way practitioners perform maintenance tasks in practice is little known by researchers. In turn, practitioners are not always up to date with the proposals provided by the research community. This work investigates the gap between software maintenance techniques proposed by the research community and the software maintenance practice. We carried out a survey with 112 practitioners from 92 companies and 12 countries. We concentrate on analyzing if and how practitioners understand and apply the following subjects: bad smells, refactoring, software metrics, and change impact analysis. This study shows that there is a large gap between research approaches and industry practice in those subjects, especially in change impact analysis and software metrics.","Mívian M. Ferreira; Mariza Bigonha; K. Ferreira","2021","2021 IEEE/ACM 8th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)","10.1109/ser-ip52554.2021.00015","5","-","https://doi.org/10.1109/ser-ip52554.2021.00015","","-","-","Include"
"Scaling agile in large organizations: Practices, challenges, and success factors","Abstract Context: Agile software development has nowadays reached wide adoption. However, moving agile to large‐scale contexts is a complex task with many challenges involved. Objective: In this paper, we review practices, challenges, and success factors for scaling agile both from literature and within a large software company, identifying the most critical factors. Method: We conduct a focused literature review to map the importance of scaling practices, challenges, and success factors. The outcome of this focused literature review is used to guide action research within a software company with a view to scaling agile processes. Results: Company culture, prior agile and lean experience, management support, and value unification were found to be key success factors during the action research process. Resistance to change, an overly aggressive roll‐out time frame, quality assurance concerns, and integration into preexisting nonagile business processes were found to be the critical challenges in the scaling process. Conclusion: The action research process allowed to cross‐fertilize ideas from literature to the company's context. Scaling agile within an organization does not need to follow a specific scheme, rather the process can be tailored to the needs while keeping the core values and principles of agile methodologies.","Martin Kalenda; Petr Hyna; B. Rossi","2018","J. Softw. Evol. Process.","10.1002/smr.1954","184","false","https://doi.org/10.1002/smr.1954","Agile software development; Process management; Agile Unified Process; Critical success factor; Context (archaeology); Process (computing); Lean software development; Knowledge management; Action research; Computer science","en","-","Include"
"Toward Improving Industrial Adoption: The Choice of Programming Languages and Development Environments","While promising software engineering approaches are proposed every day, only few are adapted by professional developers. There are many potential reasons for this, such as, problems in identifying helpful approaches, missing tools, or lacking practical relevance. With our current research, we are concerned to improve the knowledge transfer from research to practice. In this paper, we discuss the impact of development environments and programming languages on knowledge transfer – considering that many scientific approaches and tools are interesting for professional developers, but rarely adopted by them. We base our discussion mainly on our personal experiences with industry-academia collaborations. To determine whether these experiences also apply to other developers, we additionally conducted a survey with 89 participants from academia and industry. The first results of our on-going work indicate a gap between the development environments and programming languages that are supported or used by researchers and those that are applied in industry. Based on our results, we describe initial discussions that can help to improve collaborations between industry and research.","Ivonne von Nostitz-Wallwitz; J. Krüger; Thomas Leich","2018","2018 IEEE/ACM 5th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)","10.1145/3195546.3195548","5","-","https://doi.org/10.1145/3195546.3195548","","-","-","Include"
"Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review","-","V. Garousi; K. Petersen; B. Ozkan","2016","Information and Software Technology","10.1016/j.infsof.2016.07.006","220","true","https://doi.org/10.1016/j.infsof.2016.07.006","Best practice; Context (archaeology); Thematic analysis; Agile software development; Systematic review; Champion; Knowledge management; Extreme programming practices; Engineering; Relevance (law)","en","22","Include"
"Gathering empirical evidence and building a business case for software reference architectures in industry","Background: Software reference architectures are becoming widely adopted by organizations that need to support the design and maintenance of software applications of a shared domain. For organizations that plan to adopt this architecture-centric approach, it becomes fundamental to understand how software reference architectures are engineered, and to know their return on investment. Unfortunately, there is a lack of evidence-based support to help organizations with these challenges. 
Goal: The main goal of this PhD thesis is to support organizations making informed decisions about software reference architecture acquisition, design, and use based on empirical evidence. 
Methods: To accomplish this goal, we have conducted an action research approach in an industry-academia collaboration between everis (a multinational IT consulting firm based in Spain) and our Research Group of Software and Service Engineering (GESSI). 
Results: The results from our industry-academia collaboration led to uncover novel evidence on the use of software reference architectures in practice. The procedures and evidence obtained have been packaged to design guidelines that could be used in similar contexts as the one of everis. 
Conclusions: This PhD thesis supports organizations to acquire and engineer software reference architectures by providing evidence-based support. Such evidence-based support consists of the results of the empirical studies conducted in this PhD thesis, and the presented guidelines for gathering new corporate evidence.
 Context: Les arquitectures del software de referència estan sent àmpliament adoptades per les organitzacions que necessiten dissenyar i mantenir aplicacions software d’un domini compartit. Per les organitzacions que tenen previst adoptar aquest enfocament centrat en l’arquitectura, esdevé fonamental entendre com es dissenyen les arquitectures del software de referència, i conèixer el seu retorn d’inversió. Desafortunadament, hi ha una manca de recolzament basat en l’evidència per ajudar aquestes organitzacions a afrontar aquests reptes. Objectiu: L’objectiu principal d’aquesta tesi doctoral és recolzar les organitzacions a prendre decisions informades i basades en l’evidència empírica sobre l’adquisició, disseny i ús d’arquitectures del software de referència. Mètodes: Per aconseguir aquest objectiu, s’ha portat a terme un enfocament d’investigació-acció en una col·laboració empresa-universitat entre “everis” (una empresa multinacional de consultoria tecnològica amb seu a Espanya) i el nostre Grup d’investigació en Enginyeria del Software i Serveis (GESSI). Resultats: Fruït de la nostra col·laboració empresa-universitat, s’han descobert noves evidències sobre l’ús d’arquitectures del software de referència a la pràctica. Els procediments i les evidències obtingudes han estat empaquetades per dissenyar directrius que podrien ser utilitzades en contextos similars com el d’everis. Conclusions: Aquesta tesi doctoral és una contribució per les organitzacions que adopten i dissenyen arquitectures del software de referència, proporcionant recolzament basat en l’evidència empírica. Aquest recolzament es constitueix dels resultats dels estudis empírics realitzats en aquesta tesi doctoral, i les directrius que es presenten per la recol·lecció de noves evidències corporatives.","Silverio Martínez-Fernández","2016","-","10.5821/dissertation-2117-96382","3","true","https://doi.org/10.5821/dissertation-2117-96382","Knowledge management; Empirical research; Software development; Context (archaeology); Empirical evidence; Software engineering; Engineering; Software; Computer science; Process management","en","-","Include"
"Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey","-","V. Garousi; M. M. Eskandar; Kadir Herkiloglu","2016","Software quality journal","10.1007/s11219-016-9319-5","48","true","https://doi.org/10.1007/s11219-016-9319-5","Empirical research; Relevance (law); Confidentiality; Set (abstract data type); Software; Engineering; Engineering management; Knowledge management; Computer science; Software engineering","en","53","Include"
