title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Awakening: Modern Challenges and Opportunities of Software Engineering Research,"Software engineering research benefited for decades from openly available tools, accessible systems, and problems that could be studied at modest scale. Today, many of the most relevant software systems are large, proprietary, and embedded in industrial contexts that are difficult to access or replicate in academia. We review how the field reached this point, identify structural challenges facing contemporary research, and argue that incremental methodological refinement is insufficient. We discuss practical directions forward, including industrial PhDs, long-term industry-academia collaborations, larger research teams, moonshot projects, and changes to funding and evaluation practices.","[{'authorId': '1740799', 'name': 'D. Spinellis'}, {'authorId': '148430293', 'name': 'Zoe Kotti'}]",2026.0,,,https://www.semanticscholar.org/paper/5c60b41e475e274310f13b1193df548ddf786480,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2603.21403, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0.0,84.0,,['Review'],['Computer Science'],"{'ArXiv': '2603.21403', 'DOI': '10.1145/3793657.3793901', 'CorpusId': 286766806}",0.0,"D. Spinellis, Zoe Kotti",Review,"ArXiv:2603.21403, DOI:10.1145/3793657.3793901, CorpusId:286766806"
Strategising Industry 4.0 for Viksit Bharat 2047: an inclusive approach to public policy design with applications in tourism,"
 
 This study aims to examine the state and structure of India’s I4.0 (Industry 4.0) policy, as well as its actors, actions and processes through an inclusive value-first approach at the national and regional levels.
 
 
 
 The study adopted a systematic literature search and utilised a generalised situation-actor-process-learning-action-performance (SAP-LAP) inquiry method with the Influencer-Facilitator-Initiative (IFI) framework to identify facilitators for a value-first I4.0 policy for India. The state of Himachal Pradesh (HP) in India was taken as a regional context to demonstrate the potential of I4.0 technologies in tourism.
 
 
 
 The study identified 22 facilitators for value-first I4.0 policy and provides national (India) and regional (HP) level policy recommendations, highlighting implications and pathways for Viksit Bharat 4.0.
 
 
 
 More empirical research is needed to understand the I4.0 policy landscape in developing countries across various industrial sectors to meaningfully inform policy recommendations.
 
 
 
 Findings guide policymakers, managers and officials to understand the I4.0 landscape and develop policies for Viksit Bharat 4.0 at the national and regional levels.
 
 
 
 The value-first approach adopted by the study promotes inclusive development and improves policy intention without compromising on delivery.
 
 
 
 This study uses SAP-LAP inquiry with the IFI framework for a strategic overview of India’s I4.0 policy landscape. It adds to I4.0 literature in geographical (HP) and application (tourism) contexts.
","[{'authorId': '2318129985', 'name': 'Mayank Pathak'}, {'authorId': '1396784019', 'name': 'Pinosh Kumar Hajoary'}]",2026.0,Journal of Science and Technology Policy Management,{'name': 'Journal of Science and Technology Policy Management'},https://www.semanticscholar.org/paper/14c57893631187f9ff9972744d57cd22114ac777,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1108/jstpm-10-2024-0422?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1108/jstpm-10-2024-0422, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0.0,85.0,,"['JournalArticle', 'Review']",,"{'DOI': '10.1108/jstpm-10-2024-0422', 'CorpusId': 285997783}",0.0,"Mayank Pathak, Pinosh Kumar Hajoary","JournalArticle, Review","DOI:10.1108/jstpm-10-2024-0422, CorpusId:285997783"
Automated software engineering knowledge transfer: A case study on small and medium-sized software enterprises in Thailand,,"[{'authorId': '3460787', 'name': 'Chaiyong Ragkhitwetsagul'}, {'authorId': '1824150', 'name': 'J. Krinke'}, {'authorId': '3132647', 'name': 'Morakot Choetkiertikul'}, {'authorId': '2842075', 'name': 'T. Sunetnanta'}, {'authorId': '2275465565', 'name': 'Federica Sarro'}]",2026.0,Journal of Systems and Software,"{'volume': '236', 'pages': '112817', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/c60eace65181d8a9eb84d5c3a95092f8e502e224,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.jss.2026.112817?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.jss.2026.112817, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0.0,56.0,,['JournalArticle'],['Computer Science'],"{'DBLP': 'journals/jss/RagkhitwetsagulKCSS26', 'DOI': '10.1016/j.jss.2026.112817', 'CorpusId': 285523190}",0.0,"Chaiyong Ragkhitwetsagul, J. Krinke, Morakot Choetkiertikul, T. Sunetnanta, Federica Sarro",JournalArticle,"DBLP:journals/jss/RagkhitwetsagulKCSS26, DOI:10.1016/j.jss.2026.112817, CorpusId:285523190"
Towards a Closer Collaboration Between Practice and Research in Agile Software Development Workshop: A Summary and Research Agenda,"Agile software development principles and values have been widely adopted across various industries, influencing products and services globally. Despite its increasing popularity, a significant gap remains between research and practical implementation. This paper presents the findings of the first international workshop designed to foster collaboration between research and practice in agile software development. We discuss the main themes and factors identified by the workshop participants that contribute to this gap, strategies to bridge it, and the challenges that require further research attention.","[{'authorId': '2299943833', 'name': 'Michael Neumann'}, {'authorId': '47916555', 'name': 'Eva-Maria Schön'}, {'authorId': '2834592', 'name': 'Mali Senapathi'}, {'authorId': '2303542477', 'name': 'Maria Rauschenberger'}, {'authorId': '2366588721', 'name': 'Tiago Silva da Silva'}]",2025.0,arXiv.org,"{'volume': 'abs/2507.10785', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/db249be84f367a5ec95070ce85f3ecc377ecee98,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2507.10785, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2.0,25.0,,['JournalArticle'],['Computer Science'],"{'ArXiv': '2507.10785', 'DBLP': 'journals/corr/abs-2507-10785', 'DOI': '10.48550/arXiv.2507.10785', 'CorpusId': 280232655}",1.0,"Michael Neumann, Eva-Maria Schön, Mali Senapathi, Maria Rauschenberger, Tiago Silva da Silva",JournalArticle,"ArXiv:2507.10785, DBLP:journals/corr/abs-2507-10785, DOI:10.48550/arXiv.2507.10785, CorpusId:280232655"
"Curious, Critical Thinker, Empathetic, and Ethically Responsible: Essential Soft Skills for Data Scientists in Software Engineering","Background. As artificial intelligence and AI-powered systems continue to grow, the role of data scientists has become essential in software development environments. Data scientists face challenges related to managing large volumes of data and addressing the societal impacts of AI algorithms, which require a broad range of soft skills. Goal. This study aims to identify the key soft skills that data scientists need when working on AI-powered projects, with a particular focus on addressing biases that affect society. Method. We conducted a thematic analysis of 87 job postings on LinkedIn and 11 interviews with industry practitioners. The job postings came from companies in 12 countries and covered various experience levels. The interviews featured professionals from diverse backgrounds, including different genders, ethnicities, and sexual orientations, who worked with clients from South America, North America, and Europe. Results. While data scientists share many skills with other software practitioners—such as those related to coordination, engineering, and management—there is a growing emphasis on innovation and social responsibility. These include soft skills like curiosity, critical thinking, empathy, and ethical awareness, which are essential for addressing the ethical and societal implications of AI. Conclusion. Our findings indicate that data scientists working on AI-powered projects require not only technical expertise but also a solid foundation in soft skills that enable them to build AI systems responsibly, with fairness and inclusivity. These insights have important implications for recruitment and training within software companies and for ensuring the long-term success of AI-powered systems and their broader societal impact.","[{'authorId': '2340406453', 'name': 'Matheus de Morais Leça'}, {'authorId': '2256339756', 'name': 'Ronnie de Souza Santos'}]",2025.0,2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),"{'pages': '151-162', 'name': '2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS)'}",https://www.semanticscholar.org/paper/74ce97dd65412f62a97fdb23f4d4cdf269f67f54,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2501.02088, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",4.0,73.0,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'journals/corr/abs-2501-02088', 'ArXiv': '2501.02088', 'DOI': '10.1109/ICSE-SEIS66351.2025.00021', 'CorpusId': 275336799}",1.0,"Matheus de Morais Leça, Ronnie de Souza Santos","JournalArticle, Conference","DBLP:journals/corr/abs-2501-02088, ArXiv:2501.02088, DOI:10.1109/ICSE-SEIS66351.2025.00021, CorpusId:275336799"
Bridging the Gap Between Industry Needs and Student Skills for Quality Education Through Sdgs: An Industry-Academia Collaboration in Curriculum Development,"Objective: This study aims to explore the intricate relationship between student skills and industry demands, proposing a robust Industry-Academia Collaboration (IAC) framework to enhance curriculum alignment with dynamic industry requirements, thereby contributing to quality education and sustainable development goals (SDGs). 
  
Theoretical Framework: Grounded in Action Research, this study adopts a post-positivist approach to examine and address real-world educational challenges. By embedding critical thinking and participatory research, the framework aims to foster a symbiotic relationship between academia and industry. 
  
Method: Utilizing insights from two action research studies conducted in collaboration with universities, this method emphasizes iterative development and participatory research. The approach is centered on continuous engagement with industry partners, allowing for ongoing refinements and adaptations in educational strategies and interventions. 
  
Results and Discussion: Findings reveal that sustained Industry-Academia Collaboration facilitates multiple iterations of curriculum refinement, leading to enhanced alignment with industry needs and improved educational outcomes. The collaborative process not only bridges the skill gap but also fosters a deeper understanding of the practical application of academic knowledge in real-world settings. 
  
Research Implications: The study highlights the critical role of iterative collaboration in curriculum development, suggesting that such approaches are essential for achieving SDG 4, which focuses on quality education. 
  
Originality/Value: This research contributes to the literature by demonstrating how action research can effectively enhance Industry-Academia Collaboration, thereby supporting the integration of SDGs into curriculum development.","[{'authorId': '2271377459', 'name': 'A. R.'}, {'authorId': '2332641508', 'name': 'Suganya V.'}]",2024.0,Journal of Lifestyle and SDGs Review,{'name': 'Journal of Lifestyle and SDGs Review'},https://www.semanticscholar.org/paper/4f9c9b30d8d9d2d36ff0bf6a12b4147818060cf0,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.47172/2965-730x.sdgsreview.v4.n04.pe03616?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.47172/2965-730x.sdgsreview.v4.n04.pe03616, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",7.0,78.0,,['JournalArticle'],,"{'DOI': '10.47172/2965-730x.sdgsreview.v4.n04.pe03616', 'CorpusId': 274332227}",1.0,"A. R., Suganya V.",JournalArticle,"DOI:10.47172/2965-730x.sdgsreview.v4.n04.pe03616, CorpusId:274332227"
Industry Academia and Government Collaboration to Reduce Gaps in Software Engineering: Applications for Students and Professionals in Career Transition,"The development of skills in Software Engineering disciplines often faces challenges when applied to real projects in the software industry. An effective practice to overcome these difficulties is collaboration between industry and academia. This collaboration aims to strengthen the exchange of knowledge between the two contexts, promoting the advancement of industry through Research and Development (R&D), and in academia, applying knowledge in real contexts and even funding research. This study explores application development and the perceptions of undergraduate, master’s and doctoral students in Computer Engineering, as well as professionals in career transition (with Now and Low Code profiles), about projects with real clients and collaboration policies between industry and academia.","[{'authorId': '2333724892', 'name': 'D. Marques'}, {'authorId': '2142606079', 'name': 'Richard Rocha'}, {'authorId': '2147309220', 'name': 'B. Santos'}, {'authorId': '2336810724', 'name': 'Felipe Pacheco'}, {'authorId': '2176513746', 'name': 'Cleyton Rodrigues'}, {'authorId': '28078445', 'name': 'W. Santos'}]",2024.0,Brazilian Symposium on Software Quality,{'name': 'Proceedings of the XXIII Brazilian Symposium on Software Quality'},https://www.semanticscholar.org/paper/c65857ad54b9441d36bc29f5b7603f759cd56bce,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3701625.3701690?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3701625.3701690, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1.0,22.0,,"['Book', 'JournalArticle']",['Computer Science'],"{'DBLP': 'conf/sbqs/MarquesRSPRS24', 'DOI': '10.1145/3701625.3701690', 'CorpusId': 274975678}",0.0,"D. Marques, Richard Rocha, B. Santos, Felipe Pacheco, Cleyton Rodrigues, W. Santos","Book, JournalArticle","DBLP:conf/sbqs/MarquesRSPRS24, DOI:10.1145/3701625.3701690, CorpusId:274975678"
Software Industry Perception of Academic Collaboration,"Software Engineering is shaped and used by both the industry and academia, whose goals and contributions are different. Since there are some mismatches in perceptions of software practitioners about academics and academic activities, the level of Industry-Academia Collaboration (IAC) is low. To investigate different opinions to increase such IACs, we conducted an online survey. The survey was responded by 628 software practitioners, whose undergraduate degree was completed in Türkiye, working in 13 countries. In this study, we explored how the perceptions about academia are varying with different cross-factors. The results showed that the perceptions are directly related to the profiles of the practitioners and previous experience on IACs. We believe that this study sheds light on improving mutual understanding of each side to bridge the gap between industry and academia.","[{'authorId': '2334761545', 'name': 'Deniz Akdur'}]",2024.0,2024 9th International Conference on Computer Science and Engineering (UBMK),"{'pages': '1-6', 'name': '2024 9th International Conference on Computer Science and Engineering (UBMK)'}",https://www.semanticscholar.org/paper/691d18346d28815364705a5b71831535703845be,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/UBMK63289.2024.10773510?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/UBMK63289.2024.10773510, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",1.0,15.0,,"['Conference', 'Review']",,"{'DOI': '10.1109/UBMK63289.2024.10773510', 'CorpusId': 274640825}",0.0,Deniz Akdur,"Conference, Review","DOI:10.1109/UBMK63289.2024.10773510, CorpusId:274640825"
Industry Adoption of UVL: What We Will Need,"Since 2018, in the Software Product Line community, the MODEVAR initiative is working on coming up with a simple, standard variability modeling language and has proposed the Universal Variability Language (UVL). UVL has already been integrated in multiple tools such as FeatureIDE and FLAMA and it has also already been adopted by other academics outside the MODEVAR initiative. This short position paper outlines the challenges for industry adoption of UVL the community needs to work on.","[{'authorId': '2277533356', 'name': 'Rick Rabiser'}]",2024.0,Software Product Lines Conference,{'name': 'Proceedings of the 28th ACM International Systems and Software Product Line Conference'},https://www.semanticscholar.org/paper/820e2ed05bfea51762f879781081b2452a0fd41c,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3646548.3676597?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3646548.3676597, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",3.0,39.0,,"['Book', 'JournalArticle']",['Computer Science'],"{'DBLP': 'conf/splc/Rabiser24', 'DOI': '10.1145/3646548.3676597', 'CorpusId': 272166027}",0.0,Rick Rabiser,"Book, JournalArticle","DBLP:conf/splc/Rabiser24, DOI:10.1145/3646548.3676597, CorpusId:272166027"
"Agile Minds, Innovative Solutions, and Industry-Academia Collaboration: Lean R&D Meets Problem-Based Learning in Software Engineering Education","[Context] Software Engineering (SE) education constantly seeks to bridge the gap between academic knowledge and industry demands, with active learning methods like Problem-Based Learning (PBL) gaining prominence. Despite these efforts, recent graduates struggle to align skills with industry needs. Recognizing the relevance of Industry–Academia Collaboration (IAC), Lean R&D has emerged as a successful agile-based research and development approach, emphasizing business and software development synergy. [Goal] This paper aims to extend Lean R&D with PBL principles, evaluating its application in an educational program designed by ExACTa PUCRio for Americanas S.A., a large Brazilian retail company. [Method] The educational program engaged 40 part-time students receiving lectures and mentoring while working on real problems, coordinators and mentors, and company stakeholders in industry projects. Empirical evaluation, through a case study approach, utilized structured questionnaires based on the Technology Acceptance Model (TAM). [Results] Stakeholders were satisfied with Lean R&D PBL for problem-solving. Students reported increased knowledge proficiency and perceived working on real problems as contributing the most to their learning. [Conclusion] This research contributes to academia by sharing Lean R&D PBL as an educational IAC approach. For industry, we discuss the implementation of this proposal in an IAC program that promotes workforce skill development and innovative solutions.","[{'authorId': '2312396401', 'name': 'Lucas Romao'}, {'authorId': '2224433693', 'name': 'Marcos Kalinowski'}, {'authorId': '2312396527', 'name': 'Clarissa Barbosa'}, {'authorId': '2312866688', 'name': ""Allysson Allex Ara'ujo""}, {'authorId': '2068410732', 'name': 'Simone D. J. Barbosa'}, {'authorId': '41155492', 'name': 'H. Lopes'}]",2024.0,Brazilian Symposium on Software Engineering,{'pages': '346-356'},https://www.semanticscholar.org/paper/22d68cf335a4b82e28274dec56ebf0fd6573894e,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2407.15982, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",6.0,32.0,,['JournalArticle'],['Computer Science'],"{'ArXiv': '2407.15982', 'DBLP': 'journals/corr/abs-2407-15982', 'DOI': '10.48550/arXiv.2407.15982', 'CorpusId': 271334068}",1.0,"Lucas Romao, Marcos Kalinowski, Clarissa Barbosa, Allysson Allex Ara'ujo, Simone D. J. Barbosa, H. Lopes",JournalArticle,"ArXiv:2407.15982, DBLP:journals/corr/abs-2407-15982, DOI:10.48550/arXiv.2407.15982, CorpusId:271334068"
