DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Agile and asset management: Efficiency in decision-making for operational life-cycle projects in transmission system operators,"L. P. Brasen, Torben Tambo",Energy Research &amp; Social Science,2025,(missing abstract),292223918,0,63,(missing PubMedId)
(missing DOI),Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,"Daniela dos Santos Alves, Deivid José Smek, Érica Ferreira de Souza, K. Felizardo, N. L. Vijaykumar",Proceedings of the XXIII Brazilian Symposium on Software Quality,2024,"Context: In the rapidly evolving software development landscape, organizations face the constant challenge to work with the generated knowledge. Knowledge Management (KM) can be applied to efficiently manage the knowledge in software development organizations and ensure the product quality. However, although there are several KM approaches, carrying out a KM diagnosis in the organizations can identify which knowledge activities present the best cost-benefit for the organization. There are several KM approaches suggested in the literature. But it is quite relevant to carry out a KM diagnosis in the organizations to clearly identify which knowledge activities can present the best cost-benefit aspect within the organizations. A Systematic Literature Review (SLR) was published in 2018, presenting evidence on KM diagnosis in software development organizations. From an assessment of this SLR and the current state of this research topic, we noticed that the 2018’ SLR needed maintenance with an update. Objective: This study aims to update and extend the results produced in this previous SLR. Method: We conducted the 2018 SLR update, considering a new database, backward and forward snowballing, and more analyses of the extracted data. Results: From the SLR update, 16 new studies on KM diagnoses in Software Engineering context were identified. Conclusion: In Software Engineering, consolidated models continue lacking for applying KM diagnostics. Moreover, computational approaches to provide automated support in the diagnosis application and analysis are not quite well explored.",282731425,0,45,(missing PubMedId)
(missing DOI),Desenvolvimento Ágil e Documentação de Requisitos Rumo a Práticas Mais Efetivas: Uma Revisão Sistemática,"L. Souza, T. Brito, M. Lucena, Apuena Gomes",Workshop on Requirements Engineering,2023,"A metodologia de desenvolvimento ágil - que tem sido adotada por muitas equipes - está conduzindo a uma transformação na forma de se trabalhar com os requisitos. Apesar do crescente interesse de diversos times na adoção das metodologias ágeis, pouco se discute na literatura como os documentos de requisitos devem ser trabalhados nesta metodologia, deixando essa decisão a cargo dos profissionais. Este artigo apresenta uma revisão sistemática com o objetivo de investigar as formas mais utilizadas para documentar requisitos em ambientes ágeis de desenvolvimento. Esta revisão buscou responder questões de pesquisas como: (i) Quais formas de documentar os requisitos estão sendo utilizadas pelas equipes que trabalham com metodologias ágeis; (ii) Quais os benefícios e limitações das principais formas de documentação de requisitos. A partir deste artigo será possível ter uma visão do estado atual do conhecimento para documentar os requisitos na metodologia ágil, como também identificar as principais formas de avaliar a eficácia desses documentos de requisitos.",274461906,0,37,(missing PubMedId)
(missing DOI),Management Research and Practice,Liliana Andrei,(missing journal),2021,(missing abstract),270070970,0,32,(missing PubMedId)
(missing DOI),ONTOLOGY-BASED TOOLS FOR ARCHITECTURE ANALYSIS OF CYBER-PHYSICAL SYSTEMS,Liliana Dobrica,(missing journal),2022,"This article focuses on the challenges regarding building ontologies and ontology-based tools with the purpose of using them in the architectural analysis of cyber-physical systems (CPSs). This research explores the main knowledge of CPSs architecting considering that the recent maturation of the existent standards about description, processes and evaluation of software intensive systems architecture can support better a systematic understanding and knowledge sharing to develop ontologies and smart tools based on ontologies. A tool that uses ontology knowledge aids the analyst to conduct a complex analysis method providing him/her more relevant and consistent guidance and more complete results. The ontology that formalize the consensus knowledge codified in standards and of the architecture analysis methods could be integrated in an application tool that becomes more trustable and efficient.",270038824,0,21,(missing PubMedId)
(missing DOI),Digital product development team external knowledge processes and ambidexterity: a multi-mediation analysis of the absorptive capacity framework,"Trihadi Pudiawan Erhan, Arnold Japutra, Sebastiaan van Doorn",Journal of Knowledge Management,2024,"Purpose
The purpose of this study is to examine the mechanisms of absorptive capacity (ACAP) in the specific context of digital product development teams. More precisely, it explores the process of internalizing and utilizing external knowledge from sources outside the team to promote the development of innovative ambidexterity.

Design/methodology/approach
The study employs the ACAP framework and directs specific attention to the concept of knowledge assimilation, encompassing comprehension, documentation and dissemination. Seventy-five employees of one of Indonesia’s largest commercial banks were surveyed about two initiatives they participated in. To this end, 12 research hypotheses are formulated, tested and analyzed using structural equation modeling.

Findings
Knowledge comprehension, documentation and dissemination are found to mediate between knowledge acquisition and knowledge exploitation. At the same time, the relationship between knowledge acquisition and knowledge transformation is mediated by knowledge comprehension and dissemination, but not documentation. The authors also found that knowledge transformation positively mediates between knowledge comprehension and dissemination on the one hand and ambidexterity on the other hand. Importantly, knowledge exploitation negatively mediates between knowledge comprehension and documentation on the one hand and ambidexterity on the other hand.

Originality/value
This study contributes to the existing body of knowledge by offering nuanced insights into the interplay of knowledge assimilation processes within ACAP, particularly in the context of digital product development. The identification of mediating factors and their impacts on ambidexterity provides valuable implications for both theory and practice in this domain.
",274105862,3,107,(missing PubMedId)
(missing DOI),Understanding project success involving analytic-based decision support in the digital era: a focus on IC and agile project management,"Stephan Kudyba, Agnel D Cruz",Journal of Intellectual Capital,2023,"PurposeDigital transformations of business processes are on the rise and the result is a need for a better understanding of how the elements of intellectual capital (IC) play a role in achieving successful digital project outcomes. New structural capital in the form of digital technologies must be identified and understood. Evolving skills of human capital in assimilating digital elements must also be considered, while collaboration within the development process involving relational capital provides a critical integration among these IC elements. This study illustrates the importance of identifying and managing the integration of IC components within an agile project management framework that are essential to achieving success for a digital initiative. More specifically, this study describes the process by which a multinational technology-based products company successfully developed a dynamic decision support platform utilizing an agile approach to guide a project management team to better manage the company's operations.Design/methodology/approachThis study focuses on a case analysis approach of a multinational commercial and consumer products company. The paper presents existing research on the evolving state of project management for digital initiatives and focuses on agile methods. This study then delves into the case analysis that illustrates how IC played an integral role in the company successfully developing effective decision support involving an interactive dashboard using agile Project Management (PM), which enabled the project management team to better manage resources.FindingsAn examination at the case level illustrates that effective management and integration of IC has positive effects on project outcomes. While a balanced approach is evident as a requirement, the unique characteristics of the agile project management approach entails greater emphasis on select elements to adapt to a more dynamic development process.Originality/valueThis work depicts the complexities in providing analytic-based decision support in an agile/flexible project management scenario. This work adds to existing research by illustrating elements within IC categories and the elements' interdependencies that play an essential role in achieving success in this more flexible project environment.",265793151,6,32,(missing PubMedId)
(missing DOI),Development of an Ontology-based Approach for Knowledge Management in Software Testing,"É. Souza, R. Falbo, N. Vijaykumar, K. Felizardo, G. V. Meinerz, Marcos S. Specimille, Alexandre G. N. Coelho",Journal of Software Engineering Research and Development,2021,"Software development organizations are seeking to add quality to their products. Testing processes are strategic elements to manage projects and product quality. However, advances in technology and the emergence of increasingly critical applications make testing a complex task and large volumes of information are generated. In fact, software testing is a knowledge intensive process. Because of this, these organizations have shown a growing interest in Knowledge Management (KM) programs, which in turn support the improvement of testing procedures. KM emerges as a means to manage testing knowledge, and, consequently, to improve software quality. However, there are only a few KM solutions supporting software testing. This paper reports experiences from the development of an approach, called Ontology-based Testing Knowledge Management (OntoT-KM), that aims to assist in launching KM initiatives in the software testing domain with the support of Knowledge Management Systems (KMSs).  OntoT-KM provides a process guiding how to start applying KM in software testing. OntoT-KM is based on the findings of a systematic mapping on KM in software testing and the results of a survey with testing practitioners. Moreover, OntoT-KM considers the conceptualization established by a Reference Ontology on Software Testing (ROoST). As a proof of concept, OntoT-KM was applied to develop a KMS called Testing KM Portal (TKMP), which was evaluated in terms of usefulness, usability, and functional correctness. Results show that the developed KMS from OntoT-KM is a potential system for managing knowledge in software testing, so, the approach can guide KM initiatives in software testing.",262449977,2,59,(missing PubMedId)
(missing DOI),Human Aspects in Software Development: A Systematic Mapping Study,"Luz Marcela Restrepo Tamayo, Gloria Piedad Gasca-Hurtado",Springer eBooks,2021,(missing abstract),253355481,2,71,(missing PubMedId)
(missing DOI),Quality culture boosts agile transformation—Action research in a business‐to‐business software business,"M. Saarikallio, Pasi Tyrväinen",J. Softw. Evol. Process.,2022,"Agile methodologies are sometimes adopted, with the assumption that benefits can be attained by only using a set of best practices, which can sometimes work to a degree. In this paper, a case is discussed where a software‐producing organization of seven teams achieved significant improvements. The goal of the research was to answer two questions: how an already agile organization could improve its performance further and what is the impact of promoting quality aspects? The questions were answered by implementing interventions based on prior literature and data emerging from semi‐structured interviews. The context was an established business with a complex revenue stream structure, meaning the mix of various project/service/product based work rendered the adoption of agile methods a challenge. Action research comprising three rounds of interventions was conducted to improve the organization and its quality culture while enforcing code review practices. Interventions resulted in a significant improvement in quality, as measured by reported defects. Therefore, it is suggested that agile methods are not sufficient on their own to take software business forward unless a quality‐focused culture is simultaneously achieved through a mindset change and organizational structures to enforce quality practices. The paper contributes to research on the managerial practices of software business and agile transformation by providing empirical support to introducing formal quality improvement to the agile mix as a method for practitioners to improve organizations with complex business models and multiple teams.",241674401,14,62,(missing PubMedId)
