id,abstract,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W4313451480,,Md Meraj Ahmed|Navneet Kaur|Shikha Uniyal Gairola,https://openalex.org/A5049545321|https://openalex.org/A5046290333|https://openalex.org/A5070485485,|https://orcid.org/0000-0001-9086-4352|https://orcid.org/0000-0001-5271-9349,IN|IN|IN,Chandigarh University|Chandigarh University|Uttaranchal University,https://openalex.org/I101407740|https://openalex.org/I101407740|https://openalex.org/I3132702812,True|False|False,,2,https://openalex.org/I101407740,Hospital Management System Based on IoT,https://doi.org/10.1109/iccr56254.2022.9995904,0.24947168,,False,en,False,closed,2022 International Conference on Cyber Resilience (ICCR),https://openalex.org/S4363608155,,conference,IoT and Edge/Fog Computing,2022-10-06,2022,article
https://openalex.org/W4313451625,,Kamal Kishore|Shanu Khare|Vaibhav Uniyal|Sahil Verma,https://openalex.org/A5045178955|https://openalex.org/A5065756502|https://openalex.org/A5005892107|https://openalex.org/A5000043933,https://orcid.org/0000-0002-4650-8745|||https://orcid.org/0000-0003-3136-4029,IN|IN|IN|IN,Chandigarh University|Chandigarh University|Uttaranchal University|Shree Guru Gobind Singh Tricentenary University,https://openalex.org/I101407740|https://openalex.org/I101407740|https://openalex.org/I3132702812|https://openalex.org/I3130021832,True|False|False|False,,20,https://openalex.org/I101407740,Performance and stability Comparison of React and Flutter: Cross-platform Application Development,https://doi.org/10.1109/iccr56254.2022.9996039,3.30891123,,False,en,False,closed,2022 International Conference on Cyber Resilience (ICCR),https://openalex.org/S4363608155,,conference,Mobile and Web Applications,2022-10-06,2022,article
https://openalex.org/W3216742514,"Purpose The aim of this study is to investigate the serially mediating effect of knowledge management (KM) practices (namely, knowledge creation, storage and sharing) on the organizational learning (OL) and organizational performance (OP) relationships during a crisis. Design/methodology/approach Based on theories-of-action, knowledge-based and resource-based theories, this study proposed a sequential mediation model where OL underlying mechanisms through which KM practices have facilitated OP during the crisis. The sample dataset contains 440 responses collected from the managers of the software development companies in Pakistan. The authors used Hayes Process macro with SPSS to test the study hypotheses. Findings The results of the study reveal that knowledge creation, storage and sharing serially mediate the relationships between OL and OP. These findings strengthen the argument suggesting that OL plays the key role in KM that helps software companies to mend their performance in times of crisis. Originality/value This study contributes to the KM literature in two ways: (1) grounded on the study's proposed framework, organizations can improve and manage their businesses in times of crisis and (2) learn how to generate new knowledge in response to business crises.",Usman Ahmad Qadri|Mazuri Binti Abd Ghani|Shumaila Bibi|Abdul Haseeb Tahir|M. Farooq|Abdul Rauf Kashif,https://openalex.org/A5087284681|https://openalex.org/A5025488511|https://openalex.org/A5015785472|https://openalex.org/A5075745814|https://openalex.org/A5004301338|https://openalex.org/A5067121650,https://orcid.org/0000-0002-9501-8638|||https://orcid.org/0000-0003-2055-6527|https://orcid.org/0000-0002-9243-744X|,MY|MY|PK|PK|PK|PK,"Sultan Zainal Abidin University|Sultan Zainal Abidin University|International Islamic University, Islamabad|Institute of Southern Punjab|Muhammad Nawaz Shareef University of Agriculture|Institute of Southern Punjab|Muhammad Nawaz Shareef University of Agriculture|Muhammad Nawaz Shareef University of Agriculture|Institute of Southern Punjab",https://openalex.org/I51569856|https://openalex.org/I51569856|https://openalex.org/I121243025|https://openalex.org/I4391012582|https://openalex.org/I4210096473|https://openalex.org/I4391012582|https://openalex.org/I4210096473|https://openalex.org/I4210096473|https://openalex.org/I4391012582,True|False|False|False|False|False,cc-by,18,https://openalex.org/I51569856,"The learning effect on organizational performance during a crisis: a serial mediation analysis with knowledge creation, storage and sharing",https://doi.org/10.1108/ejmbe-03-2021-0107,3.4030583,,False,en,True,diamond,European Journal of Management and Business Economics,https://openalex.org/S4210218316,2444-8451,journal,Knowledge Management and Sharing,2021-11-23,2021,article
https://openalex.org/W4205469927,"The research community has well recognized the importance of requirement elicitation. Recent research has shown the continuous decreasing success rate of IS projects in the last five years due to the complexity of the requirement conflict refinement process. Requirement conflict is at the heart of requirement elicitation. It is also considered the prime reason for deciding the success or failure of the intended Information System (IS) project. This paper introduces the requirements conflict detection automation model based on the Mean shift clustering unsupervised machine learning model. It utilizes the advantages of Artificial Intelligence in detecting and classifying the requirement conflicts occurring in the requirement elicitation phase. An experiment of the proposed model was conducted, composed of 207 observations and 11 parameters. The results show that the correct detection accuracy for the (Conflicted Requirements, Partial Conflicted Requirements & Conflict Free Requirements). The proposed model findings provide a promising and effective detection process regarding requirements classification. The model validation process provides a performance comparison between the model output vs. the output produced by the requirement conflict verification phase, detailing the Standard Error (SE) measure of accuracy values and the detected clusters. The implications of this study could be used to promote the automatization of the requirement elicitation process. Thus, increasing the potentiality of enhancing the produced systems designs.",Hatim Elhassan|Mohammed Abaker|Abdelzahir Abdelmaboud|Mohammed Burhanur Rehman,https://openalex.org/A5108284843|https://openalex.org/A5042796984|https://openalex.org/A5089757453|https://openalex.org/A5091197639,|https://orcid.org/0000-0001-8546-9470||,SA|SA|SA|SA,King Khalid University|King Khalid University|King Khalid University|King Khalid University,https://openalex.org/I82952536|https://openalex.org/I82952536|https://openalex.org/I82952536|https://openalex.org/I82952536,True|False|False|False,cc-by,7,https://openalex.org/I82952536,Requirements Engineering: Conflict Detection Automation Using Machine Learning,https://doi.org/10.32604/iasc.2022.023750,2.65993777,,False,en,True,hybrid,Intelligent Automation & Soft Computing,https://openalex.org/S40639465,1079-8587,journal,Software Engineering Research,2022-01-01,2022,article
https://openalex.org/W4313459242,,Simranjeet Kaur|Anup Lal Yadav|Abhishek Joshi,https://openalex.org/A5030582511|https://openalex.org/A5017707468|https://openalex.org/A5085427566,https://orcid.org/0000-0003-0716-887X|https://orcid.org/0000-0001-9337-5546|https://orcid.org/0000-0001-8328-0738,IN|IN|IN,Chandigarh University|Chandigarh University|Uttaranchal University,https://openalex.org/I101407740|https://openalex.org/I101407740|https://openalex.org/I3132702812,True|False|False,,6,https://openalex.org/I101407740,Retracted: Real Time Object Detection,https://doi.org/10.1109/iccr56254.2022.9995738,0.27617702,,True,en,False,closed,2022 International Conference on Cyber Resilience (ICCR),https://openalex.org/S4363608155,,conference,Advanced Neural Network Applications,2022-10-06,2022,article
https://openalex.org/W4226090522,"Recently, most software projects became naturally Distributed Agile Development (DAD) projects. The main benefits of DAD projects are cost-saving and being close to markets due to their distributed nature, such as in large-scale Scrum (LeSS). Developing LeSS projects leads to the emergence of challenges in risk management, especially the team collaboration challenges, where there is no standardized process for teams to communicate collaboratively. Team collaboration and the knowledge sharing is a vital resource for a large Scrum team's success. Hence, finding a dynamic technique that facilitates team collaboration in the LeSS environment is necessary. This paper proposes a risk management framework for LeSS using outer metadata requests. The proposed framework manages the outer requests amongst the distributed team. Therefore, it avoids missing team collaboration, risks, and threats to project completion. It also contributes to exchanging team skills and experience. The proposed framework is evaluated by applying it to two different case studies for large-scale Scrum projects. The evaluation results are given. The evaluation proved the effectiveness of the proposed framework.",Rehab Adel|Hany Harb|Ayman Elshenawy,https://openalex.org/A5062265266|https://openalex.org/A5076731436|https://openalex.org/A5077836550,|https://orcid.org/0009-0008-2593-9440|https://orcid.org/0000-0002-1309-6449,EG|EG|EG,Al-Azhar University|Al-Azhar University|Egyptian Russian University,https://openalex.org/I184834183|https://openalex.org/I184834183|https://openalex.org/I67337280,True|False|False,cc-by,3,https://openalex.org/I184834183,A Risk Management Framework for Large Scale Scrum using Metadata Outer Request Management Methodology,https://doi.org/10.14569/ijacsa.2022.0130315,1.13997333,,False,en,True,diamond,International Journal of Advanced Computer Science and Applications,https://openalex.org/S23629721,2156-5570,journal,Software Engineering Techniques and Practices,2022-01-01,2022,article
https://openalex.org/W4282917269,,Stephanie Tietz|Katja Werner,https://openalex.org/A5022096468|https://openalex.org/A5025600835,|,DE|DE,Chemnitz University of Technology|Chemnitz University of Technology,https://openalex.org/I2610724|https://openalex.org/I2610724,True|False,,2,https://openalex.org/I2610724,Influencing factors on knowledge sharing in virtual teams,https://doi.org/10.3233/wor-211241,0.72795288,https://pubmed.ncbi.nlm.nih.gov/35723152,False,en,False,closed,Work,https://openalex.org/S130455057,1051-9815,journal,Knowledge Management and Sharing,2022-06-14,2022,article
https://openalex.org/W4313459185,,Ayushi Ayushi|Damandeep Kaur|Satbir S. Sehgal,https://openalex.org/A5069019817|https://openalex.org/A5101620229|https://openalex.org/A5004633758,|https://orcid.org/0009-0000-1685-3620|https://orcid.org/0000-0001-6138-7251,IN|IN|IN,Chandigarh University|Chandigarh University|Uttaranchal University,https://openalex.org/I101407740|https://openalex.org/I101407740|https://openalex.org/I3132702812,True|False|False,,2,https://openalex.org/I101407740,Agile Lifestyle of Development,https://doi.org/10.1109/iccr56254.2022.9996014,0.33089112,,False,en,False,closed,2022 International Conference on Cyber Resilience (ICCR),https://openalex.org/S4363608155,,conference,Software Engineering Techniques and Practices,2022-10-06,2022,article
https://openalex.org/W4405672011,,Daniela de Castro Pereira Alves|Deivid José Smek|Érica Ferreira de Souza|Katia Romero Felizardo|Nandamudi L. Vijaykumar,https://openalex.org/A5023050521|https://openalex.org/A5115578628|https://openalex.org/A5013949373|https://openalex.org/A5043877845|https://openalex.org/A5042368174,|https://orcid.org/0000-0003-1865-8620|https://orcid.org/0000-0001-7262-7863|https://orcid.org/0000-0001-9080-4165|https://orcid.org/0000-0002-9025-0841,BR|BR|BR|BR|BR,Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|Universidade Tecnológica Federal do Paraná|National Institute for Space Research,https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I1283613182|https://openalex.org/I80849659,True|False|False|False|False,,1,https://openalex.org/I1283613182,Updating a Systematic Literature Review on Knowledge Management Diagnostics in Software Development Organizations,https://doi.org/10.1145/3701625.3701652,1.52765026,,False,en,False,closed,,,,,Software Engineering Techniques and Practices,2024-11-05,2024,article
https://openalex.org/W3115342344,"In this research paper of secure software systems, authors have discussed what the proper development process is when it comes to creating a secure software, which will be suited for developers and relevent stakeholders alike. Secure Software Development Process for Developers is of crucial importance for software engineers as more and more software-based devices are becoming commonly available, and cloud services are evolving which require for the software to be constantly connected to the internet. With this in mind, Secure Software Development needs to be transformed to something most developers can rely upon to make applied software safe and have the capability to mitigate against potential attacks by hackers. Furthermore, in this paper, existing Secure Software Development Process ideas and implementations are reviewed and investigated using the research paper pool available online. Thereafter, an approach is proposed to enhance the security aspect in software development process to resolve security issues. Lastly, the paper concludes with final remarks on practical implementation of security features in software development phases for production of secure and reliable software programs and systems.",Muhammad Danish Roshaidie|William Pang Han Liang|Calvin Goh Kai Jun|Kok Hong Yew|Fatimatuzzahra Fatimatuzzahra,https://openalex.org/A5002384134|https://openalex.org/A5029960784|https://openalex.org/A5072224572|https://openalex.org/A5084374093|https://openalex.org/A5039897457,||||,||||,,,True|False|False|False|False,,1,,Importance of Secure Software Development Processes and Tools for Developers,https://doi.org/10.48550/arxiv.2012.15153,,,False,en,True,green,arXiv (Cornell University),https://openalex.org/S4306400194,,repository,Advanced Malware Detection Techniques,2020-12-30,2020,preprint
