Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"LLM-Assisted Empirical Software Engineering: Systematic Literature Review and Research Agenda","Context: Empirical Software Engineering (ESE) faces increasing challenges due to data scale, methodological complexity, and reproducibility concerns. Large Language Models (LLMs) have emerged as promising tools to support empirical workflows, yet their use remains fragmented, with no comprehensive synthesis to guide responsible adoption. Aims: This study analyzes how LLMs are used in ESE, examining supported tasks, phases of the empirical lifecycle, integration into workflows, reported benefits and limitations, and the extent of reproducibility-related reporting. It also identifies gaps and future research directions. Method: We conducted a systematic literature review of peer-reviewed papers (2020-2025) across 12 leading software engineering venues, resulting in 50 primary studies analyzed through qualitative and quantitative synthesis. Results: We identified 69 LLM-assisted tasks, mainly in mining software repositories and controlled experiments, focusing on classification, filtering, and evaluation. LLMs are used across multiple phases but are concentrated in data processing and analysis. Their integration is largely automation-oriented, with limited decision-support use. Benefits emphasize efficiency and scalability, while limitations include hallucinations, inconsistency, prompt sensitivity, and reproducibility issues. Reporting practices are often incomplete. Conclusion: LLM use in ESE is growing but remains automation-driven, with gaps in human-centered integration and transparency. We outline implications and research agenda for responsible use.","V. Gomes; D. Selb; Fabio Palomba; R. Spínola; David Lo","2026","Proceedings of the 19th International Conference on Enterprise Information Systems","10.5220/0006269402150226","-","-","https://doi.org/10.5220/0006269402150226","","-","12","Include"
"The Rise of ESG in Emerging Economies: A Systematic Mapping of ASEAN's Sustainability Trajectory","
 This study conducts a systematic review of environmental, social, and governance (ESG) research in ASEAN, addressing the fragmented state of scholarship in a region largely composed of developing economies. Guided by the SPAR‐4‐SLR protocol, the review integrates bibliometric mapping with a modified theory–context–theme–characteristics–methodology (TCTCM) framework to provide a multi‐dimensional synthesis of theoretical foundations, empirical contexts, thematic developments, study characteristics, and methodological orientations. Based on 287 peer‐reviewed articles published between 2004 and August 2025, retrieved from Web of Science and Scopus and complemented by snowballing, the analysis demonstrates that ESG research in ASEAN has expanded significantly, with disclosure practices, governance mechanisms, and institutional factors emerging as dominant themes. The findings reveal consistent links between ESG transparency, firm performance, and legitimacy, but also highlight underexplored areas such as biodiversity, green innovation, supply chains, and the interplay between conventional and Islamic finance. By consolidating dispersed insights, this study not only advances ESG scholarship in ASEAN but also provides actionable implications for regulators, firms, and investors while outlining a forward‐looking agenda for future research.","R. Seow; Jet Tian Chua","2026","Journal of economic surveys (Print)","10.1111/joes.70108","-","-","https://doi.org/10.1111/joes.70108","","-","-","Include"
"Workers' perception of gig platform governance: scale development and validation","
 
 Gig platforms are progressively accepted as the potential catalyst for redefining the employment landscape. Studies call for exploring how well the platforms govern and connect users to create value. The literature explores platform governance through diverse facets; however, it lacks a comprehensive measurement tool to study the attributes of the Gig Platform Governance (GPG) and the workforce perception. This research aims to develop and validate a scale that measures workers' perception of the web-based GPG.
 
 
 
 This study follows a robust scale development process – construct conceptualisation, item generation, content validity, factor exploration and confirmation using exploratory and confirmatory factor analysis and nomological testing. Data collected in phases across multiple gig platforms (total n = 1,432, comprising 9 samples) were used for scale validation. Scale testing and validation were conducted on IBM SPSS and SmartPLS 4.1.
 
 
 
 Twenty-two items subsumed in 4 dimensions – (1) platform strategies and policies, (2) technical architecture standards, (3) participation and community building and (4) the platform ecosystem – represent the higher-order GPG scale. Subsequent analysis revealed that workers' perception of GPG positively influences the attributes of dignity. Results demonstrate the suitability of the proposed scale in measuring workers' perception of GPG with good reliability and validity.
 
 
 
 This study contributes a novel scale for measuring workers' perception of GPG. The scale captures structural, technological, participatory and ecosystem regulation perspectives of GPG. The scale can be used as a valuable tool by research scholars, practitioners and policy makers for advancing theoretical knowledge and applications in the domain of the gig platform landscape.
","Richa Awasthy; Sanjana Singh; Anshu Gupta","2026","Information Technology &amp; People","10.1108/itp-05-2025-0655","-","-","https://doi.org/10.1108/itp-05-2025-0655","","-","-","Include"
"A Novel Framework for Reimagining Agricultural Heritage Tourism: Ancient Irrigation Systems in South Asia","The Globally Important Agricultural Heritage System (GIAHS) was launched to conserve, sustainably manage, and enhance the viability of the world’s agricultural heritage systems. The Cascade Tank-Village Irrigation system in the Sri Lankan dry zone was recognized as a GIAHS in 2018. Sri Lanka has conserved and used this water system sustainably for more than 2000 years but has not yet capitalised on its potential for tourism. Therefore, this paper identifies innovation opportunities for developing agricultural heritage tourism in the dry zone of Sri Lanka with implications for other agricultural heritage sites worldwide. We adopted an innovation strategy framework to identify areas of innovation to develop for GIAHS-based tourism sites with a focus on product development, processes, management, logistics, and institutional aspects. We conclude by presenting a novel Agricultural Heritage Tourism Development Framework that highlights the critical elements necessary to consider for developing agricultural heritage tourism sites.","D. Sumanapala; Isabelle D. Wolf","2026","Land","10.3390/land15040678","-","-","https://doi.org/10.3390/land15040678","","-","-","Include"
"Where are the Humans? A Scoping Review of Fairness in Multi-agent AI Systems","Rapid advances in Generative AI are giving rise to increasingly sophisticated Multi-Agent AI (MAAI) systems. While AI fairness has been extensively studied in traditional predictive scenarios, its examination in MAAI remains nascent and fragmented. This scoping review critically synthesizes existing research on fairness in MAAI systems. Through a qualitative content analysis of 23 selected studies, we identify five archetypal approaches. Our findings reveal that fairness in MAAI systems is often addressed superficially, lacks robust normative foundations, and frequently overlooks the complex dynamics introduced by agent autonomy and system-level interactions. We argue that fairness must be embedded structurally throughout the development lifecycle of MAAI, rather than appended as a post-hoc consideration. Meaningful evaluation requires explicit human oversight, normative clarity, and a precise articulation of fairness objectives and beneficiaries. This review provides a foundation for advancing fairness research in MAAI systems by highlighting critical gaps, exposing prevailing limitations, and suggesting pathways.","Simeon Allmendinger; Luca Deck; L. Mueller","2026","ArXiv.org","10.26481/dis.20090604sj","-","-","https://doi.org/10.26481/dis.20090604sj","","-","-","Include"
"Mumps disease and vaccination in Africa: A scoping review","ABSTRACT Mumps, though often self-limiting, can cause serious complications such as meningitis, orchitis, infertility, deafness, and seizures. Despite rising cases in Africa, most countries do not vaccinate against mumps. This review compiled available evidence on mumps in Africa, focusing on morbidity, mortality, vaccine safety, transmission, and molecular characterization. A systematic search across major databases identified 22 relevant studies published between 1994 and 2024. Nearly half of the studies (45%; n = 10/22) were published in the most recent period (2018–2024), indicating increased research interest in recent years. Of the 22 included articles, 37% examined seroprevalence and incidence, 21% transmission and seroprevalence factors, 17% vaccine safety, 17% vaccination in HIV-positive individuals, and 8% molecular data. Reported seroprevalence ranged from 5 to 88.8% in children and exceeded 90% in adults. The MMR vaccine is generally safe but should be used cautiously in those immunocompromised or have allergic reactions to gelatin. Evidence of antibody loss after HAART in HIV-positive children supports re-vaccination. High seroprevalence without immunization suggests widespread natural infection. It is possible that mumps complications are underreported and under-investigated because of the presumed self-limiting nature of mumps infection. This underscores the need to include mumps vaccination in African immunization programs.","I. Gobe; Thabiso Mogowa; K. Kadimo; J. Tlhakanelo; M. Motswaledi","2026","Human Vaccines & Immunotherapeutics","10.1080/21645515.2026.2657111","-","-","https://doi.org/10.1080/21645515.2026.2657111","","-","-","Include"
"How are the Dynamic and Interactive Elements of Resilience Reflected in Higher Education Literature? A Critical Narrative Review.","There has been a proliferation of papers on resilience in universities in recent years, many of them focused on how educators can make students more resilient. Yet the meaning of the term is nebulous, and critics argue that the focus on individuals obscures wider systemic dysfunction. This paper reports on a critical narrative review informed by a multidimensional framework called the Dynamic and Interactive Model of Resilience (DIMoR) (ahmed Shafi, Templeton et al., 2020; ahmed Shafi, Middleton et al., 2023). We found three critical themes in the extant literature: a troubling lack of complexity and coherence in how resilience is conceptualised; unsupportable assumptions inherent in typical resilience-training interventions; and incompatibility between traditional scientific investigative methods and the dynamic and interactive dimensions of resilience. We argue for a more considered approach to resilience within the sector, looking to co-create with all community members the conditions that are supportive of resilience: namely, connection, communication, compassion, care, and challenge. By profiling five illustrative examples from the literature, we suggest a way forward for practice and scholarship that embraces resilience in all its contextual and relational complexity.","Susan McCool; Felicity Carlysle-Davies; Neil Cochrane; Kathryn McCrorie","2026","Transformative Dialogues: Teaching and Learning Journal","10.59236/td2025vol18iss41886","-","-","https://doi.org/10.59236/td2025vol18iss41886","","-","-","Include"
"Exploring continuous improvement and Industry 4.0 integration through the lens of the digital transformation pyramid","
 
 Continuous improvement (CI) and Industry 4.0 (I4.0) integration is vital for manufacturing success, but still emerging. This study aims to examine its current state through a literature review. We then propose a framework to aid this crucial integration.
 
 
 
 This study used literature review to investigate the current state of integration between CI tools and I4.0 technologies. The author conducted a thorough review of papers published from 2011 to 2023. A keyword search strategy identified 81 relevant studies. In addition, an iterative backward and forward snowballing approach was used to locate more studies. Finally, the chosen articles were analysed to reveal key findings in the integration of CI and I4.0 (CI 4.0).
 
 
 
 This study introduces a novel approach to analyse the digital transformation of CI tools. The investigation applies the digital transformation pyramid to analyse the integration of CI tools with I4.0 technologies. This study explores the transformation of CI tools through three key stages: digitization, digitalization and digital transformation. In addition, the investigation proposes a conceptual framework for the digital transformation of CI practices.
 
 
 
 The outcomes of this study assist decision makers in selecting the most suitable I4.0 technologies to enhance CI and implement data-driven approaches.
 
 
 
 This study not only advances existing knowledge by exploring how CI tools complement I4.0 technologies but also provides a structured approach for their integration. The insights gained help practitioners identify appropriate I4.0 technologies for digitally transforming CI practices.
","Tharun Thomas","2026","International Journal of Lean Six Sigma","10.1108/ijlss-06-2024-0130","-","-","https://doi.org/10.1108/ijlss-06-2024-0130","","-","-","Include"
"Unveiling competencies in smart working: a systematic and problematizing review","
 
 This study reviews and problematizes the literature on the competencies enabling smart working in public administrations, by integrating change management and dynamic capabilities as complementary theoretical lenses.
 
 
 
 A systematic review of 52 peer-reviewed studies was conducted. Papers were retrieved from Scopus and complemented through backward and forward citation searching. All contributions were coded into a 2 × 3 analytical matrix that intersects the two levels of change management (individual and organizational) with the three dimensions of dynamic capabilities (sensing, seizing, reconfiguring/transforming). A subsequent problematizing review was then developed to interrogate assumptions, conceptual boundaries, and contextual blind spots in the reviewed research.
 
 
 
 The literature shows a marked organizational bias (63 out of 97 coded occurrences), while individual transforming remains underrepresented. The problematizing analysis highlights some interrelated theoretical openings based on: (1) heterogeneous definitions of both “competence” and “smart working”; (2) non-linear and always positive links between individual skills and organizational outcomes; (3) limited attention to external contingencies that shape the adoption of smart working in the public sector.
 
 
 
 By combining systematic mapping with a problematizing lens and by operationalizing the integration of change management and dynamic capabilities through a six-cell matrix, the study provides a structured yet critical roadmap for future research. For practice, it suggests that technological investments must be coupled with interventions on autonomy, digital resilience, results-oriented culture, and adaptive leadership, tailored to the institutional specificities of each public administration.
","P. Ruggiero; Gaetano Saporito; Leonardo Ioannucci","2026","International Journal of Public Sector Management","10.1108/ijpsm-10-2025-0455","-","-","https://doi.org/10.1108/ijpsm-10-2025-0455","","-","-","Include"
"Top-down or bottom-up strategy? Advancing the understanding of ecosystem orchestration approaches for sustainability: a systematic review","As organizations increasingly collaborate with a complex web of stakeholders to co-create and capture value in the digital economy, advancing sustainability requires urgent and collective action across diverse stakeholders. Building on the critical role of stakeholder engagement and ecosystems in advancing sustainability transition, this study addresses the limited consensus on how ecosystem stakeholders can be effectively orchestrated to address sustainability challenges. Prior work falls short of comprehensive ecosystem orchestration strategies for multi-stakeholder collaborations towards sustainability. Drawing on a systematic literature review of 52 studies from four databases (Scopus, IEEE, ScienceDirect and WoS) published from 2002–2023, this study aims to address an existing research gap by synthesizing the ecosystem orchestration literature into an actionable framework for scholars, practitioners, and policymakers. The study proposes a multi-level ecosystem orchestration framework and categorizes 12 ecosystem strategies into top-down (alignment, value realization, nourishment, revitalization), bottom-up (empowerment, coopetition, engagement, legitimacy), and middle-out approaches (adaptive, evolution, reaction, sensing). The framework highlights how ecosystem leaders can deploy various strategies to coordinate and engage multiple stakeholders, extending business relationships beyond short-term economic outcomes to a long-term sustainability agenda. By integrating and synthesizing extensive literature on ICT and sustainability, ecosystem orchestration and stakeholder engagement strategies, the study advances theoretical understanding on multi-stakeholder engagement for collective action towards sustainability.","Larry Abdullai; Md. Sanaul Haque; J. Porras","2026","Cogent Business &amp; Management","10.1080/23311975.2026.2639112","-","true","https://doi.org/10.1080/23311975.2026.2639112","Orchestration; Knowledge management; Business; Process management; Computer science; Ecosystem; Environmental resource management; Management science; Work (physics); Key (lock)","en","-","Include"
