Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Science of Software Product Lines","-","Don S. Batory","2026","ACM eBooks","10.1145/3731302","31","false","https://doi.org/10.1145/3731302","","en","-","Include"
"Pimp My LLM: Leveraging Variability Modeling to Tune Inference Hyperparameters","Large Language Models (LLMs) are being increasingly used across a wide range of tasks. However, their substantial computational demands raise concerns about the energy efficiency and sustainability of both training and inference. Inference, in particular, dominates total compute usage, making its optimization crucial. Recent research has explored optimization techniques and analyzed how configuration choices influence energy consumption. Yet, the vast configuration space of inference servers makes exhaustive empirical evaluation infeasible due to combinatorial explosion. In this paper, we introduce a new perspective on this problem by treating LLMs as configurable systems and applying variability management techniques to systematically analyze inference-time configuration choices. We evaluate our approach on the Hugging Face Transformers library by representing generation hyperparameters and their constraints using a feature-based variability model, sampling representative configurations, measuring their energy consumption, latency, accuracy, and learning predictive models from the collected data. Our results show that variability modeling effectively manages the complexity of LLM inference configurations. It enables systematic analysis of hyperparameters effects and interactions, reveals trade-offs, and supports prediction of inference behavior from a limited number of measurements. Overall, this work opens a new research direction that bridges software engineering and machine learning by leveraging variability modeling for the efficient and sustainable configuration of LLMs.","Nada Zine; Clément Quinton; Romain Rouvoy","2026","arXiv.org","10.48550/arxiv.2602.17697","-","-","https://doi.org/10.48550/arxiv.2602.17697","","-","-","Include"
"PyroBuildS: Speeding up the exploration of large configuration spaces with incremental build","Software developers are acutely aware that software build is an essential but resource-intensive step in any software development process, all the more when building large and/or highly configurable systems, whose vast number of configuration options leads to an explosion in the number of variants to build and evaluate. A potential approach to speed up the builds of multiple configurations is to do incremental build , i.e. , to not clean the build environment and reuse previous builds when building a new configuration. Previous exploratory studies showed some benefits and limitations of incremental build, but mainly on small configurable software systems and on a limited set of close configurations. However, for large configuration spaces , little is known whether the large distance across configurations impacts the correctness and efficiency of incremental build. This paper presents PyroBuildS , a new approach to speed up incremental builds while keeping reproducibility, featuring a configuration variation operator parameterized by two deny lists of problematic options and a mutation size (diversity). We evaluate PyroBuildS through an empirical study on three large complex configurable systems, namely Linux, BusyBox, and ToyBox, with respectively 18637, 1078, 330 configuration options. We first show that for all configurations PyroBuildS produces the exact same binaries as a clean","Georges Aaron Randrianaina; D. Khelladi; Olivier Zendra; Mathieu Acher","2026","Journal of Systems and Software","10.1016/j.jss.2025.112592","-","-","https://doi.org/10.1016/j.jss.2025.112592","","-","-","Include"
"Toward Reliable Forward Snowballing in Systematic Literature Reviews: A Comparative Study and Framework Proposal","Systematic Literature Reviews (SLRs) play a vital role in the software engineering field by synthesizing existing knowledge, identifying research gaps, and guiding future investigations with methodological rigor. Given the rapid growth of published research, techniques such as snowballing are essential. Forward snowballing, in particular, helps to discover newer studies that cite key seed papers, enhancing the completeness of SLRs. Despite its value, when performed manually, it remains a labor-intensive and error-prone task. To address this challenge, we mapped existing tools that support forward snowballing. Our analysis focuses on the capabilities of these tools to automate core tasks, including the identification of relevant articles and the extraction of bibliographic metadata. We critically examine their reliability by comparing their outputs against a manually curated forward snowballing process. Key evaluation criteria include the completeness and relevance of the metadata retrieved, the quality of the retrieved scientific databases, and the ease of integration into SLR workflows. As future research, based on our findings, we will propose a framework that takes advantage of existing tools to automate forward snowballing.","Jailma Januário; Maria Isabel Nicolau; K. R. Felizardo; Juliana Alves Pereira","2025","Brazilian Symposium on Software Engineering","10.5753/sbes.2025.11559","1","-","https://doi.org/10.5753/sbes.2025.11559","","-","-","Include"
"Comparing LLMs and Proposing an ML-Based Approach for Search String Generation in Systematic Literature Reviews","The formulation of an effective search string is a critical process in systematic literature reviews (SLRs), as it directly influences both the coverage and precision of the retrieved studies. Traditionally, this process relies on manual keyword selection and expert-driven refinements, making it laborious, susceptible to human bias, and often inaccessible to non-specialists. To address these limitations, this study explores the application of artificial intelligence (AI) to support the generation of search strings.We organized our ongoing investigation into two main phases. In the first phase, we evaluated the performance of search strings generated by different large language models (LLMs), specifically Llama-8B, Gemma-12B, and Mistral-Nemo-12B, using a previously published SLR as a benchmark. Our results suggest that, while LLMs can assist in search string formulation, their effectiveness is inconsistent and sensitive to input conditions. Motivated by these limitations, we propose a semi-automated pipeline based on Machine Learning (ML). Through our preliminary analysis, we proposed a standardized reproducible evaluation framework to assess and compare AI-based search string generation strategies, including our proposed ML-based approach.","Diogo Adário Marassi; Juliana Alves Pereira; K. R. Felizardo","2025","Brazilian Symposium on Software Engineering","10.5753/sbes.2025.11612","1","-","https://doi.org/10.5753/sbes.2025.11612","","-","-","Include"
"Minimal Data, Maximum Clarity: A Heuristic for Explaining Optimization","Efficient, interpretable optimization is a critical but underexplored challenge in software engineering, where practitioners routinely face vast configuration spaces and costly, error-prone labeling processes. This paper introduces EZR, a novel and modular framework for multi-objective optimization that unifies active sampling, learning, and explanation within a single, lightweight pipeline. Departing from conventional wisdom, our Maximum Clarity Heuristic demonstrates that using less (but more informative) data can yield optimization models that are both effective and deeply understandable. EZR employs an active learning strategy based on Naive Bayes sampling to efficiently identify high-quality configurations with a fraction of the labels required by fully supervised approaches. It then distills optimization logic into concise decision trees, offering transparent, actionable explanations for both global and local decision-making. Extensive experiments across 60 real-world datasets establish that EZR reliably achieves over 90% of the best-known optimization performance in most cases, while providing clear, cohort-based rationales that surpass standard attribution-based explainable AI (XAI) methods (LIME, SHAP, BreakDown) in clarity and utility. These results endorse""less but better""; it is both possible and often preferable to use fewer (but more informative) examples to generate label-efficient optimization and explanations in software systems. To support transparency and reproducibility, all code and experimental materials are publicly available at https://github.com/amiiralii/Minimal-Data-Maximum-Clarity.","Amirali Rayegan; Tim Menzies","2025","Journal of Systems and Software","10.1016/j.jss.2026.112897","4","-","https://doi.org/10.1016/j.jss.2026.112897","","-","-","Include"
"Efficiently Ranking Software Variants with Minimal Benchmarks","Benchmarking is a common practice in software engineering to assess the qualities and performance of software variants, coming from multiple competing systems or from configurations of the same system. Benchmarks are used notably to compare and understand variant performance, fine-tune software, detect regressions, or design new software systems. The execution of benchmarks to get a complete picture of software variants is highly costly in terms of computational resources and time. In this paper, we propose a novel approach for reducing benchmarks while maintaining stable rankings, using test suite optimization techniques. That is, we remove instances from the benchmarks while trying to keep the same rankings of the variants on all tests. Our method, BISection Sampling, BISS, strategically retains the most critical tests and applies a novel divide-and-conquer approach to efficiently sample among relevant remaining tests. We experiment with datasets and use cases from LLM leaderboards, SAT competitions, and configurable systems for performance modeling. Our results show that our method outperforms baselines even when operating on a subset of variants. Using BISS, we reduce the computational cost of the benchmarks on average to 44% and on more than half the benchmarks by up to 99% without loss in ranking stability.","Théo Matricon; M. Acher; Helge Spieker; Arnaud Gotlieb","2025","arXiv.org","10.48550/arxiv.2509.06716","-","-","https://doi.org/10.48550/arxiv.2509.06716","","-","-","Include"
"FMCooler: Simulated annealing for feature model configuration selection","FMCooler is a tool for the automatic optimization in the selection of a configuration from a feature model based on the Simulated Annealing metaheuristic. It is a python-based tool built on top of flamapy, qubovert and dwave-neal. The formulation abstractions and details are exposed, as well as examples of usage to understand the easy handling of the module. We discuss experimentation results to argue that is a valid candidate to be included in the toolset to address this problem given its competitive results and scalability. We also include a discussion on future extensions as the reuse of the abstractions for experimenting with quantum computation. Tool and video: https://github.com/jdanielescanez/fmcooler","Daniel Escanez-Exposito; Jabier Martinez; E. Osaba; P. Caballero-Gil","2025","Software Product Lines Conference","10.1145/3748269.3748488","-","-","https://doi.org/10.1145/3748269.3748488","","-","-","Include"
"On Reverse Engineering Cardinality-Based Feature Models","We consider the problem of reverse engineering a cardinality-based feature model from a given set of multi-instance feature configurations. Established reverse engineering techniques and tools for classical Boolean feature models are not directly adaptable to the problem due to the non-convexity and infinite nature of the configuration spaces shaped by these models. We first give a precise problem definition and then sketch a first solution approach based on a combination of classical techniques for Boolean configuration spaces and machine-learning techniques for multiplicity constraints. We conclude with a discussion of open research challenges.","Mathis Weiß; Simon Imran Butt; Malte Lochau","2025","Software Product Lines Conference","10.1145/3748269.3749384","-","-","https://doi.org/10.1145/3748269.3749384","","-","-","Include"
"Understanding Product Line Runtime Performance with Behaviour Models and Regression Model Trees","Performance models for software product lines encode the relation between configurable product features and performance attributes. These cover both static attributes such as binary size, and runtime-specific attributes such as throughput or latency. However, although runtime-specific attributes depend on workload and application behaviour, existing approaches typically only predict a single performance value for each attribute and product line configuration. They utilize fixed reference workloads for model learning and performance prediction, and are therefore inadequate for predicting feature-dependent runtime performance attributes of variable workloads (e.g., variable query sequences in a database management system). Moreover, viewing a product line as a black box that is only described by its feature model hinders efficient benchmark data acquisition and reasoning about unexpected performance effects. We propose to make performance models aware of software product line implementations, thus improving flexibility, interpretability, and learning time. To do so, we decompose runtime behaviour into distinct events (state machine transitions), and annotate each event with an event-specific performance model (regression model tree). The combination of state machine-based behaviour models with regression model trees allows us to predict performance attributes of arbitrary event sequences (words accepted by the state machine). In addition to more flexible models that are no longer bound to a specific workload, this approach improves model interpretability and learning time by using smaller models for individual workload components. We show the advantages of this approach in a database management system product line case study, and use it to explain unexpected behaviour on a real-world server system.","B. Friesel; Olaf Spinczyk","2025","Software Product Lines Conference","10.1145/3744915.3748472","1","-","https://doi.org/10.1145/3744915.3748472","","-","-","Include"
