title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Workers' perception of gig platform governance: scale development and validation,"
 
 Gig platforms are progressively accepted as the potential catalyst for redefining the employment landscape. Studies call for exploring how well the platforms govern and connect users to create value. The literature explores platform governance through diverse facets; however, it lacks a comprehensive measurement tool to study the attributes of the Gig Platform Governance (GPG) and the workforce perception. This research aims to develop and validate a scale that measures workers' perception of the web-based GPG.
 
 
 
 This study follows a robust scale development process – construct conceptualisation, item generation, content validity, factor exploration and confirmation using exploratory and confirmatory factor analysis and nomological testing. Data collected in phases across multiple gig platforms (total n = 1,432, comprising 9 samples) were used for scale validation. Scale testing and validation were conducted on IBM SPSS and SmartPLS 4.1.
 
 
 
 Twenty-two items subsumed in 4 dimensions – (1) platform strategies and policies, (2) technical architecture standards, (3) participation and community building and (4) the platform ecosystem – represent the higher-order GPG scale. Subsequent analysis revealed that workers' perception of GPG positively influences the attributes of dignity. Results demonstrate the suitability of the proposed scale in measuring workers' perception of GPG with good reliability and validity.
 
 
 
 This study contributes a novel scale for measuring workers' perception of GPG. The scale captures structural, technological, participatory and ecosystem regulation perspectives of GPG. The scale can be used as a valuable tool by research scholars, practitioners and policy makers for advancing theoretical knowledge and applications in the domain of the gig platform landscape.
","[{'authorId': '2377489194', 'name': 'Richa Awasthy'}, {'authorId': '2118413761', 'name': 'Sanjana Singh'}, {'authorId': '2395563777', 'name': 'Anshu Gupta'}]",2026.0,Information Technology &amp; People,{'name': 'Information Technology &amp; People'},https://www.semanticscholar.org/paper/aa95cb773f9bc2ac825d57264b78557720eaedc3,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1108/itp-05-2025-0655?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1108/itp-05-2025-0655, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,101,,['JournalArticle'],,"{'DOI': '10.1108/itp-05-2025-0655', 'CorpusId': 287573822}",0,"Richa Awasthy, Sanjana Singh, Anshu Gupta",JournalArticle,"DOI:10.1108/itp-05-2025-0655, CorpusId:287573822"
A Novel Framework for Reimagining Agricultural Heritage Tourism: Ancient Irrigation Systems in South Asia,"The Globally Important Agricultural Heritage System (GIAHS) was launched to conserve, sustainably manage, and enhance the viability of the world’s agricultural heritage systems. The Cascade Tank-Village Irrigation system in the Sri Lankan dry zone was recognized as a GIAHS in 2018. Sri Lanka has conserved and used this water system sustainably for more than 2000 years but has not yet capitalised on its potential for tourism. Therefore, this paper identifies innovation opportunities for developing agricultural heritage tourism in the dry zone of Sri Lanka with implications for other agricultural heritage sites worldwide. We adopted an innovation strategy framework to identify areas of innovation to develop for GIAHS-based tourism sites with a focus on product development, processes, management, logistics, and institutional aspects. We conclude by presenting a novel Agricultural Heritage Tourism Development Framework that highlights the critical elements necessary to consider for developing agricultural heritage tourism sites.","[{'authorId': '112958577', 'name': 'D. Sumanapala'}, {'authorId': '49154539', 'name': 'Isabelle D. Wolf'}]",2026.0,Land,{'name': 'Land'},https://www.semanticscholar.org/paper/cae97435c6afd064d5be20bf77895a6a021bd30d,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.3390/land15040678?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/land15040678, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,71,,['JournalArticle'],,"{'DOI': '10.3390/land15040678', 'CorpusId': 287649233}",0,"D. Sumanapala, Isabelle D. Wolf",JournalArticle,"DOI:10.3390/land15040678, CorpusId:287649233"
Where are the Humans? A Scoping Review of Fairness in Multi-agent AI Systems,"Rapid advances in Generative AI are giving rise to increasingly sophisticated Multi-Agent AI (MAAI) systems. While AI fairness has been extensively studied in traditional predictive scenarios, its examination in MAAI remains nascent and fragmented. This scoping review critically synthesizes existing research on fairness in MAAI systems. Through a qualitative content analysis of 23 selected studies, we identify five archetypal approaches. Our findings reveal that fairness in MAAI systems is often addressed superficially, lacks robust normative foundations, and frequently overlooks the complex dynamics introduced by agent autonomy and system-level interactions. We argue that fairness must be embedded structurally throughout the development lifecycle of MAAI, rather than appended as a post-hoc consideration. Meaningful evaluation requires explicit human oversight, normative clarity, and a precise articulation of fairness objectives and beneficiaries. This review provides a foundation for advancing fairness research in MAAI systems by highlighting critical gaps, exposing prevailing limitations, and suggesting pathways.","[{'authorId': '2142360477', 'name': 'Simeon Allmendinger'}, {'authorId': '2261085460', 'name': 'Luca Deck'}, {'authorId': '2065934171', 'name': 'L. Mueller'}]",2026.0,,,https://www.semanticscholar.org/paper/34d31d2d051c56bf72c684d5c261db8754f2bc74,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2604.15078, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,66,,['Review'],['Computer Science'],"{'ArXiv': '2604.15078', 'CorpusId': 287509754}",0,"Simeon Allmendinger, Luca Deck, L. Mueller",Review,"ArXiv:2604.15078, CorpusId:287509754"
Mumps disease and vaccination in Africa: A scoping review,"ABSTRACT Mumps, though often self-limiting, can cause serious complications such as meningitis, orchitis, infertility, deafness, and seizures. Despite rising cases in Africa, most countries do not vaccinate against mumps. This review compiled available evidence on mumps in Africa, focusing on morbidity, mortality, vaccine safety, transmission, and molecular characterization. A systematic search across major databases identified 22 relevant studies published between 1994 and 2024. Nearly half of the studies (45%; n = 10/22) were published in the most recent period (2018–2024), indicating increased research interest in recent years. Of the 22 included articles, 37% examined seroprevalence and incidence, 21% transmission and seroprevalence factors, 17% vaccine safety, 17% vaccination in HIV-positive individuals, and 8% molecular data. Reported seroprevalence ranged from 5 to 88.8% in children and exceeded 90% in adults. The MMR vaccine is generally safe but should be used cautiously in those immunocompromised or have allergic reactions to gelatin. Evidence of antibody loss after HAART in HIV-positive children supports re-vaccination. High seroprevalence without immunization suggests widespread natural infection. It is possible that mumps complications are underreported and under-investigated because of the presumed self-limiting nature of mumps infection. This underscores the need to include mumps vaccination in African immunization programs.","[{'authorId': '35334307', 'name': 'I. Gobe'}, {'authorId': '2430216771', 'name': 'Thabiso Mogowa'}, {'authorId': '51138078', 'name': 'K. Kadimo'}, {'authorId': '40898778', 'name': 'J. Tlhakanelo'}, {'authorId': '40608801', 'name': 'M. Motswaledi'}]",2026.0,Human Vaccines & Immunotherapeutics,"{'volume': '22', 'name': 'Human Vaccines & Immunotherapeutics'}",https://www.semanticscholar.org/paper/1fd229ede85a49c333c913688d8eeba6e845e81c,False,"{'url': '', 'status': None, 'license': 'CCBYNC', 'disclaimer': 'Notice: Paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC13094242, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,43,,"['JournalArticle', 'Review']",,"{'PubMedCentral': '13094242', 'DOI': '10.1080/21645515.2026.2657111', 'CorpusId': 287560821}",0,"I. Gobe, Thabiso Mogowa, K. Kadimo, J. Tlhakanelo, M. Motswaledi","JournalArticle, Review","PubMedCentral:13094242, DOI:10.1080/21645515.2026.2657111, CorpusId:287560821"
How are the Dynamic and Interactive Elements of Resilience Reflected in Higher Education Literature? A Critical Narrative Review.,"There has been a proliferation of papers on resilience in universities in recent years, many of them focused on how educators can make students more resilient. Yet the meaning of the term is nebulous, and critics argue that the focus on individuals obscures wider systemic dysfunction. This paper reports on a critical narrative review informed by a multidimensional framework called the Dynamic and Interactive Model of Resilience (DIMoR) (ahmed Shafi, Templeton et al., 2020; ahmed Shafi, Middleton et al., 2023). We found three critical themes in the extant literature: a troubling lack of complexity and coherence in how resilience is conceptualised; unsupportable assumptions inherent in typical resilience-training interventions; and incompatibility between traditional scientific investigative methods and the dynamic and interactive dimensions of resilience. We argue for a more considered approach to resilience within the sector, looking to co-create with all community members the conditions that are supportive of resilience: namely, connection, communication, compassion, care, and challenge. By profiling five illustrative examples from the literature, we suggest a way forward for practice and scholarship that embraces resilience in all its contextual and relational complexity.","[{'authorId': '28233158', 'name': 'Susan McCool'}, {'authorId': '2311158987', 'name': 'Felicity Carlysle-Davies'}, {'authorId': '2067378330', 'name': 'Neil Cochrane'}, {'authorId': '2331187034', 'name': 'Kathryn McCrorie'}]",2026.0,Transformative Dialogues: Teaching and Learning Journal,{'name': 'Transformative Dialogues: Teaching and Learning Journal'},https://www.semanticscholar.org/paper/85eb0c6fdbb7f6b68dbcb71e393e8d8859fd1bf0,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.59236/td2025vol18iss41886?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.59236/td2025vol18iss41886, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,41,,"['JournalArticle', 'Review']",,"{'DOI': '10.59236/td2025vol18iss41886', 'CorpusId': 274117529}",0,"Susan McCool, Felicity Carlysle-Davies, Neil Cochrane, Kathryn McCrorie","JournalArticle, Review","DOI:10.59236/td2025vol18iss41886, CorpusId:274117529"
Exploring continuous improvement and Industry 4.0 integration through the lens of the digital transformation pyramid,"
 
 Continuous improvement (CI) and Industry 4.0 (I4.0) integration is vital for manufacturing success, but still emerging. This study aims to examine its current state through a literature review. We then propose a framework to aid this crucial integration.
 
 
 
 This study used literature review to investigate the current state of integration between CI tools and I4.0 technologies. The author conducted a thorough review of papers published from 2011 to 2023. A keyword search strategy identified 81 relevant studies. In addition, an iterative backward and forward snowballing approach was used to locate more studies. Finally, the chosen articles were analysed to reveal key findings in the integration of CI and I4.0 (CI 4.0).
 
 
 
 This study introduces a novel approach to analyse the digital transformation of CI tools. The investigation applies the digital transformation pyramid to analyse the integration of CI tools with I4.0 technologies. This study explores the transformation of CI tools through three key stages: digitization, digitalization and digital transformation. In addition, the investigation proposes a conceptual framework for the digital transformation of CI practices.
 
 
 
 The outcomes of this study assist decision makers in selecting the most suitable I4.0 technologies to enhance CI and implement data-driven approaches.
 
 
 
 This study not only advances existing knowledge by exploring how CI tools complement I4.0 technologies but also provides a structured approach for their integration. The insights gained help practitioners identify appropriate I4.0 technologies for digitally transforming CI practices.
","[{'authorId': '66008995', 'name': 'Tharun Thomas'}]",2026.0,International Journal of Lean Six Sigma,{'name': 'International Journal of Lean Six Sigma'},https://www.semanticscholar.org/paper/5748d7ae23569ba7c9ed5e845f9fb514317f4fb4,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1108/ijlss-06-2024-0130?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1108/ijlss-06-2024-0130, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,113,,"['JournalArticle', 'Review']",,"{'DOI': '10.1108/ijlss-06-2024-0130', 'CorpusId': 287297019}",0,Tharun Thomas,"JournalArticle, Review","DOI:10.1108/ijlss-06-2024-0130, CorpusId:287297019"
Unveiling competencies in smart working: a systematic and problematizing review,"
 
 This study reviews and problematizes the literature on the competencies enabling smart working in public administrations, by integrating change management and dynamic capabilities as complementary theoretical lenses.
 
 
 
 A systematic review of 52 peer-reviewed studies was conducted. Papers were retrieved from Scopus and complemented through backward and forward citation searching. All contributions were coded into a 2 × 3 analytical matrix that intersects the two levels of change management (individual and organizational) with the three dimensions of dynamic capabilities (sensing, seizing, reconfiguring/transforming). A subsequent problematizing review was then developed to interrogate assumptions, conceptual boundaries, and contextual blind spots in the reviewed research.
 
 
 
 The literature shows a marked organizational bias (63 out of 97 coded occurrences), while individual transforming remains underrepresented. The problematizing analysis highlights some interrelated theoretical openings based on: (1) heterogeneous definitions of both “competence” and “smart working”; (2) non-linear and always positive links between individual skills and organizational outcomes; (3) limited attention to external contingencies that shape the adoption of smart working in the public sector.
 
 
 
 By combining systematic mapping with a problematizing lens and by operationalizing the integration of change management and dynamic capabilities through a six-cell matrix, the study provides a structured yet critical roadmap for future research. For practice, it suggests that technological investments must be coupled with interventions on autonomy, digital resilience, results-oriented culture, and adaptive leadership, tailored to the institutional specificities of each public administration.
","[{'authorId': '3753563', 'name': 'P. Ruggiero'}, {'authorId': '2296291960', 'name': 'Gaetano Saporito'}, {'authorId': '2428650382', 'name': 'Leonardo Ioannucci'}]",2026.0,International Journal of Public Sector Management,{'name': 'International Journal of Public Sector Management'},https://www.semanticscholar.org/paper/57e8e0a74c1e2f9d35a054b2cc4167c74c706960,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1108/ijpsm-10-2025-0455?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1108/ijpsm-10-2025-0455, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,96,,"['JournalArticle', 'Review']",,"{'DOI': '10.1108/ijpsm-10-2025-0455', 'CorpusId': 287259005}",0,"P. Ruggiero, Gaetano Saporito, Leonardo Ioannucci","JournalArticle, Review","DOI:10.1108/ijpsm-10-2025-0455, CorpusId:287259005"
Top-down or bottom-up strategy? Advancing the understanding of ecosystem orchestration approaches for sustainability: a systematic review,,"[{'authorId': '2186281944', 'name': 'Larry Abdullai'}, {'authorId': '2573641', 'name': 'Md. Sanaul Haque'}, {'authorId': '1952357', 'name': 'J. Porras'}]",2026.0,Cogent Business &amp; Management,{'name': 'Cogent Business &amp; Management'},https://www.semanticscholar.org/paper/e4f455278fec98e84596878ead6855bbaa0759ee,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1080/23311975.2026.2639112?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1080/23311975.2026.2639112, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,135,,"['JournalArticle', 'Review']",,"{'DOI': '10.1080/23311975.2026.2639112', 'CorpusId': 287336191}",0,"Larry Abdullai, Md. Sanaul Haque, J. Porras","JournalArticle, Review","DOI:10.1080/23311975.2026.2639112, CorpusId:287336191"
Alien Fish Invasions in Indonesian Inland Waters: Ecological Consequences and Biodiversity Implications,"Alien fish introductions have become an increasingly significant ecological issue in Indonesian inland waters, largely driven by aquaculture development, fisheries enhancement, and ornamental fish trade. While non-native species contribute to food security and economic growth, their establishment in natural freshwater ecosystems raises concerns for native biodiversity. This study systematically reviews existing literature on alien fish invasions in Indonesia, focusing on their ecological consequences and biodiversity implications. Using a structured review approach across major academic databases, relevant peer-reviewed studies were identified and synthesized. The findings indicate that widely introduced species such as Oreochromis niloticus and Clarias gariepinus are associated with competition, predation, habitat modification, and trophic restructuring. These impacts may alter native fish community composition and contribute to biotic homogenization, particularly in high-endemism freshwater systems. The review highlights the need for strengthened risk assessment, biosecurity measures, and ecosystem-based management to balance fisheries development with long-term biodiversity conservation","[{'authorId': '2314604061', 'name': 'F. Baihaqi'}, {'authorId': '2315816931', 'name': 'Shafira Bilqis'}]",2026.0,Indonesian Journal of Contemporary Multidisciplinary Research,{'name': 'Indonesian Journal of Contemporary Multidisciplinary Research'},https://www.semanticscholar.org/paper/e324c0aea13f7121fe3d6bd59865aa2d881fdaff,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.55927/modern.v5i2.37?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.55927/modern.v5i2.37, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,73,,"['JournalArticle', 'Review']",,"{'DOI': '10.55927/modern.v5i2.37', 'CorpusId': 287139419}",0,"F. Baihaqi, Shafira Bilqis","JournalArticle, Review","DOI:10.55927/modern.v5i2.37, CorpusId:287139419"
Understanding the role of offshore energy structures in ecosystem service delivery: Applying global findings to the North Sea,,"[{'authorId': '3314746', 'name': 'Megan Squire'}, {'authorId': '2410269847', 'name': 'Alethea Madgett'}, {'authorId': '13377844', 'name': 'D. Burdon'}, {'authorId': '48346200', 'name': 'Beth Scott'}, {'authorId': '2278351213', 'name': 'J. Marlow'}, {'authorId': '2308327032', 'name': 'Kate Gormley'}]",2026.0,Ecosystem Services,{'name': 'Ecosystem Services'},https://www.semanticscholar.org/paper/ce811b14adc21591a1a9b9aaea59e459a1b2ff6a,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/j.ecoser.2025.101811?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/j.ecoser.2025.101811, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,76,,['JournalArticle'],,"{'DOI': '10.1016/j.ecoser.2025.101811', 'CorpusId': 285530087}",0,"Megan Squire, Alethea Madgett, D. Burdon, Beth Scott, J. Marlow, Kate Gormley",JournalArticle,"DOI:10.1016/j.ecoser.2025.101811, CorpusId:285530087"
